name_code	common_name	database_id
fer-6	Sprossender B&auml;rlapp	140
fer-6	Stiff Clubmoss	140
fer-s.6	Sprossender B&auml;rlapp	140
fer-s.6	Stiff Clubmoss	140
fer-10	Keulenb&auml;rlapp	140
fer-10	Common Clubmoss	140
fer-10	Running Cedar	140
fer-s.10	Keulenb&auml;rlapp	140
fer-s.10	Common Clubmoss	140
fer-s.10	Running Cedar	140
fer-13	Round-branch Ground-Pine	140
fer-13	Tree groundpine	140
fer-17	Pennsylvania clubmoss	140
fer-22	One-cone clubmoss	140
fer-24	Ground Pine	140
fer-24	Eastern Tree Clubmoss	140
fer-24	Princess Pine	140
fer-36	Alpenb&auml;rlapp	140
fer-36	Alpine clubmoss	140
fer-38	Gew&ouml;hnlicher Flachb&auml;rlapp	140
fer-38	Northern Running-Pine	140
fer-38	Groundcedar	140
fer-s.38	Gew&ouml;hnlicher Flachb&auml;rlapp	140
fer-s.38	Northern Running-Pine	140
fer-s.38	Groundcedar	140
fer-41	Fan Club-moss	140
fer-45	Isslers Flachb&auml;rlapp	140
fer-51	Savin-leaved Club-moss	140
fer-52	Sitka Club-moss	140
fer-54	Zypressenb&auml;rlapp	140
fer-54	Ground Cedar	140
fer-54	Northern Ground Pine	140
fer-61	Zeillers Flachb&auml;rlapp	140
fer-73	Appalachian clubmoss	140
fer-93	Pacific clubmoss	140
fer-102	Shining Clubmoss	140
fer-107	Chinese clubmoss	140
fer-111	Western clubmoss	140
fer-113	Rock clubmoss	140
fer-118	Tannenb&auml;rlapp	140
fer-118	Northern Firmoss	140
fer-118	Fir Clubmoss	140
fer-225	Hanging Club-Moss	140
fer-427	Kauai clubmoss	140
fer-468	Foxtail Club-Moss	140
fer-471	Southern Club-Moss	140
fer-477	Sumpfb&auml;rlapp	140
fer-477	Bog Clubmoss	140
fer-477	Inundated clubmoss	140
fer-480	Marguerite's clubmoss	140
fer-481	Feather-stem Club-Moss	140
fer-483	Northern bog clubmoss	140
fer-492	Staghorn clubmoss	140
fer-517	Slender Club-Moss	140
fer-556	Stengelloser Moosfarn	140
fer-556	Creeping Spikemoss	140
fer-562	Sand Spike-moss	140
fer-s.562	Sand Spike-moss	140
fer-s.563	Riddell's spikemoss	140
fer-566	Arizona Spike-moss	140
fer-578	Bluish Spike-moss	140
fer-601	Bushy Spike-moss	140
fer-614	Treelet Spike-moss	140
fer-665	Gray Spike-moss	140
fer-706	Lesser spikemoss	140
fer-s.707	Rocky Mountain spikemoss	140
fer-s.708	Standley's spikemoss	140
fer-710	Gez&auml;hnter Moosfarn	140
fer-723	Douglas' Spike-moss	140
fer-726	Eaton's Spike-moss	140
fer-728	Hidden Spike-moss	140
fer-728	Buck's Meadow Spike-moss	140
fer-738	Desert Spike-moss	140
fer-800	Hansen's Spike-moss	140
fer-807	Schweizer Moosfarn	140
fer-s.807	Schweizer Moosfarn	140
fer-857	Krauss' spikemoss	140
fer-879	Resurrection Plant	140
fer-879	Flower of stone	140
fer-881	Mojave Spike-moss	140
fer-903	Gulf Spike-moss	140
fer-903	Louisiana Spike-moss	140
fer-959	Blunt-leaved Spike-moss	140
fer-s.960	Bluntleaf spikemoss	140
fer-987	Oregon Spike-moss	140
fer-1017	Peruvian Spike-moss	140
fer-1025	Resurrection Plant	140
fer-1030	Plumed spikemoss	140
fer-1098	Northern selaginella	140
fer-1098	Rock Spike-moss	140
fer-1099	Rock-loving Spike-moss	140
fer-1126	Gez&auml;hnter Moosfarn	140
fer-1126	Club spikemoss	140
fer-1144	Siberian spikemoss	140
fer-1207	Twistedhair spikemoss	140
fer-1220	Hooked Spike-moss	140
fer-1220	Blue spikemoss	140
fer-1222	Underwood's Spike-moss	140
fer-1226	Utah Spike-moss	140
fer-1242	Slender Spike-moss	140
fer-1250	Wallace's Spike-moss	140
fer-1254	Alpine Spike-moss	140
fer-1256	Weath.'s Spike-moss	140
fer-1260	Vine Spike-moss	140
fer-1262	Wright's Spike-moss	140
fer-1276	Acadian Quillwort	140
fer-1286	Appalachian quillwort	140
fer-1290	Azoren-Brachsenkraut	140
fer-1294	Bolander's Quillwort	140
fer-1297	Boom's quillwort	140
fer-1303	Limestone quillwort	140
fer-1316	Durieus Brachsenkraut	140
