ID,AcceptedName_ID,Genus,Species,AutorString,InfraSpecies,InfraSpMarker,InfraSpecificAutorString,Sp2000NameStatus,GSDNameStatus,
386656,124351,Tococa,bolivarensis,,occidentalis,ssp.,Wurdack,Synonym,,
124423,384182,Memecylon,sansibaricum,,maritimum,var.,"(A. Fern. & R. Fern.) A. Fern. & R. Fern.",Synonym,,
403629,403788,Memecylon,kurzii,King,,,,Synonym,,
124480,403401,Memecylon,umbellatum,,thwaitesii,var.,"(C.B. Clarke) Trimen",Synonym,,
403537,387406,Memecylon,pterocaule,"(Korth.) Merr.",,,,Synonym,,
396270,387406,Eugenia,pterocaulis,"(Korth.) Miq.",,,,Synonym,,
403639,124474,Memecylon,laurinum,Blume,,,,Synonym,,
401528,124527,Mouriri,angustifolia,Auct.,,,,Synonym,,
415961,124585,Leandra,gracilis,,glazioviana,var.,Cogn.,Synonym,,
381235,124630,Loreya,minor,Cogn.,,,,Synonym,,
415612,124634,Loreya,quadrifolia,Gleason,,,,Synonym,,
386557,124698,Miconia,,"(DC.) Naudin",,subgen.,,Synonym,,
386116,124699,Miconia,,"(Naudin) Cogn.",,sect.,,Synonym,,
388027,124699,Hypoxanthus,,"Rich. ex DC.",,gen.,,Synonym,,
404608,124737,Melastoma,cymosum,"Wendl. ex Spreng.",,,,Synonym,,
252259,124738,Ossaea,scalpta,"(Vent.) DC.",,,,Synonym,,
245645,208045,Melastoma,hirtum,L.,,,,Synonym,,
124533,208045,Melastoma,crenatum,Vahl.,,,,Synonym,,
383282,208045,Clidemia,hirta,,tiliaefolia,var.,"(DC.) J.F.Macbr.",Synonym,,
383476,208045,Clidemia,hirta,,elegans,var.,"(Aubl.) Griseb.",Synonym,,
386585,208045,Staphidium,chrysanthum,Naudin,,,,Synonym,,
386586,208045,Staphidium,hostmanii,Naudin,,,,Synonym,,
404111,208045,Melastoma,pauciflorum,Desr.,,,,Synonym,,
405757,208045,Leandra,fimbriata,Raddi,,,,Synonym,,
388333,208045,Clidemia,hirta,,chrysantha,var.,"(Naudin) Cogn.",Synonym,,
390441,208045,Clidemia,benthamiana,Miq.,,,,Synonym,,
390694,208045,Clidemia,pauciflora,"(Desr.) DC.",,,,Synonym,,
415472,208045,Maieta,hirta,"(L.) M.Gómez",,,,Synonym,,
404250,246446,Melastoma,lanatum,"Lamb. ex DC.",,,,Synonym,,
386804,208050,Clidemia,tristis,D.Don,,,,Synonym,,
387124,208050,Staphidium,spicatum,Naudin,,,,Synonym,,
382481,208050,Clidemia,umbonata,DC.,,,,Synonym,,
381275,208051,Melastoma,latifolia,Desr.,,,,Synonym,,
252257,237608,Ossaea,krugiana,Cogn.,,,,Synonym,,
384406,245180,Mecranium,amygdalinum,,longifolium,f.,Cogn.,Synonym,,
384408,245180,Mecranium,amygdalinum,,parvifolium,f.,Cogn.,Synonym,,
384410,245180,Mecranium,amygdalinum,,subintegerrimum,f.,Cogn.,Synonym,,
384587,245648,Melastoma,normale,D.Don,,,,Synonym,,
384589,245648,Melastoma,esquirolii,H.Lév.,,,,Synonym,,
384590,245648,Melastoma,affine,D.Don,,,,Synonym,,
245643,245648,Melastoma,candidum,D.Don,,,,Synonym,,
380819,245648,Melastoma,polyanthum,Blume,,,,Synonym,,
387218,245648,Melastoma,malabathricum,,malabathricum,ssp.,L.,Synonym,,
387219,245648,Melastoma,malabathricum,,normale,ssp.,"(D.Don) Karst.Mey.",Synonym,,
404303,245648,Melastoma,malabathricum,Jack,,,,Synonym,,
404539,245648,Melastoma,cavaleriei,"H.Lév. & Vaniot",,,,Synonym,,
404560,245648,Melastoma,clarkeanum,Cogn.,,,,Synonym,,
404491,245648,Melastoma,houtteanum,Naudin,,,,Synonym,,
403861,245648,Melastoma,wallichii,DC.,,,,Synonym,,
403966,245648,Melastoma,scabrum,Ridl.,,,,Synonym,,
404612,245651,Melastoma,decemfidum,"Roxb. ex Jack",,,,Synonym,,
404638,245651,Melastoma,dodecandrum,Roxb.,,,,Synonym,,
404291,245651,Melastoma,macrocarpum,D.Don,,,,Synonym,,
404336,245651,Melastoma,muricatum,"Hunter ex Ridl.",,,,Synonym,,
404159,245651,Melastoma,pulcherrimum,Korth.,,,,Synonym,,
404749,245651,Melastoma,balinense,Bakh.f.,,,,Synonym,,
384594,245651,Melastoma,dendrisetosum,C.Chen,,,,Synonym,,
417348,245651,Melastoma,sanguineum,,laevifolium,var.,"(Merr.) Karst.Mey.",Synonym,,
417349,245651,Melastoma,sanguineum,,ranauense,var.,Karst.Mey.,Synonym,,
411507,246442,Acinodendron,foveolatum,"(Cogn.) Kuntze",,,,Synonym,,
401901,246443,Miconia,wydleriana,DC.,,,,Synonym,,
382605,246443,Miconia,impetiolaris,,pandurifolia,var.,Naudin,Synonym,,
386917,246443,Acinodendron,impetiolare,"(Sw.) Kuntze",,,,Synonym,,
386925,246443,Melastoma,macrophyllum,Desr.,,,,Synonym,,
