ID	ReferenceType	ReferenceID
117941		18262
117977		18379
117979		18379
117980		18810
117981		18379
117983		18379
118022		18410
118023		18181
118035		20421
118036		20177
118040		20167
118043		19893
118044		46919
118046		19875
118047		19900
118048		18292
118049		18203
118051		46994
118052		46919
118054		47258
118055		19437
118057		19437
118058		45385
118059		47032
118065		20119
118082		18049
118084		18243
118087		18840
118092		18230
118101		18408
118102		18181
118109		18226
118110		18686
118112		18226
118114		46854
118116		18226
118120		19812
118126		18408
118127		18180
118131		18840
118137		46889
118138		18196
118144		19445
118145		20170
118147		18320
118174		18840
118176		18226
118178		18226
118182		19847
118184		20323
118187		18226
118188		18840
118205		19900
118206		19428
118207		19893
118209		18840
118210		18226
118211		18226
118214		18840
118220		19900
118223		18822
118228		19893
118230		18226
118232		18840
118234		18840
118236		18840
118238		18840
118240		18840
118242		20323
118244		20446
118246		18840
118248		18840
118250		19893
118254		18840
118256		18840
118259		19847
118261		18840
118262		19875
118263		18226
118265		20446
118268		18180
118269		19950
118270		19847
118274		20446
118275		47016
118276		46997
118285		19900
118286		18292
118286		47016
118287		19900
118289		20288
118289		47608
118295		46889
118298		18840
118303		19395
118304		19775
118305		19976
118307		19847
118318		19893
118319		19775
118328		19847
118330		18292
118332		18840
118333		18420
118335		19961
118336		19775
118338		18751
118339		18420
118341		19847
118343		18840
118345		19900
118345		47258
118347		19847
118348		19775
118349		18840
118351		19847
118352		18840
118354		19900
118356		19847
118357		18840
118364		19900
118365		19950
118367		18410
118368		18181
118369		18180
118379		43383
118407		18411
118410		20323
118411		18458
118412		19136
118413		20323
118416		19952
118419		19976
118420		19882
118421		19775
118431		20409
118432		20215
118437		19442
118438		18196
118438		18814
118440		45745
118446		19945
118449		45385
118452		19443
118460		18924
118462		18458
118464		19976
118466		18822
118467		19443
118470		18810
118472		18410
118473		19852
118474		19775
118478		18924
118480		19952
118481		18458
118485		19443
118486		18222
118487		45612
118488		19297
118492		18840
118493		20323
118495		20053
118497		45745
118501		20085
118502		19443
118508		19955
118510		18393
118512		19955
118514		18924
118516		18677
118517		20323
118519		18458
118521		19943
118523		19952
118524		18458
118526		19943
118528		18458
118531		18458
118534		19220
118542		19449
118548		19463
118550		18564
118557		19579
118558		19955
118563		18458
118564		18840
118566		20215
118567		18840
118568		20215
118569		19443
118571		19970
118577		45534
118579		18924
118584		19455
118585		18840
118588		19446
118592		19315
118594		45546
118596		18283
118597		18924
118599		18924
118602		18822
118608		18243
118611		19955
118613		18840
118618		20409
118620		19952
118627		19952
118628		18224
118629		18458
118630		18932
118638		20215
118639		18677
118640		18458
118644		19955
118646		18458
118649		19925
118674		18677
118676		20323
118688		18564
118690		18840
118693		45640
118695		45550
118700		19448
118701		19464
118704		20215
118706		45982
118714		18458
118716		18222
118721		20323
118722		18295
118724		22590
118728		20094
118729		18196
118729		20078
118734		18814
118736		20053
118739		18811
118741		19775
118742		19443
118743		20269
118747		20409
118749		18196
118750		19882
118758		18411
118759		18840
118759		19775
118768		18318
118768		18494
118776		18295
118779		18883
118780		18811
118781		18295
118785		18822
118822		18221
118825		19048
118826		44129
118827		18927
118831		19346
118837		19542
118839		18912
118840		18643
118844		18259
118849		19849
118852		19834
118859		19618
118860		19502
118861		19377
118888		20256
118889		19872
118900		19026
118909		20291
118910		17988
118911		18230
118913		18195
118914		18286
118916		19909
118919		18563
118924		19355
118932		19012
118933		17988
118940		19932
118943		18007
118945		20091
118946		19614
118947		17968
118948		18581
118948		18811
118948		18816
118954		18471
118960		18926
118961		45385
118963		18926
118964		18581
118969		18471
118971		19907
118974		18007
118975		19907
118977		20167
118978		19882
118980		45385
118981		18296
118998		20123
119001		18925
119002		18125
119005		20118
119006		18544
119008		20029
119010		18581
119021		19976
119024		19335
119034		20450
119038		19933
119041		17988
119045		18820
119047		18385
119053		18914
119055		18914
119057		18912
119060		19907
119070		18990
119071		18816
119074		18223
119076		20323
119078		18538
119083		20326
119085		19775
119086		19426
119086		19933
119089		18261
119092		20326
119093		18420
119098		19201
119100		19553
119103		18811
119104		18194
119105		20167
119106		19481
119109		20167
119110		17968
119111		18397
119112		18397
119113		18166
119122		17988
119125		18435
119129		19128
119130		18581
119131		18688
119135		20220
119136		18580
119154		18471
119155		18471
119164		18471
119166		18471
119168		18444
119169		17987
119170		20219
119175		18333
119176		18471
119178		18934
119179		18981
119188		18267
119189		18990
119190		20118
119191		18223
119192		18985
119193		20291
119195		19976
119198		18230
119200		18818
119200		20118
119206		17987
119209		19198
119210		19775
119211		18194
119218		18051
119220		18471
119223		18535
119228		18471
119231		19933
119234		18534
119235		19128
119242		18471
119245		45426
119250		18493
119255		20102
119259		18534
119261		18217
119265		18471
119277		19553
119278		19554
119283		19390
119284		18582
119285		17988
119286		18534
119294		17968
119297		18958
119302		19041
119304		19041
119316		17987
119319		19931
119322		20323
119324		18817
119328		18538
119331		18990
119332		19614
119337		18811
119341		17987
119343		19563
119347		18810
119355		18810
119358		20029
119359		18535
119362		18810
119362		19907
119373		18321
119374		18071
119377		18543
119378		19318
119381		19282
119384		18195
119394		18385
119401		19318
119404		18816
119404		36998
119407		19318
119408		18215
119411		19931
119412		18831
119422		19318
119425		19318
119428		19335
119432		19931
119433		18831
119443		18810
119447		18538
119452		18538
119460		18215
119460		19318
119465		18195
119468		18538
119478		18538
119483		20271
119484		19431
119487		19848
119490		18816
119499		18934
119499		18954
119501		18816
119502		19318
119502		19327
119506		19329
119509		19431
119510		18176
119513		18810
119517		18176
119528		18176
119530		18176
119533		18810
119545		19431
119546		18908
119551		20170
119552		18176
119555		19327
119556		18215
119557		18832
119559		18810
119560		18904
119561		19340
119563		18811
119563		18816
119563		18985
119571		19339
119576		18195
119578		20029
119579		18299
119583		20271
119584		20271
119586		18176
119590		18811
119591		19327
119592		19318
119594		18215
119595		20271
119599		19431
119609		19925
119615		19318
119617		18810
119618		19318
119620		19318
119622		19903
119625		19931
119627		19318
119629		18195
119630		19318
119632		18267
119633		18990
119636		19989
119638		19318
119641		18195
119642		19931
119645		19318
119647		18817
119650		18816
119651		19318
119656		18817
119659		18905
119661		19081
119664		18267
119666		18655
119669		18810
119671		18816
119672		20291
119674		18223
119680		19026
119681		19933
119687		18267
119688		20280
119695		19327
119697		18810
119699		20118
119700		19913
119707		19339
119713		18194
119713		18934
119713		19542
119716		18582
119719		19318
119721		18810
119723		19318
119725		18215
119726		18810
119729		18905
119731		18176
119734		19925
119735		18990
119736		20118
119737		19318
119738		20029
119739		18215
119740		19327
119744		19765
119746		18582
119748		18447
119750		18582
119753		18817
119754		45385
119756		19012
119757		45385
119761		18176
119763		18176
119765		18176
119766		20231
119768		20271
119769		45385
119770		19431
119771		18176
119772		18810
119776		19845
119778		18582
119782		18588
119794		18441
119796		20347
119799		19412
119800		18176
119805		18286
119809		18176
119812		18810
119817		18810
119824		18205
119832		20218
119834		18534
119855		19788
119856		19493
119859		20102
119866		19026
119868		18810
119870		18934
119871		18071
119874		18955
119875		18535
119884		18810
119884		19991
119887		19933
119889		18276
119891		18493
119893		44975
119896		18483
119897		18385
119903		18955
119904		18537
119905		18810
119908		19991
119912		18276
119914		18812
119917		19327
119922		18206
119924		44440
119926		19991
119928		19989
119929		18832
119930		19327
119933		19909
119937		18535
119938		20323
119940		18536
119943		18535
119945		18426
119958		19061
119959		18810
119959		19493
119963		17988
119964		18585
119966		20326
119967		18420
119968		18397
119971		18421
119973		19559
119975		19925
119982		18215
119984		19898
119985		18990
119986		18816
119987		20118
119992		19327
119993		20323
119996		19061
119997		19493
120001		19477
120003		19991
120006		19831
120008		19989
120009		18990
120012		43490
120013		18818
120016		19327
120020		18195
120021		19406
120032		18276
120035		18321
120036		18276
120039		18471
120040		18276
120042		18276
120050		19048
120051		18810
120054		18471
120055		18810
120057		19768
120058		18471
120061		18810
120064		18471
120067		18261
120068		18269
120070		18471
120071		18471
120071		18496
120071		18810
120076		18642
120080		19012
120081		18642
120085		18642
120087		19012
120088		18810
120091		20291
120092		18397
120093		18297
120094		20323
120095		19931
120097		18642
120100		19078
120102		18881
120104		20167
120109		17968
120119		20167
120123		18321
120129		18934
120134		18912
120143		18260
120143		18687
120145		18954
120148		18214
120152		19932
120156		17968
120156		18214
120164		18881
120165		17968
120165		18214
120165		20118
120178		18194
120179		19775
120180		18297
120181		18534
120182		20029
120197		18538
120198		45385
120208		18912
120212		18934
120217		17968
120217		18214
120217		18810
120217		18955
120229		18214
120229		19346
120236		19932
120240		18815
120261		20291
120263		17968
120269		18810
120271		18643
120275		18957
120277		18471
120278		18489
120280		18643
120282		18471
120283		18489
120286		18471
120287		18471
120287		18810
120292		18810
120294		18321
120295		18471
120296		18810
120298		18810
120300		18269
120301		18810
120305		19594
120308		18955
120309		19594
120310		18471
120310		18810
120317		18471
120318		18496
120322		18536
120323		18471
120324		18810
120326		44441
120328		44417
120330		18471
120331		18810
120336		18471
120337		18496
120347		19424
120348		18810
120350		43577
120352		19424
120353		18810
120355		19158
120356		18810
120362		19121
120369		18534
120371		18269
120371		18471
120379		20346
120389		19933
120390		19554
120391		18711
120399		19081
120400		19129
120401		18258
120402		18685
120403		18688
120406		18655
120409		18002
120420		17996
120422		43923
120424		17996
120426		18810
120427		18680
120428		19933
120431		46021
120432		19933
120434		18385
120436		18420
120437		19774
120439		19933
120440		19775
120442		20220
120443		18644
120446		18381
120447		19775
120448		19394
120450		19081
120451		18686
120453		19237
120456		19081
120459		19932
120461		18538
120462		18810
120466		20326
120467		19775
120468		19394
120472		20015
120478		19340
120480		19933
120483		19933
120484		18125
120485		18321
120486		19933
120489		19925
120494		19933
120506		19989
120507		18194
120510		19906
120513		18194
120515		18644
120518		18267
120523		18815
120524		19775
120527		18688
120532		20271
120534		18810
120537		19930
120539		18420
120540		18397
120541		18421
120546		18420
120547		18397
120548		18421
120551		18655
120555		19016
120558		18645
120568		18051
120572		19849
120576		19932
120581		18040
120582		19775
120583		18934
120592		19081
120593		18686
120595		18214
120596		18310
120598		18810
120599		18810
120601		18643
120602		18903
120607		18420
120608		18397
120609		18421
120611		18819
120615		20015
120619		19910
120620		18297
120621		19481
120623		18196
120629		19197
120632		18958
120634		18954
120637		18655
120640		19930
120641		18286
120646		46021
120647		18078
120647		18471
120655		18214
120656		19933
120661		19932
120663		18214
120666		18393
120667		19933
120673		18002
120677		18655
120680		19913
120684		19530
120687		17996
120689		18385
120690		18420
120694		19527
120696		18715
120698		19415
120701		19234
120702		19933
120705		18692
120707		18692
120709		19234
120710		19933
120711		17996
120713		18692
120715		19137
120717		18692
120719		19530
120720		18810
120722		19530
120723		18810
120725		19682
120727		19753
120728		18685
120729		18652
120731		19068
120732		19670
120733		19610
120737		17995
120739		19849
120740		18685
120741		19234
120742		19933
120743		19211
120747		19280
120749		18246
120751		19159
120753		19774
120755		19129
120758		19391
120760		18685
120762		18692
120766		19079
120768		17995
120770		19485
120772		17995
120775		19234
120776		19933
120779		19618
120780		19502
120783		19245
120785		17974
120786		18679
120787		19933
120789		19608
120790		19933
120793		20088
120795		18692
120798		19252
120800		19553
120801		19554
120802		18655
120805		19553
120809		18381
120810		19775
120814		20326
120815		19775
120816		19392
120817		18685
120819		18397
120820		19775
120821		19394
120822		18421
120823		18685
120824		19561
120827		19081
120828		19138
120830		19276
120832		18214
120834		18381
120835		18954
120835		19775
120839		20455
120840		19775
120842		18686
120843		18685
120845		19197
