ReferenceID	Authors	Year	Title	Source
17967	Hille Ris Lambers	1970	The genus Nearctaphis Shaposhnikov, 1950	Proceedings Koninkl. Nederl. Akademie Van Wetenschappen, Amsterdam C 73(1):48-74
17968	Mason, P.W.	1940	A revision of the North American aphids of the genus Myzus	United State Department of Agriculture Miscellaneous Publication 371:30 pp
17969	Handlirsch	1908		Die Fossilen Insekten und die Phylogenie der Rezenten Formen: Ein Handbuch für Paläontologen und Zoologen, Wilhelm Engelmann, Leipzig 1430 pp
17970	Boudreaux & Tissot	1962	The black-bordered species of Myzocallis of oaks (Homoptera, Aphidae)	Miscellaneous Publications of the Entomological Society of America 3(4):122-144
17971	Olive	1963	The genus Dactynotus Rafinesque in North Carolina (Homoptera: Aphidae)	Miscellaneous Publications of the Entomological Society of America 4:31-66
17972	Patch	1923	Homoptera of the Pribilof Islands, Alaska	North American Fauna 46:143-144
17973	Pergande	1904	On some of the aphides affecting grains and grasses of the United States	United States Department of Agriculture Division of Entomology Bulletin 44:5-23
17974	Pergande	1900	Papers from the Harriman Alaska expedition. XVI. Entomological results (10): Aphididae	Proceedings of the Washington Academy of Sciences 2:513-517
17975	Riley, C.V.	1869	First annual report of the noxious, beneficial and other insects of the state of Missouri	Annual Report of the State Board of Agriculture of Missouri (1868):181 pp
17976	Riley, C.V.	1874	Sixth annual report of the noxious, beneficial and other insects of the state of Missouri	Annual Report of the State Board of Agriculture of Missouri (1873):169 pp
17979	Riley, C.V.	1875	Seventh annual report of the noxious, beneficial and other insects of the state of Missouri	Annual Report of the State Board of Agriculture of Missouri (1874):196 pp
17981	Smith, C.F.	1960	Aphids (Aphidae: Homoptera) on “Cacao” in the Dominican Republic	Journal of the Agricultural University of Puerto Rico 44:154-156
17982	Smith, C.F.	1960	New species of Aphidae: Homoptera from Puerto Rico	Journal of the Agricultural University of Puerto Rico 44:157-162
17983	Smith, C.F.	1970	Notes on the genus Picturaphis and related genera with a new species of Picturaphis from Puerto Rico (Aphididae: Homoptera)	Journal of the Agricultural University of Puerto Rico 54(4):683-688
17984	Smith, C.F. & Knowlton	1977	The genus Rhopalosiphoninus Baker (Homoptera: Aphididae) in North America	Coop. Plant Pest. Rep. 2(8):75-80
17987	Heinze	1961	Systematik der mitteleuropäischen Myzinae mit besonderer Berücksichtigung der im Deutschen Entomologischen Institut befindlichen Sammlung Carl Börner (Homoptera: Aphidoidea–Aphididae) III. Teil Myzini, Cryptomyzini und Nasonoviini	Beiträge zur Entomologie 11(1-2):24-96
17988	Heinze	1960	Systematik der mitteleuropäischen Myzinae mit besonderer Berücksichtigung der im Deutschen Entomologischen Institut befindlichen Sammlung Carl Börner (Homoptera: Aphidoidea–Aphididae)	Beiträge zur Entomologie 10(7-8):744-842
17990	Brown, P.A. & Blackman	1985	A new species of Amphorophora (Homoptera: Aphididae) on Geranium macrorrhizum in Britain	Journal of Natural History 19:225-232
17991	Sano & Akimoto	2005	Distribution of bisexual and unisexual species in the aphis genus Colopha Monell (Aphididae: Eriosomatinae), with the description of a new species	Journal of Natural History 39(4):337-349
17992	Czylok & Blackman	1991	A new species of Stomaphis (Homoptera: Aphididae) from Czechoslovakia	Journal of Natural History 25:665-669
17993	Hodjat	1981	Two new aphids (Hemiptera: Aphididae) from Iran and keys to related Middle Eastern species	Journal of Natural History 15:365-374
17994	Zhang, Dong & Qiao	2007	Pentatrichosiphum (Sternorrhyncha: Aphididae), a generic account with the description of a new species from Hainan, China	Journal of Natural History 41(37-40):2419-2431
17995	Jensen & Holman	2000	Macrosiphum on ferns: taxonomy, biology and evolution, including the description of three new species (Hemiptera: Aphididae)	Systematic Entomology 25(3):339-372
