AcceptedTaxonID	Order	Superfamily	Family	Genus	SubgenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDNameGUID
1217413	Hymenoptera		Chrysididae	Isegama		meaculpa	Krombein, 1983		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472980	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472980
1217415	Hymenoptera		Chrysididae	Isegama		malaysiana	Kimsey, 1986		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472979	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472979
1217417	Hymenoptera		Chrysididae	Kryptosega		anomala	Kimsey, 1986		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472975	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472975
1217418	Hymenoptera		Chrysididae	Kryptosega		kaindeana	Kimsey, 1986		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472974	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472974
1217420	Hymenoptera		Chrysididae	Leptosega		gracilis	Krombein, 1984		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472971	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472971
1217422	Hymenoptera		Chrysididae	Magdalium		cuneifacialis	Kimsey, 1986		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472969	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472969
1217424	Hymenoptera		Chrysididae	Mahinda		saltator	Krombein, 1983		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472965	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472965
1217426	Hymenoptera		Chrysididae	Myrmecomimesis		nigricans	(Walker, 1866)		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472959	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472959
1217431	Hymenoptera		Chrysididae	Myrmecomimesis		flavicollis	(Kieffer, 1905)		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472956	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472956
1217435	Hymenoptera		Chrysididae	Myrmecomimesis		bispinosa	(Riek, 1955)		Accepted name	False	False	True	terrestrial		Edward Baker	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Chrysididae.speciesfile.org:TaxonName:472952	urn:lsid:Chrysididae.speciesfile.org:TaxonName:472952
