AcceptedTaxonID	DistributionElement	StandardInUse
1217413	SRL	TDWG Level 3 code
1217415	MLY-PM	TDWG Level 4 code
1217417	NWG	TDWG Level 3 code
1217418	NWG	TDWG Level 3 code
1217420	NAT	TDWG Level 3 code
1217422	42    	TDWG Level 2 code
1217424	SRL	TDWG Level 3 code
1217426	QLD	TDWG Level 3 code
1217431	QLD	TDWG Level 3 code
1217435	NSW	TDWG Level 3 code
1217436	QLD	TDWG Level 3 code
1217437	NSW	TDWG Level 3 code
1217438	NSW	TDWG Level 3 code
1217439	QLD	TDWG Level 3 code
1217440	NSW	TDWG Level 3 code
1217441	QLD	TDWG Level 3 code
1217442	NSW	TDWG Level 3 code
1217443	QLD	TDWG Level 3 code
1217445	DOM	TDWG Level 3 code
1217448	27    	TDWG Level 2 code
1217450	SRL	TDWG Level 3 code
1217452	27    	TDWG Level 2 code
1217453	CPP	TDWG Level 3 code
1217454	NAT	TDWG Level 3 code
1217456	PHI	TDWG Level 3 code
1217457	PHI	TDWG Level 3 code
1217458	PHI	TDWG Level 3 code
1217460	SRL	TDWG Level 3 code
1217461	SRL	TDWG Level 3 code
1217463	SRL	TDWG Level 3 code
1217464	SRL	TDWG Level 3 code
1217465	SRL	TDWG Level 3 code
1217466	SRL	TDWG Level 3 code
1217467	SRL	TDWG Level 3 code
1217468	SRL	TDWG Level 3 code
1217471	CPP	TDWG Level 3 code
1217472	CPP	TDWG Level 3 code
1217474	ZIM	TDWG Level 3 code
1217475	NAT	TDWG Level 3 code
1217478	TEX	TDWG Level 3 code
1217480	PAN	TDWG Level 3 code
1217482	ARI	TDWG Level 3 code
1217482	KAN	TDWG Level 3 code
1217482	MIN	TDWG Level 3 code
1217482	MRY	TDWG Level 3 code
1217482	NCA	TDWG Level 3 code
1217482	NWY	TDWG Level 3 code
1217482	PEN	TDWG Level 3 code
1217482	VRG	TDWG Level 3 code
1217482	WIS	TDWG Level 3 code
1217482	WVA	TDWG Level 3 code
1217483	84    	TDWG Level 2 code
1217484	84    	TDWG Level 2 code
1217485	BLZ	TDWG Level 3 code
1217486	TRT	TDWG Level 3 code
1217487	MXG-VC	TDWG Level 4 code
1217487	MXN-SI	TDWG Level 4 code
1217488	MXT-CI	TDWG Level 4 code
1217489	COS	TDWG Level 3 code
1217490	79    	TDWG Level 2 code
1217490	MXC-MO	TDWG Level 4 code
1217491	TRT	TDWG Level 3 code
1217492	BZE-BA	TDWG Level 4 code
1217493	FLA	TDWG Level 3 code
1217494	84    	TDWG Level 2 code
1217494	BZN-AM	TDWG Level 4 code
1217496	TRT	TDWG Level 3 code
1217497	84    	TDWG Level 2 code
1217497	BZS-SC	TDWG Level 4 code
1217498	BZC-GO	TDWG Level 4 code
1217498	BZC-MT	TDWG Level 4 code
1217499	84    	TDWG Level 2 code
1217499	BZE-BA	TDWG Level 4 code
1217499	BZE-PE	TDWG Level 4 code
1217499	BZL-MG	TDWG Level 4 code
1217499	BZL-RJ	TDWG Level 4 code
1217500	COS	TDWG Level 3 code
1217501	84    	TDWG Level 2 code
1217502	79    	TDWG Level 2 code
1217502	MXG-VC	TDWG Level 4 code
1217504	TVL	TDWG Level 3 code
1217506	ECU	TDWG Level 3 code
