ID	ReferenceType	ReferenceID
472725		43987
472729		43987
472733		45720
472740		45723
472741		45723
472742		45723
472747		45718
472779		44529
472811		45699
472822		45697
472826		43992
472830		45708
472840		45708
472856		43984
472858		43984
472868		45703
472876		45706
472878		43983
472890		45703
472895		43983
472928		45717
472929		43984
472934		45710
472936		45710
472938		45710
472940		45710
472942		45715
472943		45710
472945		45710
472947		45710
472949		45715
472951		45710
472952		43994
472956		45714
472960		45713
472961		45710
472962		45715
472963		45710
472978		43986
473174		43989
1217413		43985
1217415		43993
1217417		43993
1217418		43993
1217420		45711
1217422		43993
1217424		43985
1217426		45712
1217426		45713
1217431		43984
1217431		45714
1217435		43994
1217435		45710
1217436		43984
1217436		45715
1217437		45710
1217438		43994
1217438		45710
1217439		43984
1217439		45710
1217439		45715
1217440		43984
1217440		45710
1217441		45710
1217442		45710
1217443		45710
1217445		43984
1217448		43984
1217448		45717
1217450		43985
1217452		43984
1217453		45711
1217454		43982
1217456		45718
1217457		43984
1217458		43984
1217460		43985
1217461		43985
1217463		43986
1217464		43985
1217465		43985
1217466		43985
1217467		43985
1217468		43985
1217471		43982
1217472		43982
1217474		45702
1217475		43984
1217478		43983
1217479		43991
1217480		44536
1217482		43983
1217482		45703
1217483		45701
1217484		45701
1217485		43992
1217486		43992
1217487		43992
1217488		43992
1217489		43984
1217490		43983
1217491		43992
1217492		43992
1217493		43983
1217494		45705
1217496		43992
1217497		43992
1217498		43992
1217499		43992
1217500		43992
1217501		43992
1217502		43983
1217502		45703
1217504		45707
1217506		43992
1217507		43992
1217510		43984
1217510		45765
1217511		43984
1217511		45765
1217512		43993
1217514		43985
1217515		43985
1217516		43985
1217518		43993
1217520		45708
1217522		43993
1217523		43985
1217523		43986
1217524		43986
1217525		45708
1217526		43993
1217527		43993
1217529		43984
1217530		43984
1217530		45708
1217532		45709
1217533		43992
1217534		43992
1217536		45697
1217540		43983
1217541		45700
1217542		45700
1217543		45700
1217544		45700
1217545		45700
1217546		45700
1217547		45701
1217548		45700
1217549		45700
1217550		45700
1217551		45700
1217552		45700
1217553		45700
1217554		43981
1217555		45700
1217556		45700
1217559		43984
1217561		45710
1217563		43985
1217565		43985
1217566		43984
1217569		43990
1217571		43989
1217572		45721
1217573		43985
1217574		45721
1217575		43989
1217576		43989
1217577		43985
1217578		43987
1217579		43989
1217580		45722
1217582		45721
1217583		45722
1217584		45721
1217585		45723
1217585		45755
1217588		45721
1217589		43989
1217591		43989
1217592		45721
1217593		45724
1217595		45721
1217596		45721
1217597		43987
1217598		45721
1217599		43989
1217600		43987
1217601		45718
1217602		45721
1217603		43989
1217604		45721
1217609		45721
1218595		44521
1218596		44525
1218599		45758
1218600		44526
1218601		44526
1218602		44528
1218602		44529
1218604		44528
1218605		44528
1218606		44528
1222349		45726
1222363		44529
1222365		45756
1222366		45757
1222367		45759
1222368		44525
1222369		45759
1222370		45763
1222371		45764
1222372		45765
1222373		45765
1222374		45765
1222375		45766
1222376		45766
1222377		45766
1222378		45766
1222379		45766
1222380		45766
1222381		45766
1222382		45766
1222383		45766
1222384		45766
1222385		45766
1222387		45767
1222523		45845
1222524		45846
1222525		45846
1222526		45846
1222527		45846
1222528		45846
1222529		45846
1222530		45846
1222531		45846
1222532		45846
1222533		45846
1222680		45846
1223807		44529
1223808		44529
1223810		44529
1223811		44529
1225184		46848
1225185		46848
1225186		46848
