ID	AcceptedTaxonID	Genus	SubgenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
145332	1172577	Thaumatoblatta		leonhardi	Hanitsch, 1950				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8675
145333	1172577	Acanthogyna		deplanata	Chopard, 1927				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8674
145341	1172587	Blatta		liturata	Serville, 1838				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8662
145343	1172587	Periplaneta		insolita	Walker, F., 1868				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8665
145344	1172587	Epilampra		quadrata	Saussure, 1873				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8664
145347	1172592	Cyrtonota		lata	Hanitsch, 1929				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8659
145353	1172597	Paraplecta		conradti	Shelford, 1908				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8653
145355	1172598	Eustegasta		parva	Borg, 1902				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8650
145357	1172598	Paraplecta		aethiopica	Shelford, 1907				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:466695
145362	1172604	Nauphoeta		amoena	Saussure, 1864				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8644
145365	1172606	Epilampra		buprestoides	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8641
145367	1172607	Epilampra		carabidina	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8639
145372	1172610	Nauphoeta		metallica	Saussure, 1864				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8635
145374	1172612	Panchlora		poecila	Schaum, 1853				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8630
145376	1172612	Eustegasta		obsoleta	Kirby, W. F., 1900				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8633
145377	1172612	Eustegasta		rhodesiana	Princis, 1949				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8632
145378	1172615	Compsoblatta		pulchella	Saussure, 1891				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8628
145382	1172618	Compsoblatta		suava	Saussure, 1891				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8624
145385	1172620	Compsoblatta		venusta	Saussure, 1891				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8621
145392	1172626	Polyzosteria		purpurea	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8613
145394	1172626	Glyptopeltis		biguttata	Saussure, 1873				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8615
145396	1172629	Polyphaga		cryptospila	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8607
145398	1172629	Polyphaga		erythrospila	Saussure, 1893				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8610
145400	1172629	Gynopeltis		picta	Gerstaecker, 1869				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8609
145403	1172635	Epilampra		angulata	Saussure, 1891				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8602
145405	1172635	Hedaia		venusta	Saussure & Zehntner, 1895				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8604
145419	1172649	Stilpnoblatta		minuta	Shelford, 1912				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8587
145421	1172650	Stilpnoblatta		minutissima	Shelford, 1908				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8585
145423	1172651	Cirphis		pallipes	Stål, 1876				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8581
145425	1172651	Pseudogynopeltis		lata	Karny, 1908				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8584
145426	1172651	Pseudogynopeltis		schulthessi	Karny, 1908				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8583
145446	1172672	Stenoblatta		paralella					 Subsequent misspelling (Correct spelling is <i>parallela</i>)	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:9188
145448	1172675	Polyzosteria		geochroma	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8557
145450	1172675	Apsidopis		wallacei	Shelford, 1907				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8560
145451	1172675	Polyzosteria		antica	Walker, F., 1868				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8559
145453	1172678	Morphna		mjöbergi	Bruijning, 1948				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8556
145456	1172681	Thliptoblatta		taurina	Saussure & Zehntner, 1895				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8553
145464	1172690	Zetobora		patula	Walker, F., 1871				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8544
145466	1172690	Capucina		cucullata	Saussure, 1893				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8546
145468	1172693	Zetobora		emarginata	Burmeister, 1838				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8539
145470	1172693	Zetobora		cicatricosa	Burmeister, 1838				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8542
145471	1172693	Zetobora		perspicua	Walker, F., 1868				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8541
145472	1172696	Lauxoblatta		frater	Hebard, 1933				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8537
145474	1172697	Zetobora		lata	Shelford, 1907				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8535
145476	1172698	Zetobora		limbata	Brunner von Wattenwyl, 1865				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8533
145478	1172699	Lauxoblatta		magnifica	Rehn, J. A. G., 1932				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8531
145480	1172700	Zetobora		martinezi	Bolívar, 1881				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8529
145484	1172702	Zetobora		rudis	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8527
145490	1172708	Blatta		ovata	Blanchard, 1851				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8518
145492	1172708	Hormetica		chilensis	Saussure, 1862				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8522
145493	1172708	Polyzosteria		geissei	Philippi, 1863				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8521
145494	1172708	Polyzosteria		valdiviana	Philippi, 1863				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8520
145500	1172716	Zetobora		maximiliani	Saussure, 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8513
145501	1172717	Zetobora		nimbata	Burmeister, 1838				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8510
145503	1172717	Zetobora		castanea	Saussure, 1864				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8512
145505	1172720	Zetobora		phoraspoides	Walker, F., 1871				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8506
145507	1172720	Zetobora		sublobata	Saussure & Zehntner, 1893				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8508
145508	1172722	Zetobora		verrucosa	Saussure, 1864				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8504
145517	1172730	Blatta		fissicollis	Serville, 1838				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8495
145527	1172739	Blatta		conspersum	Guérin-Méneville & Percheron, 1835				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8485
145529	1172740	Zetobora		conspurcatum	Burmeister, 1838				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8483
145532	1172742	Philobora		elegans	Brunner von Wattenwyl, 1865				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8480
145535	1172743	Nauphoeta		guttulosa	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8477
145536	1172743	Nauphoeta		guttulata	Finot, 1897				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8478
145541	1172748	Blatta		spectrum	Eschscholtz, 1822				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:8470
148176	1174740	Balta		pallescens	(Tepper, 1895)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:5878
148177	1174740	Blattella		luteomarginata	Hanitsch, 1934				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:5881
148178	1174742	Beybienkoa		paramaxi	Roth, L. M., 1991				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:5876
148182	1174744	Beybienkoa		webbana	Roth, L. M., 1991				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:5873
148183	1174745	Beybienkoa		windsorana	Roth, L. M., 1991				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:5871
148188	1174749	Blatta		reducta	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:5860
