AcceptedTaxonID	DistributionElement	StandardInUse
1186241	CHC-SC	TDWG Level 4 code
1186242	36    	TDWG Level 2 code
1186242	ALB	TDWG Level 3 code
1186242	AUT	TDWG Level 3 code
1186242	BGM	TDWG Level 3 code
1186242	BRC	TDWG Level 3 code
1186242	BUL	TDWG Level 3 code
1186242	CAL	TDWG Level 3 code
1186242	COL	TDWG Level 3 code
1186242	CZE-SL	TDWG Level 4 code
1186242	DEN	TDWG Level 3 code
1186242	FIN	TDWG Level 3 code
1186242	FRA	TDWG Level 3 code
1186242	GER	TDWG Level 3 code
1186242	GRB	TDWG Level 3 code
1186242	GRC	TDWG Level 3 code
1186242	HUN	TDWG Level 3 code
1186242	IDA	TDWG Level 3 code
1186242	IRN	TDWG Level 3 code
1186242	ITA	TDWG Level 3 code
1186242	KAN	TDWG Level 3 code
1186242	KRI	TDWG Level 3 code
1186242	LOU	TDWG Level 3 code
1186242	MOR	TDWG Level 3 code
1186242	NET	TDWG Level 3 code
1186242	NOR	TDWG Level 3 code
1186242	NWM	TDWG Level 3 code
1186242	POL	TDWG Level 3 code
1186242	POR	TDWG Level 3 code
1186242	ROM	TDWG Level 3 code
1186242	SPA	TDWG Level 3 code
1186242	SWE	TDWG Level 3 code
1186242	SWI	TDWG Level 3 code
1186242	TEX	TDWG Level 3 code
1186242	TUE	TDWG Level 3 code
1186242	UKR-MO	TDWG Level 4 code
1186242	UTA	TDWG Level 3 code
1186242	WAS	TDWG Level 3 code
1186242	YUG-BH	TDWG Level 4 code
1186242	YUG-CR	TDWG Level 4 code
1186242	YUG-SL	TDWG Level 4 code
1186247	AUT	TDWG Level 3 code
1186247	FRA	TDWG Level 3 code
1186247	ITA	TDWG Level 3 code
1186247	KAZ	TDWG Level 3 code
1186247	SWI	TDWG Level 3 code
1186248	CHN-HB	TDWG Level 4 code
1186249	7	TDWG Level 1 code
1186249	CAL	TDWG Level 3 code
1186249	COL	TDWG Level 3 code
1186249	GEO	TDWG Level 3 code
1186249	KAN	TDWG Level 3 code
1186249	KTY	TDWG Level 3 code
1186249	MAI	TDWG Level 3 code
1186249	MAS	TDWG Level 3 code
1186249	MSO	TDWG Level 3 code
1186249	NCA	TDWG Level 3 code
1186249	NDA	TDWG Level 3 code
1186249	NEB	TDWG Level 3 code
1186249	NWH	TDWG Level 3 code
1186249	NWJ	TDWG Level 3 code
1186249	NWY	TDWG Level 3 code
1186249	OHI	TDWG Level 3 code
1186249	ONT	TDWG Level 3 code
1186249	PEN	TDWG Level 3 code
1186249	QUE	TDWG Level 3 code
1186249	SDA	TDWG Level 3 code
1186249	TEX	TDWG Level 3 code
1186249	UTA	TDWG Level 3 code
1186249	WDC	TDWG Level 3 code
1186250	7	TDWG Level 1 code
1186250	CAL	TDWG Level 3 code
1186250	COL	TDWG Level 3 code
1186250	GEO	TDWG Level 3 code
1186250	KAN	TDWG Level 3 code
1186250	KTY	TDWG Level 3 code
1186250	MAI	TDWG Level 3 code
1186250	MAS	TDWG Level 3 code
1186250	MSO	TDWG Level 3 code
1186250	NCA	TDWG Level 3 code
1186250	NDA	TDWG Level 3 code
1186250	NEB	TDWG Level 3 code
1186250	NWH	TDWG Level 3 code
1186250	NWJ	TDWG Level 3 code
1186250	NWY	TDWG Level 3 code
1186250	OHI	TDWG Level 3 code
1186250	ONT	TDWG Level 3 code
1186250	PEN	TDWG Level 3 code
1186250	QUE	TDWG Level 3 code
1186250	SDA	TDWG Level 3 code
1186250	TEX	TDWG Level 3 code
1186250	UTA	TDWG Level 3 code
1186250	WDC	TDWG Level 3 code
1186253	CAL	TDWG Level 3 code
1186253	DEL	TDWG Level 3 code
1186253	FLA	TDWG Level 3 code
1186253	ILL	TDWG Level 3 code
1186253	KAN	TDWG Level 3 code
1186253	MAS	TDWG Level 3 code
1186253	MRY	TDWG Level 3 code
1186253	NCA	TDWG Level 3 code
1186253	NWJ	TDWG Level 3 code
1186253	NWY	TDWG Level 3 code
1186253	OKL	TDWG Level 3 code
1186253	PEN	TDWG Level 3 code
1186253	TEX	TDWG Level 3 code
1186254	COL	TDWG Level 3 code
1186256	ARI	TDWG Level 3 code
1186256	COL	TDWG Level 3 code
1186256	LOU	TDWG Level 3 code
1186256	MAS	TDWG Level 3 code
1186256	MIC	TDWG Level 3 code
1186256	NWJ	TDWG Level 3 code
1186256	NWY	TDWG Level 3 code
1186256	ONT	TDWG Level 3 code
1186256	PEN	TDWG Level 3 code
1186256	QUE	TDWG Level 3 code
1186256	SDA	TDWG Level 3 code
1186257	COL	TDWG Level 3 code
1186257	LOU	TDWG Level 3 code
1186257	MAS	TDWG Level 3 code
1186257	MIC	TDWG Level 3 code
1186257	NWJ	TDWG Level 3 code
1186257	NWY	TDWG Level 3 code
1186257	ONT	TDWG Level 3 code
1186257	PEN	TDWG Level 3 code
1186257	QUE	TDWG Level 3 code
1186257	SDA	TDWG Level 3 code
1186259	ARI	TDWG Level 3 code
1186260	BRC	TDWG Level 3 code
1186260	COL	TDWG Level 3 code
1186260	MNT	TDWG Level 3 code
1186260	NWM	TDWG Level 3 code
1186268	TEX	TDWG Level 3 code
1186270	PAR	TDWG Level 3 code
1186272	IRN	TDWG Level 3 code
1186272	TUE	TDWG Level 3 code
1186272	TUR	TDWG Level 3 code
1186273	AFG	TDWG Level 3 code
1186274	IRN	TDWG Level 3 code
1186274	IRQ	TDWG Level 3 code
1186274	TCS-AR	TDWG Level 4 code
1186274	TUE	TDWG Level 3 code
1186275	33    	TDWG Level 2 code
1186275	AFG	TDWG Level 3 code
1186275	ALB	TDWG Level 3 code
1186275	ALG	TDWG Level 3 code
1186275	AUT	TDWG Level 3 code
1186275	BUL	TDWG Level 3 code
1186275	CNY	TDWG Level 3 code
1186275	CYP	TDWG Level 3 code
1186275	CZE-CZ	TDWG Level 4 code
1186275	CZE-SL	TDWG Level 4 code
1186275	EGY	TDWG Level 3 code
1186275	FRA	TDWG Level 3 code
1186275	GRC	TDWG Level 3 code
1186275	HUN	TDWG Level 3 code
1186275	IRN	TDWG Level 3 code
1186275	IRQ	TDWG Level 3 code
