ID	ReferenceType	ReferenceID
154557		25821
180054		26272
180057		24697
180058		25515
180059		25505
180060		25373
180061		25036
180065		24077
180069		24256
180072		24697
180569		23936
180571		25215
180583		25761
180586		26391
180588		25515
180590		25752
180594		26296
180596		25270
180598		25183
180601		23901
180605		24697
180607		26388
180611		25130
180615		25840
180616		24697
180619		24723
180622		25413
180624		25413
180629		25624
180632		24083
180634		25623
180643		25303
180645		25836
180647		25763
180649		26392
180652		25455
180653		23682
180655		25751
180659		23981
180664		26397
180665		25795
180667		24211
180672		24073
180676		25698
180684		25302
180687		26307
180689		24037
180691		25735
180693		25918
180695		25426
180697		25735
180699		23986
180701		24697
180703		25515
180705		25770
180706		26319
180708		24036
180714		25155
180716		25369
180718		25725
180720		25209
180723		26401
180728		25602
180730		25002
180735		25758
180736		26399
180738		24359
180740		23986
180742		25751
180744		24131
180747		25367
180749		25253
180750		25373
180759		25373
180763		25626
180765		25262
180771		25052
180774		24723
180776		25464
180780		25751
180782		25369
180783		26306
180787		24197
180789		24197
180792		25837
180797		25800
180799		25916
180800		26204
180801		25471
180805		23981
180808		25731
180812		25751
180814		24309
180816		23371
180822		26355
180826		24265
180831		26293
180833		23677
180835		23278
180836		25315
180838		25364
180839		25262
180842		25602
180846		25373
180848		25080
180851		24253
180853		25413
180855		25751
180857		24100
180861		25837
180866		25735
180868		24232
180870		24087
180873		25751
180876		24130
180878		24197
180883		25464
180889		24184
180892		25431
180896		23991
180900		25731
180901		25269
180903		25800
180905		24244
180907		25161
180910		25800
180915		25943
180918		25839
180921		25735
180923		24230
180928		25223
180931		25390
180933		25575
180935		26388
180936		25373
180952		25161
180956		25800
180960		24037
180962		25418
180965		25106
180970		25431
180978		23981
180982		26273
180988		25751
180991		25163
180993		26298
180994		25443
180997		23986
180998		26204
180999		25475
181002		25771
181004		25429
181007		25464
181009		25943
181013		24106
181016		25002
181023		24039
181024		25754
181025		25010
181026		25012
181027		25312
181032		25800
181036		25774
181042		23595
181051		24277
181053		25177
181056		24051
181058		25698
181062		25709
181064		24389
181068		25800
181072		24051
181073		24697
181075		25836
181077		25258
181080		24037
181084		25432
181086		24265
181088		25260
181090		25435
181094		25388
181098		24265
181105		24277
181107		25594
181111		26407
181114		24309
181116		24169
181118		24100
181122		25751
181124		26292
181126		24195
181132		25923
181135		25800
181137		25080
181139		25800
181142		24277
181146		24007
181148		25800
181151		23876
181155		24723
181157		26269
181158		26270
181159		24184
181160		25734
181161		25305
181164		26269
181169		25063
181173		25834
181177		25471
181179		26275
181180		26410
181187		25341
181189		24060
181191		25435
181192		25303
181197		25474
181200		25762
181202		25056
181206		25698
181209		24037
181211		24257
181214		24237
181217		25594
181220		25471
181222		24141
181223		26317
181224		24038
181230		24036
181232		25367
181237		24239
181238		24360
181239		25385
181240		26388
181246		24723
181249		25373
181254		25162
181256		24309
181259		26340
181262		24277
181263		24277
181267		26388
181282		24242
181285		25924
181291		26392
181300		23350
181306		26108
181307		24350
181316		24072
181319		24259
181323		24035
181326		26357
181328		26341
181330		25229
181344		24169
181346		24239
181348		25594
181349		24255
181352		25751
181354		25623
181355		26350
181358		24253
181359		25838
181361		25926
181362		25677
181368		24256
181370		25427
181372		25755
181381		25250
181388		24308
181394		24179
181397		24130
181402		24538
181404		25122
181406		25416
181409		24042
181412		25839
181414		25468
181415		24139
181419		26400
181423		25839
181427		25916
181431		26390
181434		25616
181436		25838
181438		25423
181441		25840
181447		26388
181449		24152
181460		24038
181467		26231
181476		24277
181480		24139
181482		24036
181490		24309
181494		25210
181499		25751
181500		26108
181501		25752
181509		24309
181510		25155
181512		26307
181520		22688
181528		24309
181531		26204
181534		25369
181536		26242
181537		25085
181539		24274
181548		25272
181553		25424
181556		24037
181557		25156
181563		24309
181568		25624
181570		25464
181573		24198
181575		26388
181577		25433
181583		25838
181584		24309
181590		25751
181595		25429
181597		25483
181602		25253
181605		25677
181608		24275
181610		26410
181611		25528
181612		25131
181619		23468
181624		24239
181626		26350
181627		25835
181628		24052
181631		25002
181633		24168
181635		26310
181638		24253
181642		24198
181643		26329
181649		26403
181651		25303
181654		25594
181655		25800
181657		24064
181659		26388
181662		25211
181670		26167
181672		25840
181674		25471
181676		25835
181677		25927
181680		25755
181682		24073
181685		22685
181686		25461
181688		26350
181691		26387
181692		25354
181697		25369
181702		25191
181703		26403
181704		25610
181707		24037
181709		25593
181711		25474
181713		25751
181716		25099
181722		25764
181725		25086
181739		25430
181741		24105
181742		24108
181747		25839
181750		25054
181753		25834
181755		24697
181757		25461
181761		25433
181763		23986
181765		25840
181768		26108
181770		25369
181774		26322
181780		25947
181783		26406
181785		24697
181786		26279
181788		25694
181792		25764
181794		24248
181805		25407
181807		25698
181809		23986
181813		25180
181815		25680
181821		25752
181824		26396
181825		26319
181831		25834
181834		25602
181838		25624
181840		24340
181844		26369
181847		25754
181849		23848
181851		26231
181855		25834
181858		26388
181861		26269
181862		25475
181865		26184
181867		26329
181870		25367
181876		24035
181880		25540
181882		25540
181886		24179
181888		25253
181890		23468
181892		25698
181894		25835
181898		24196
181901		25761
181903		25424
181904		25234
181908		24255
181910		26325
181914		25838
181917		26387
181919		25624
181921		24266
181922		26388
181923		25800
181932		24123
181934		24265
181936		25624
181939		25839
181942		24139
181946		26297
181952		25664
181955		25838
181957		25838
181958		24073
181960		25155
181963		23973
181967		25600
181969		25734
181971		25892
