AcceptedTaxonID	Order	Superfamily	Family	Genus	SubgenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDNameGUID
1171739	Embioptera		Paedembiidae	Paedembia		afghanica	Ross, 2006		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:794	urn:lsid:Embioptera.speciesfile.org:TaxonName:794
1171741	Embioptera		Paedembiidae	Badkhyzembia		krivokhatskyi	Gorochov & Anisyutkin, 2006		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:792	urn:lsid:Embioptera.speciesfile.org:TaxonName:792
1171747	Embioptera		Anisembiidae	Pogonembia		motaguae	Ross, 2003		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:787	urn:lsid:Embioptera.speciesfile.org:TaxonName:787
1171748	Embioptera		Anisembiidae	Pogonembia		neovenosa	Ross, 2003		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:786	urn:lsid:Embioptera.speciesfile.org:TaxonName:786
1171752	Embioptera		Anisembiidae	Phallosembia		andina	Ross, 2003		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:783	urn:lsid:Embioptera.speciesfile.org:TaxonName:783
1171754	Embioptera		Anisembiidae	Ectyphocerca		aureata	Ross, 2003		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:781	urn:lsid:Embioptera.speciesfile.org:TaxonName:781
1171756	Embioptera		Anisembiidae	Mesembia		hospes	(Myers, 1928)		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:778	urn:lsid:Embioptera.speciesfile.org:TaxonName:778
1171757	Embioptera		Anisembiidae	Mesembia		venosa	(Banks, 1924)		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:774	urn:lsid:Embioptera.speciesfile.org:TaxonName:774
1171759	Embioptera		Anisembiidae	Mesembia		catemacoa	Ross, 1984		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:769	urn:lsid:Embioptera.speciesfile.org:TaxonName:769
1171760	Embioptera		Anisembiidae	Mesembia		haitiana	Ross, 1940		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Embioptera.speciesfile.org:TaxonName:768	urn:lsid:Embioptera.speciesfile.org:TaxonName:768
