AcceptedTaxonID	DistributionElement	StandardInUse
1171739	AFG	TDWG Level 3 code
1171741	TKM	TDWG Level 3 code
1171754	PER	TDWG Level 3 code
1171756	CUB	TDWG Level 3 code
1171757	CUB	TDWG Level 3 code
1171759	MXG-VC	TDWG Level 4 code
1171760	HAI	TDWG Level 3 code
1171761	MXT-CI	TDWG Level 4 code
1171765	PER	TDWG Level 3 code
1171766	84    	TDWG Level 2 code
1171767	CLM	TDWG Level 3 code
1171770	TEX	TDWG Level 3 code
1171770	Texas and Mississippi	text
1171772	MXN-BC	TDWG Level 4 code
1171773	MXN-BC	TDWG Level 4 code
1171774	Mexico	text
1171775	Mexico	text
1171780	Guatemala	text
1171781	Mexico	text
1171784	Guatemala	text
1171785	Honduras	text
1171788	84    	TDWG Level 2 code
1171795	Trinidad and Tobago	text
1171797	PAN	TDWG Level 3 code
1171802	Bolivia	text
1171803	Bolivia	text
1171806	Colombia	text
1171809	Trinidad and Tobago	text
1171815	Brazil	text
1171816	Colombia	text
1171817	Venezuela	text
1171818	Peru	text
1171819	Colombia	text
1171820	Brazil	text
1171821	Peru	text
1171822	Brazil	text
1171823	Brazil	text
1171828	MXS-GR	TDWG Level 4 code
1171832	VEN	TDWG Level 3 code
1171835	TRT	TDWG Level 3 code
1171838	MXT-CI	TDWG Level 4 code
1171839	MXS-OA	TDWG Level 4 code
1171841	MXG-VC	TDWG Level 4 code
1171842	MXS-JA	TDWG Level 4 code
1171843	MXS-GR	TDWG Level 4 code
1171844	MXT-CI	TDWG Level 4 code
1171845	PAN	TDWG Level 3 code
1171846	PAN	TDWG Level 3 code
1171847	GAL	TDWG Level 3 code
1171848	PAN	TDWG Level 3 code
1171849	PAN	TDWG Level 3 code
1171850	MXG-VC	TDWG Level 4 code
1171851	Colombia	text
1171852	Mexico	text
1171853	El Salvador	text
1171854	Mexico	text
1171855	Peru	text
1171856	Mexico	text
1171857	Nicaragua	text
1171858	Guatemala	text
1171859	Mexico	text
1171860	Costa Rica	text
1171861	Peru	text
1171862	Mexico	text
1171863	Nicaragua	text
1171864	Nicaragua	text
1171865	CLM	TDWG Level 3 code
1171866	Costa Rica	text
1171867	Ecuador	text
1171868	Ecuador	text
1171869	Costa Rica	text
1171870	Brazil	text
1171871	Brazil	text
1171872	Mexico	text
1171873	Mexico	text
1171874	Ecuador	text
1171875	Peru	text
1171876	Mexico	text
1171877	Mexico	text
1171878	Costa Rica	text
1171879	79    	TDWG Level 2 code
1171880	Honduras	text
1171882	ARI	TDWG Level 3 code
1171883	MXS-JA	TDWG Level 4 code
1171884	MXE-ZA	TDWG Level 4 code
1171885	MXN-BC	TDWG Level 4 code
1171886	Mexico	text
1171887	Mexico	text
1171888	Mexico	text
1171889	Mexico	text
1171890	Mexico	text
1171891	Mexico	text
1171892	Mexico	text
1171894	Brazil	text
1171897	PER	TDWG Level 3 code
1171901	QLD	TDWG Level 3 code
1171904	NSW	TDWG Level 3 code
1171905	NSW	TDWG Level 3 code
1171906	50    	TDWG Level 2 code
1171907	50    	TDWG Level 2 code
1171908	50    	TDWG Level 2 code
1171909	50    	TDWG Level 2 code
1171910	50    	TDWG Level 2 code
1171911	50    	TDWG Level 2 code
1171912	50    	TDWG Level 2 code
1171913	50    	TDWG Level 2 code
1171914	50    	TDWG Level 2 code
1171915	50    	TDWG Level 2 code
1171916	50    	TDWG Level 2 code
1171917	50    	TDWG Level 2 code
1171918	50    	TDWG Level 2 code
1171919	50    	TDWG Level 2 code
1171920	50    	TDWG Level 2 code
1171921	50    	TDWG Level 2 code
1171922	50    	TDWG Level 2 code
1171923	50    	TDWG Level 2 code
1171924	50    	TDWG Level 2 code
1171925	50    	TDWG Level 2 code
1171926	50    	TDWG Level 2 code
