ID	ReferenceType	ReferenceID
144575		20894
144579		20792
144580		20792
144582		20784
144585		20855
144666		20812
144671		20811
144727		20855
144729		20807
144734		20807
144753		20870
144754		20870
144755		20870
144756		20870
144837		20866
144844		20883
144846		20892
144859		20807
144867		20812
144892		20843
144899		20794
144904		20859
144918		20792
144919		20820
144922		20874
144925		20792
144926		20792
144927		20894
144929		20792
144931		20792
144936		20956
144937		20799
144938		20799
144939		20799
144940		20799
144941		20882
144942		20882
144943		20882
144945		20883
144946		20883
144947		20860
144948		20861
144949		20874
144952		20842
144974		20812
144976		20812
144977		20879
144978		20879
144985		20905
144988		20816
145016		20834
145026		20833
145031		20881
145032		20859
145034		20827
145035		20827
145036		20827
145037		20863
145039		20885
145040		20903
145041		20885
145042		20784
145043		20784
145044		20813
145045		20862
145046		20927
145051		20904
145054		20795
145055		20812
145058		20844
145061		20891
145067		20843
145069		20842
145071		20842
145073		20842
145074		20812
145075		20868
145080		20900
145088		20790
145090		20822
145091		20812
145092		20812
145093		20812
145094		20813
145096		20812
145104		20812
145105		20882
145107		20813
145108		20813
145109		20813
145111		20828
145116		20824
145119		20874
145121		20799
145122		20864
145124		20807
145125		20807
145127		20812
145128		20807
145136		20902
145138		20815
145139		20863
145140		20865
145144		20901
145149		20862
145150		20825
145152		20825
145153		20825
145154		20825
145156		20795
145158		20897
145165		20907
145166		20908
145167		20855
145172		20931
145184		20795
145186		20795
145187		20795
145189		20812
145190		20812
145191		20812
145196		20812
145197		20812
145199		20898
145200		20812
145204		20812
145206		20812
145207		20812
145208		20812
145209		20812
145211		20812
145214		20812
145215		20812
145218		20812
145219		20812
145220		20812
145221		20812
145222		20812
145230		20825
145231		20836
145232		20813
145236		20863
145237		20812
145239		20812
145240		20812
145243		20812
145244		20783
145248		20898
145251		20812
145252		20812
145254		20799
145255		20812
145257		20812
145260		20851
145261		20934
145262		20936
145267		20933
145268		20957
145269		20841
145272		20841
145294		20799
145318		20895
1171739		20787
1171741		20788
1171747		20808
1171748		20808
1171752		20808
1171754		20808
1171756		20792
1171756		20892
1171757		20792
1171757		20811
1171757		20812
1171757		20825
1171757		20885
1171759		20811
1171760		20792
1171761		20811
1171762		20808
1171763		20880
1171765		20878
1171766		20878
1171767		20812
1171767		20878
1171770		20784
1171770		20894
1171772		20811
1171773		20784
1171773		20811
1171774		20808
1171775		20808
1171777		20808
1171777		20931
1171778		20808
1171779		20808
1171780		20808
1171781		20808
1171784		20808
1171785		20808
1171788		20808
1171788		20812
1171791		20808
1171795		20804
1171796		20953
1171797		20953
1171798		20825
1171798		20921
1171802		20808
1171803		20808
1171806		20808
1171809		20808
1171812		20808
1171815		20808
1171816		20808
1171817		20808
1171818		20808
1171819		20808
1171820		20808
1171821		20808
1171822		20808
1171823		20808
1171826		20808
1171828		20811
1171830		20808
1171831		20808
1171832		20812
1171833		20808
1171834		20808
1171835		20812
1171838		20812
1171839		20784
1171839		20812
1171839		20813
1171840		20879
1171841		20812
1171842		20811
1171843		20811
1171844		20811
1171845		20792
1171845		20825
1171845		20882
1171845		20953
1171846		20953
1171847		20789
1171848		20953
1171849		20953
1171850		20792
1171850		20812
1171851		20808
1171852		20808
1171853		20808
1171854		20808
1171855		20808
1171856		20808
1171857		20808
1171858		20808
1171859		20808
1171860		20808
1171861		20808
1171862		20808
1171863		20808
1171864		20808
1171865		20808
1171865		20812
1171866		20808
1171867		20808
1171868		20808
1171869		20808
1171870		20808
1171871		20808
1171872		20808
1171873		20808
1171874		20808
1171875		20808
1171876		20808
1171877		20808
1171878		20808
1171879		20784
1171879		20812
1171879		20894
1171880		20808
1171882		20851
1171883		20811
1171884		20811
1171885		20792
1171885		20811
1171885		20812
1171886		20808
1171887		20808
1171888		20808
1171889		20808
1171890		20808
1171891		20808
1171892		20808
1171894		20808
1171897		20812
1171901		20843
1171902		20906
1171903		20816
1171903		20818
1171904		20817
1171905		20817
1171906		20818
1171908		20818
1171909		20818
1171910		20818
1171912		20818
1171913		20818
1171914		20818
1171915		20818
1171916		20818
1171917		20818
1171918		20818
1171919		20818
1171920		20818
1171922		20818
1171923		20818
1171924		20818
1171926		20832
1171928		20816
1171929		20831
1171930		20831
1171931		20830
1171931		20843
1171935		20930
1171938		20947
1171940		20947
1171943		20812
1171943		20813
1171944		20786
1171945		20786
1171945		20799
1171945		20859
1171945		20881
1171946		20786
1171946		20812
1171946		20822
1171947		20786
1171948		20786
1171949		20786
1171951		20786
1171952		20786
1171953		20786
1171954		20786
1171955		20786
1171957		20786
1171959		20795
1171959		20799
1171959		20860
1171960		20786
1171965		20799
1171966		20836
1171967		20933
1171967		20957
1171969		20824
1171970		20841
1171972		20841
1171972		20861
1171973		20824
1171973		20841
1171974		20824
1171975		20824
1171976		20841
1171977		20841
1171980		20815
1171980		20825
1171980		20862
1171981		20825
1171983		20824
1171983		20864
1171985		20825
1171987		20815
1171987		20865
1171988		20866
1171990		20815
1171990		20901
1171992		20840
1171994		20842
1171996		20847
1171997		20867
1171999		20781
1172001		20852
1172002		20852
1172003		20852
1172004		20852
1172005		20852
1172006		20852
1172007		20852
1172008		20853
1172009		20853
1172010		20895
1172011		20895
1172012		20895
1172013		20895
1172014		20895
1172015		20896
1172017		20840
1172018		20796
1172019		20799
1172020		20840
1172021		20895
1172022		20782
1172023		20895
1172024		20825
1172024		20897
1172025		20895
1172026		20826
1172027		20895
1172029		20866
1172030		20932
1172031		20795
1172032		20949
1172033		20841
1172034		20882
1172035		20942
1172038		20855
1172043		20813
1172043		20850
1172043		20868
1172045		20794
1172045		20812
1172045		20851
