ID	AcceptedTaxonID	Genus	SubgenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
144925	1171845	Saussurembia		ruficollis	(Saussure, 1896)				Subsequent combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:722
144926	1171757	Saussurembia		venosa	(Banks, 1924)				Subsequent combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:774
144927	1171879	Olyntha		wheeleri	Melander, 1902				Original combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:627
144929	1171757	Anisembia	Anisembia	schwarzi	Ross, 1940				Junior synonym	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:775
144931	1172288	Gynembia		tarsalis	Ross, 1940				Original combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:175
144936	1172098	Olyntha		brasiliensis	Gray, 1832				Original combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:124
144937	1172316	Olyntha		batesi	(McLachlan, 1877)				Subsequent combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:111
144938	1171945	Olyntha		urichi	(Saussure, 1896)				Subsequent combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:541
144939	1172106	Olyntha		salvini	(McLachlan, 1877)				Subsequent combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:96
144940	1171959	Olyntha		nobilis	(Gerstaecker, 1888)				Subsequent combination	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:518
144941	1172256	Embia		bramina	Saussure, 1896				Junior synonym	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:245
144942	1172256	Embia		hova	Saussure, 1896				Junior synonym	Unambiguous synonym	urn:lsid:Embioptera.speciesfile.org:TaxonName:244
