AcceptedTaxonID	DistributionElement	StandardInUse
1220001	FRA-FR	TDWG Level 4 code
1220001	Permian, France	text
1220004	RUC	TDWG Level 3 code
1220005	RUC	TDWG Level 3 code
1220007	RUC	TDWG Level 3 code
1220008	RUC	TDWG Level 3 code
1220009	RUC	TDWG Level 3 code
1220013	KAN	TDWG Level 3 code
1220014	OKL	TDWG Level 3 code
1220070	CHI	TDWG Level 3 code
1220070	Jurassic, NE China	text
1220163	ILL	TDWG Level 3 code
1220163	Upper Carboniferous, Illinois, Mazon Creek	text
1220164	14    	TDWG Level 2 code
1220164	European Russia	text
1220167	36    	TDWG Level 2 code
1220168	FRA-FR	TDWG Level 4 code
1220172	RUC	TDWG Level 3 code
1220179	14    	TDWG Level 2 code
1220187	RUC	TDWG Level 3 code
1220188	RUC	TDWG Level 3 code
1220203	RUC	TDWG Level 3 code
1220204	RUC	TDWG Level 3 code
1220205	RUC	TDWG Level 3 code
1220206	RUC	TDWG Level 3 code
1220207	RUC	TDWG Level 3 code
1220208	14    	TDWG Level 2 code
1220208	European Russia	text
1220209	14    	TDWG Level 2 code
1220209	European Russia	text
1220210	European Russia	text
1220211	14    	TDWG Level 2 code
1220211	European Russia	text
1220216	RUC	TDWG Level 3 code
1220217	Permian, Europe	text
1220218	RUC	TDWG Level 3 code
1220219	Permian, Europe	text
1220222	JAP	TDWG Level 3 code
1220222	Teletskoye Lake, Japan	text
1220223	31    	TDWG Level 2 code
1220223	Sambyl Pass, Russia	text
1220225	KOR	TDWG Level 3 code
1220225	Yenhaeju, South Korea	text
1220226	36    	TDWG Level 2 code
1220226	Mt. Jangpaik, Jilin, NE China	text
1220228	JAP	TDWG Level 3 code
1220228	Niko-Chuzenji, Tochigi	text
1220229	JAP	TDWG Level 3 code
1220229	Nagano, Gifu and Chichibu in Central Japan	text
1220230	Hokkaido, Japan	text
1220231	Gosu Cave, Chung-cheong-buk-do, S. Korea	text
1220231	KOR	TDWG Level 3 code
1220232	Primorje, Russia	text
1220232	PRM	TDWG Level 3 code
1220233	KOR	TDWG Level 3 code
1220233	Mt. Myoyang, South Korea	text
1220234	JAP	TDWG Level 3 code
1220234	Nagano, Gumna, Niigata and Chichibu in Central Japan Tokugo-Toge, Japan	text
1220235	JAP	TDWG Level 3 code
1220235	Kyushu Island, Nagasaki Prefecture	text
1220236	JAP	TDWG Level 3 code
1220236	Megi-shima Island, Kagawa, Japan	text
1220237	PRM	TDWG Level 3 code
1220239	KOR	TDWG Level 3 code
1220239	Mt. Odae, South Korea	text
1220240	WAS	TDWG Level 3 code
1220240	Washington, U.S.A.	text
1220241	ORE	TDWG Level 3 code
1220241	S. Oregon, U.S.A.	text
1220242	CAL	TDWG Level 3 code
1220242	Sonora Pass, Tuolumne County California, U.S.A.	text
1220243	CAL	TDWG Level 3 code
1220243	Eldorado County, California, U.S.A.	text
1220244	Mt. Baker and Hanagen Peak, N. Washington, U.S.A.	text
1220245	ABT	TDWG Level 3 code
1220245	Sulphur Mountain	text
1220246	Lassen County, California, U.S.A.	text
1220247	CAL	TDWG Level 3 code
1220247	Sunny Side Mine, U.S.A. Plumas County, California, U.S.A.	text
1220248	ABT	TDWG Level 3 code
1220248	Mt. Paul, Alberta, Canada	text
1220249	ORE	TDWG Level 3 code
1220249	Scott Camp, Oregon, U.S.A.	text
1220250	CAL	TDWG Level 3 code
1220250	Lava Beds National Monument, Modoc County, California, U.S.A.	text
1220251	RUC	TDWG Level 3 code
1220252	RUC	TDWG Level 3 code
1220253	RUC	TDWG Level 3 code
1220254	RUC	TDWG Level 3 code
1220255	RUC	TDWG Level 3 code
1220256	OKL	TDWG Level 3 code
1220258	RUC	TDWG Level 3 code
1220259	RUC	TDWG Level 3 code
1220260	RUC	TDWG Level 3 code
1220261	RUC	TDWG Level 3 code
1220262	RUC	TDWG Level 3 code
1220268	RUC	TDWG Level 3 code
1220270	CZE-CZ	TDWG Level 4 code
1220271	KAN	TDWG Level 3 code
1220283	European Russia	text
1220283	RUW	TDWG Level 3 code
1220284	KAN	TDWG Level 3 code
1220285	KAN	TDWG Level 3 code
1220292	RUC	TDWG Level 3 code
1220310	3	TDWG Level 1 code
