ID	ReferenceType	ReferenceID
467792		45310
467805		45334
467806		45290
467807		45290
467857		45019
467861		45019
467886		45334
467890		44767
467892		44806
467893		44767
467922		44766
467923		44766
467924		44766
467935		44783
467955		44804
467958		44767
467979		45286
467983		45162
467984		45162
467985		45162
467992		45162
467993		45162
467994		45162
468064		44762
468066		44762
468167		45040
468197		44784
468207		45112
468215		44796
468218		44784
468221		45120
468224		45132
468226		45119
468227		44784
468231		45121
468302		44767
468304		44767
468336		45024
468419		45087
468421		45087
468423		45099
468425		45099
468427		45086
468443		45018
468516		44783
468557		45064
468563		44783
468564		44783
468567		44783
468579		45043
468605		44773
468607		44773
468625		45018
468626		45018
468627		45018
468628		45018
468629		45018
468651		45024
468652		45167
468653		45025
468654		45202
468733		44762
468746		44762
468766		44762
468776		45354
468780		45162
468782		44767
468814		44779
468904		44762
468905		44762
468911		44767
468912		44767
468914		45356
468915		45356
468924		45359
468996		45374
468998		45203
469009		44783
469033		45384
469289		45310
469291		45310
469308		45455
469377		45162
469742		45350
473025		44792
1220001		44759
1220003		44761
1220004		44762
1220004		45379
1220005		44762
1220006		44762
1220006		45379
1220007		44762
1220007		45379
1220008		44762
1220008		45379
1220009		44762
1220009		45379
1220010		44762
1220011		44762
1220012		45415
1220013		44763
1220014		44763
1220015		45024
1220016		44762
1220070		44760
1220071		44777
1220163		44764
1220164		44776
1220166		44795
1220167		44765
1220168		44778
1220169		44762
1220170		44762
1220171		44762
1220172		45025
1220173		44779
1220174		44780
1220175		44780
1220176		44766
1220177		44766
1220178		44766
1220179		44781
1220180		44766
1220181		44766
1220182		44766
1220183		44766
1220184		44766
1220187		44762
1220188		44762
1220189		44766
1220190		44766
1220192		44766
1220193		44766
1220195		44766
1220196		44766
1220197		44766
1220198		44762
1220199		44762
1220200		44762
1220201		44762
1220202		44763
1220203		45025
1220204		45025
1220205		44762
1220206		44762
1220207		44762
1220208		44776
1220209		44776
1220210		44776
1220211		44776
1220213		44759
1220214		44766
1220215		44766
1220216		44762
1220217		44766
1220218		44762
1220219		44766
1220220		44766
1220222		44784
1220222		45121
1220223		44791
1220225		44786
1220226		44784
1220226		45122
1220228		44784
1220228		44796
1220229		45116
1220230		44784
1220231		45117
1220232		44784
1220233		44784
1220234		45116
1220235		44784
1220235		45112
1220236		44797
1220237		44799
1220239		44800
1220240		44797
1220241		45115
1220242		45115
1220243		44797
1220244		44784
1220244		45113
1220245		44768
1220246		44801
1220247		44801
1220248		44802
1220249		44803
1220250		44801
1220251		44762
1220252		44762
1220253		44762
1220254		44762
1220255		45406
1220256		44769
1220257		44762
1220258		44762
1220259		44762
1220260		44762
1220261		45025
1220262		44762
1220263		44766
1220265		44766
1220266		44766
1220268		44762
1220270		44766
1220271		44772
1220272		44762
1220273		44805
1220274		44762
1220274		44779
1220275		44762
1220275		44779
1220276		44779
1220277		44779
1220277		45420
1220278		44779
1220279		44790
1220280		44779
1220282		44779
1220283		44776
1220284		44763
1220285		44772
1220290		44762
1220291		44762
1220292		44762
1220293		44762
1220294		45172
1220309		44762
1220310		44762
1220312		44784
1220312		45120
1220314		44802
1220315		44802
1220316		44766
1220317		44766
1220318		44766
1220319		44766
1220320		44766
1220321		44766
1220322		44766
1220323		44766
1220324		44767
1220325		44762
1220326		44762
1220327		44766
1220328		44766
1220329		44766
1220330		44766
1220331		44762
1220332		44762
1220728		45014
1220731		45017
1220733		45014
1220735		45014
1220736		45014
1220738		45014
1220740		45014
1220742		45018
1220750		45019
1220751		45019
1220766		45021
1220768		45022
1220769		45022
1220770		45019
1220772		45019
1220773		45019
1220774		45019
1220776		45019
1220778		45019
1220778		45036
1220780		45019
1220781		45019
1220781		45036
1220782		45019
1220784		44773
1220785		44773
1220786		44773
1220788		44773
1220789		44773
1220789		45062
1220790		44773
1220790		45062
1220798		44767
1220799		44767
1220800		44767
1220801		44767
1220802		44767
1220802		45162
1220803		44767
1220804		44767
1220805		44767
1220806		44767
1220807		44767
1220808		44767
1220810		44767
1220811		44767
1220812		44767
1220814		44767
1220816		44767
1220817		44767
1220841		45035
1220842		45036
1220844		45036
1220847		45036
1220862		45036
1220867		45039
1220870		45041
1220872		45020
1220872		45040
1220873		45039
1220874		45039
1220875		45039
1220876		45039
1220877		45039
1220879		45039
1220881		45039
1220883		45039
1220885		45039
1220888		45045
1220889		45046
1220890		45046
1220891		45046
1220893		45046
1220895		45046
1220897		45046
1220898		45046
1220899		45046
1220901		45046
1220910		45046
1220912		45046
1220916		44783
1220916		45043
1220919		45062
1220919		45064
1220923		45063
1220924		45066
1220925		45075
1220927		45076
1220928		45076
1220929		45076
1220930		45076
1220931		45075
1220933		45075
1220935		45075
1220936		45077
1220937		45077
1220938		45077
1220939		45078
1220941		45078
1220942		45078
1220943		45078
1220945		45078
1220947		45078
1220948		45078
1220950		45454
1220952		44781
1220954		44781
1220956		45080
1220957		45081
1220958		45082
1220959		45082
1220960		45082
1220961		45082
1220963		45082
1220965		45082
1220967		45083
1220968		45082
1220969		45082
1220971		45082
1220973		45082
1220974		45082
1220976		45082
1220978		45082
1220980		45082
1220982		45082
1220983		45082
1220984		45084
1220985		45084
1220986		45084
1220987		45084
1220988		45084
1220989		45084
1220990		45084
1220992		45086
1220994		45087
1220997		45089
1220999		45092
1221000		45093
1221001		45093
1221004		45093
1221006		45093
1221007		45093
1221008		45093
1221013		45099
1221013		45100
1221014		45099
1221014		45100
1221021		45107
1221022		45107
1221023		45107
1221024		45107
1221025		45107
