ReferenceID	Authors	Year	Title	Source
44759	Béthoux, Nel, Lapeyrie & Gand	2005	New data on paleozoic Grylloblattid insects (Neoptera)	Journal of Paleontology 79(1):125-138
44760	Huang, D.Y., Nel & Petrulevicius	2008		Zoological Journal of the Linnean Society (Zool. Jour. Linn. Soc.) 152(1):17-24
44761	Zalessky, G.	1937	Ancestors of Some Groups of the Present-day Insects	Nature: International weekly journal of science (Nature) 140(3550):847-848
44762	Aristov	2004	The Fauna of Grylloblattid Insects (Grylloblattida) of the Lower Permian Locality of Tshekarda	Paleontological Journal 38(Suppl 2):S80-S145
44763	Béthoux & Beckemeyer	2007	New and rare insect species from the Wellington Formation (Orthoptera, Grylloblattodea; Lower Permian, USA)	Alavesia 1:49-61
44764	Handlirsch	1911	New Paleozoic insects from the vicinity of Mazon Creek, Illinois	The American Journal of Science (Amer. Jour. Sci.) 4 31:353-378
44765	Huang, D.Y. & Nel	2007	A new Middle Jurassic "grylloblattodean" family from China (Insecta: Juraperlidae fam. n.)	European Journal of Entomology 104(4):837-840
44766	Kukalova, Jarmilla	1964	Permian Insects of Moravia. Part II. Liomopteridea	Sbornik geologickych ved, paleontologie 3:39-118
44767	Sellards	1909	Types of Permian Insects. Part III. Megasecoptera, Oryctoblattinidae and Protorthoptera	The American Journal of Science (Amer. Jour. Sci.) 4 27:151-173
44768	Walker	1914	A new species of Orthoptera forming a new genus and family	The Canadian Entomologist 46:93-99
44769	Beckemeyer	2004	†Raaschiidae (Grylloblattida: †Protoperlina), A New Insect Family from the Lower Permian Wellington  Formation of Noble County, Oklahoma	Journal of the Kansas Entomological Society 77(3 (July)):215-221
44772	Carpenter	1950	The Lower Permian Insects of Kansas. Part 10. The order Protorthoptera: The family Liomopteridae and its relatives	Proceedings of the American Academy of Arts and Sciences (Proc. Amer. Acad. Arts Sci.) 78:187-219
44773	Storozhenko	1992	New Mesozoic grylloblattid insects from Soviet Central Asia	Paleontologicheskii Zhurnal 1992(1):67-75
44776	Storozhenko	1992	Permian fossil insects of northeast Europe: new liomopterids (Grylloblattida, Liomopteridae and Phenopteridae)	Deutsche Entomologische Zeitschrift 39(1-3):209-220
