AcceptedTaxonID	Order	Superfamily	Family	Genus	SubgenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDNameGUID
1182272	Mantodea		Empusidae	Blepharodes		candelarius	Bolivar, 1890		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:179976	urn:lsid:Mantodea.speciesfile.org:TaxonName:179976
1182274	Mantodea		Empusidae	Blepharodes		cornutus	(Schulthess, 1894)		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:179975	urn:lsid:Mantodea.speciesfile.org:TaxonName:179975
1182277	Mantodea		Empusidae	Blepharodes		parumspinosus	Beier, 1930		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:469168	urn:lsid:Mantodea.speciesfile.org:TaxonName:469168
1182278	Mantodea		Empusidae	Blepharodes		sudanensis	Werner, 1907		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:179974	urn:lsid:Mantodea.speciesfile.org:TaxonName:179974
1182281	Mantodea		Empusidae	Blepharopsis		mendica	(Fabricius, 1775)		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3249	urn:lsid:Mantodea.speciesfile.org:TaxonName:3249
1182287	Mantodea		Empusidae	Idolomantis		diabolica	(Saussure, 1869)		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3246	urn:lsid:Mantodea.speciesfile.org:TaxonName:3246
1182296	Mantodea		Empusidae	Dilatempusa		aegyptiaca	Giglio-Tos, 1917		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3242	urn:lsid:Mantodea.speciesfile.org:TaxonName:3242
1182303	Mantodea		Empusidae	Empusa		binotata	Serville, 1839		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3780	urn:lsid:Mantodea.speciesfile.org:TaxonName:3780
1182304	Mantodea		Empusidae	Empusa		fasciata	Brulle, 1832		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3781	urn:lsid:Mantodea.speciesfile.org:TaxonName:3781
1182305	Mantodea		Empusidae	Empusa		guttula	(Thunberg, 1815)		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3710	urn:lsid:Mantodea.speciesfile.org:TaxonName:3710
1182307	Mantodea		Empusidae	Empusa		hedenborgii	Stal, 1871		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3744	urn:lsid:Mantodea.speciesfile.org:TaxonName:3744
1182310	Mantodea		Empusidae	Empusa		longicollis	Ramme, 1950		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3782	urn:lsid:Mantodea.speciesfile.org:TaxonName:3782
1182311	Mantodea		Empusidae	Empusa		pennata	(Thunberg, 1815)		Accepted name	False	False	True	terrestrial		Martin B.D. Stiewe	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Mantodea.speciesfile.org:TaxonName:3783	urn:lsid:Mantodea.speciesfile.org:TaxonName:3783
