ReferenceID	Authors	Year	Title	Source
44852	Zompro, Klass, Kristensen & Adis In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics.	2002	In Klass, Zompro, Kristensen &amp; Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics.	Science 296
44853	Zompro	2005	Inter- and intra-ordinal relationships of the Mantophasmatodea, with comments on the phylogeny of polyneopteran orders (Insecta: Polyneoptera)	Mitteilungen aus dem Geologisch-Palaeontologischen Institut der Universitaet Hamburg 89:85-116
44854	Zompro & Adis	2006	Notes on Namibian Mantophasma Zompro, Klass, Kristensen & Adis, 2002, with descriptions of three new species (Insecta: Mantophasmatodea: Mantophasmatidae: Mantophasmatini)	Russian Entomological Journal (Russ.Entomol.J.) 15(1):21-24
44855	Arillo & Engel	2006	Rock Crawlers in Baltic Amber (Notoptera: Mantophasmatodea)	American Museum Novitates 3539:10 pp. 5 figs., 2 tbls.
44856	Engel & Grimaldi	2004	A New Rock Crawler in Baltic Amber, with Comments on the Order (Mantophasmatodea: Mantophasmatidae)	American Museum Novitates 3431:11 pp., 4 figs., 1 tbl.
44857	Klass, Picker, Damgaard, van Noort & Tojo	2003	The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta)	Entomologische Abhandlungen 61(1):3-67
44858	Zompro	2001	The Phasmatodea and Raptophasma n. gen., Orthoptera incertae sedis, in Baltic Amber (Insecta: Orthoptera)	Mitteilungen des Geologisch-Paläontologischen Institutes der Universität Hamburg (Mitt. Geol. Paläont. Inst. Univ. Hamb.) 85:229-261
44860	Zompro & Adis In Zompro, Adis & Weitschat. A Review of the Order Mantophasmatodea (Insecta).	2002	In Zompro, Adis &amp; Weitschat. A Review of the Order Mantophasmatodea (Insecta).	Zoologischer Anzeiger (Zool. Anz.) 241
44862	Zompro In Zompro, Adis, Bragg, Naskrecki, Meakin, Wittneben & Saxe. A new genus and species of Mantophasmatidae (Insecta: Mantophasmatodea) from the Brandberg Massif, Namibia, with notes on behaviour.	2003	In Zompro, Adis, Bragg, Naskrecki, Meakin, Wittneben &amp; Saxe. A new genus and species of Mantophasmatidae (Insecta: Mantophasmatodea) from the Brandberg Massif, Namibia, with notes on behaviour.	Cimbebasia 19(December)
44863	Zompro	2008	Raptophasma groehni† n. sp., a new species of gladiator from Baltic amber (Insecta: Mantophasmatodea: Mantophasmatidae).	Arthropoda 16(1):26-27
44872	Huang, Nel, Zompro & Waller	2008	Mantophasmatodea now in the Jurassic	Naturwissenschaften 95(10):947-952
44982	Eberhard, M. J. B., Picker & Klass	2011	Sympatry in Mantophasmatodea, with the description of a new species and phylogenetic considerations.	Organisms Diversity & Evolution (ODE) 11(1):43-59
44985	Wipfler, Pohl & Predel	2012	Two new genera and two new species of Mantophasmatodea (Insecta, Polyneoptera) from Namibia	Zookeys 166:75–98, Figs. 2-10
