AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1100066	1100065	lineata	Günther, K.K., 1989	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72954	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72954
1100067	1100065	anchicayensis	Günther, K.K., 1994	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72953	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72953
1100083	1100082	biloba	(Hebard, 1928)	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72933	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72933
1100084	1100082	aberrans	Günther, K.K., 1989	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72931	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72931
1100085	1100082	chiriquensis	Günther, K.K., 1969	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72930	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72930
1100086	1100082	incurvata	Günther, K.K., 1989	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72929	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72929
1100087	1100082	riofriensis	Günther, K.K., 1969	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72928	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72928
1100088	1100082	sevillensis	Günther, K.K., 1969	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72927	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72927
1100090	1100089	columbiana	(Günther, K.K., 1963)	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72925	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72925
1100091	1100089	tenaensis	Günther, K.K., 1969	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72923	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72923
1100093	1100092	lilo	Günther, K.K., 1969	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72921	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72921
1100094	1100092	granchacensis	Günther, K.K., 1977	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72920	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72920
1100096	1100095	pulicaria	(Saussure, 1896)	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72916	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72916
1100097	1100095	interposita	Günther, K.K., 1969	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72915	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72915
1100238	1100237	usambaricus	(Sjöstedt, 1910)	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72725	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72725
1100239	1100237	alter	Günther, K.K., 1994	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72724	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72724
1100270	1100268	histrionica	(Saussure, 1896)	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:465553	urn:lsid:Orthoptera.speciesfile.org:TaxonName:465553
1100273	1100272	peruvianus	Chopard, 1949	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72664	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72664
1100274	1100272	macarenensis	Günther, K.K., 1994	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72662	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72662
1100276	1100275	wagneri	(Chopard, 1920)	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72659	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72659
1100277	1100275	strigatus	(Hebard, 1933)	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72656	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72656
1100309	1100308	rentzi	Günther, K.K., 1976	Subspecies		Accepted name	False	False	True	terrestrial		María Marta Cigliano	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:72593	urn:lsid:Orthoptera.speciesfile.org:TaxonName:72593
