AcceptedTaxonID	DistributionElement	StandardInUse
1199236	IND	TDWG Level 3 code
1199236	JAW	TDWG Level 3 code
1199236	Jawa, Philippines, India	text
1199236	PHI	TDWG Level 3 code
1199237	IND	TDWG Level 3 code
1199237	India, Sumatra	text
1199237	SUM	TDWG Level 3 code
1199238	Sri Lanka	text
1199238	SRL	TDWG Level 3 code
1199239	42    	TDWG Level 2 code
1199239	Peninsular Malaysia	text
1199241	IND	TDWG Level 3 code
1199241	SUM	TDWG Level 3 code
1199241	Sumatra, India	text
1199242	42    	TDWG Level 2 code
1199242	MLY-PM	TDWG Level 4 code
1199242	Peninsular Malaysia	text
1199243	IND	TDWG Level 3 code
1199243	India	text
1199244	MLY-PM	TDWG Level 4 code
1199244	Peninsular Malaysia, Singapore	text
1199245	IND	TDWG Level 3 code
1199245	SUM	TDWG Level 3 code
1199245	Sumatra, India	text
1199246	Sri Lanka	text
1199246	SRL	TDWG Level 3 code
1199247	IND	TDWG Level 3 code
1199247	PHI	TDWG Level 3 code
1199247	Philippines, Sumatra, India	text
1199247	SUM	TDWG Level 3 code
1199248	SUM	TDWG Level 3 code
1199248	Sumatra	text
1199249	IND	TDWG Level 3 code
1199249	India	text
1199250	AND	TDWG Level 3 code
1199250	Sri Lanka	text
1199250	SRL	TDWG Level 3 code
1199250	SUM	TDWG Level 3 code
1199251	MLY-SI	TDWG Level 4 code
1199251	Singapore	text
1199252	CHH	TDWG Level 3 code
1199252	China: Hainan	text
1199253	China: Guangxi	text
1199253	CHS-GX	TDWG Level 4 code
1199255	Borneo	text
1199255	BOR-SB	TDWG Level 4 code
1199259	Indonesia (Kalimantan, Java and Sumatra), Malaysia, Thailand, Vietnam, and north India	text
1199259	JAW	TDWG Level 3 code
1199261	SUM	TDWG Level 3 code
1199261	Sumatera	text
1199263	SUM	TDWG Level 3 code
1199263	Sumatera	text
1199264	SUM	TDWG Level 3 code
1199264	Sumatera	text
1199268	MLY-PM	TDWG Level 4 code
1199268	Peninsular Malaysia	text
1199269	BOR-BR	TDWG Level 4 code
1199269	Borneo	text
1199269	BOR-SB	TDWG Level 4 code
1199270	BOR-KA	TDWG Level 4 code
1199270	Borneo	text
1199271	SUM	TDWG Level 3 code
1199271	Sumatera	text
1199272	BOR-KA	TDWG Level 4 code
1199272	Borneo	text
1199272	BOR-SR	TDWG Level 4 code
