AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1153129	1153128	regalis	Hynes, 1982	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Scrapers of algae, Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:460180	urn:lsid:Plecoptera.speciesfile.org:TaxonName:460180
1153130	1153128	triloba	McLellan, 1971	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Scrapers of algae, Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462661	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462661
1153314	1153313	tropica	(Theischinger, 1983)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:6636	urn:lsid:Plecoptera.speciesfile.org:TaxonName:6636
1153315	1153313	wongoonoo	(Theischinger, 1983)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Predators	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:6634	urn:lsid:Plecoptera.speciesfile.org:TaxonName:6634
1153652	1153651	arctica	Esben-Petersen, 1910	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:6234	urn:lsid:Plecoptera.speciesfile.org:TaxonName:6234
1153653	1153651	mongolica	Zhiltzova, 1972	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:6233	urn:lsid:Plecoptera.speciesfile.org:TaxonName:6233
1153668	1153667	cinerea	(Retzius, 1783)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:6190	urn:lsid:Plecoptera.speciesfile.org:TaxonName:6190
1153687	1153667	selene	Consiglio, 1959	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:6188	urn:lsid:Plecoptera.speciesfile.org:TaxonName:6188
1153935	1153934	mirabilis	(Martynov, 1928)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:5769	urn:lsid:Plecoptera.speciesfile.org:TaxonName:5769
1153936	1153934	turkestanica	Zhiltzova, 1978	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:5768	urn:lsid:Plecoptera.speciesfile.org:TaxonName:5768
