ReferenceID	Authors	Year	Title	Source
15297	Baumann	1976	Amphinemura reinerti, a new stonefly from Northern Mexico (Plecoptera: Nemouridae)	The Southwestern Naturalist (Southwest. Nat.) 20(4):517-521
15298	Theischinger	1975	Zwei neue Protonemura-Arten und andere Steinfliegen (Plecoptera) aus Griechenland	Linzer Biologische Beitraege (Linzer biol. Beitr.) 7(1):119-127
15299	Linnaeus	1758		Systema naturæ per regna tria naturæ, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. Tomus I. Editio decima, reformata., Laurentii Salvii, Holmiæ 1-824
15300	Poda	1761		Insecta Musei Græcensis, quæ in ordines, genera et species juxta systema naturæ Caroli Linnæi., Widmanstadius, Graecus i-iv, 1-127
15302	Scopoli	1763		Entomologia Carniolica exhibens insecta Carnioliæ indigena et distributa in ordines, genera, species, varietates. Methodo Linnæana., Trattner, Vindobonae i-xxxv, 1-420
15303	de Geer	1778		Mémoires pour servir à l'histoire des insectes., Hesselberg, Stockholm 7:i-xii, 1-950, pl. 1-49
15304	Fourcroy	1785		Entomologia Parisiensis; sive catalogus insectorum quæ in agro Parisiensi reperiuntur; secundam methodam Geoffrœanam in sectiones, genera & species distributus: cui addita sunt nomina trivialia & fere trecentæ novæ species., Via et Aedibus Serpentineis, Parisiis i-vii, 1-544
15305	Fabricius	1787		Mantissa insectorvm sistens eorvm species nvper detectas adiectis characteribvs genericis, differentiis specificis, emendationibvs, observationibvs., Hafniae (Proft) 1
15306	Panzer	1799	Fauna, Fasc. 71, Abt. No. 3	
15307	Latreille	1802	Families naturelles et genres	Histoire naturelle, générale et particulière des crustacés et des insectes : ouvrage faisant suite aux oeuvres de Leclerc de Buffon, et partie du cours complet d'histoire naturelle rédigé, F. Dufart, Paris 3:467 pp.
15310	Say	1823	Description of insects belonging to the order Neuroptera Linn., Latr. Collected by the Expedition authorized by J.C. Calhoun, Secretary of War, under the command of Maior S.H. Long	The Western quarterly reporter of medical, surgical, and natural science (Western quarterly reporter) 2(11):160-165
15311	Curtis	1827		British Entomology: Being Illustrations and Descriptions of the Genera of Insects Found in Great Britain and Ireland : Containing Coloured Figures from Nature ..., Author, London 4
15312	Pictet, F.J.	1832	Mémoire sur les larves de Némoures	Annales des Sciences Naturelles (Ann.Sci.nat.) 26:369-391
15313	Pictet, F.J.	1833	Mémoire sur les Métamorphoses des Perles	Annales des Sciences Naturelles (Ann.Sci.nat.) 28:44-65
15314	Pictet, F.J.	1836	Description de quelques nouvelles espéces d'Insectes du Bassin du Léman. Némoures	Memoires Societe Physique Histoire naturelle (Mem. Soc. Phys. Hist. nat.) 7:173-190
15315	Stephens	1836		Illustrations of British entomology; or a synopsis of indigenous insects: containing their generic and specific distinctions with an account of their metamorphoses, times of appearance, localities, food and economy, as far as practicable, with coloured figures (from Westwood) of the rare and more interesting species, Baldwin & Cradock, London 6:134-145
15316	Burmeister	1839	Zweite Halfte. Neuroptera.	Handbuch der Entomologie, Reimer, Berlin 2(2):I-XII + 757-1050
15318	Zetterstedt	1840	Family 5. Perlariae Latr.	Insecta Lapponica Descripta, Voss, Leipzig 1055-1060
15319	Pictet, F.J.	1841	Familie des Perlides	Histoire naturelle générale et particulière des insectes névroptères, J. Kessmann etc.,, Genève 1(1):423 pp. + xiii
15320	Rambur	1842	Tribu des Perlides	Histoire naturelle des insectes: Neuroptéres, Librairie Encyclopédique de Roret, Paris i-vi, 1-534, 12 pl.
15321	Newman	1845	Addendum to the 'Synonymy of the Perlites, by Edward Newman,' published in the Mag. Nat. Hist. for 1839	The Zoologist: A Popular Miscellany of Natural History (Zoologist) 3:852-854
15322	Fitch	1847	Winter insects of eastern New York	American Journal of Agricultural Science (Amer. Jour. Agr. Sci.) 5:274-284
15323	Newport	1848	Postscript to On the Anatomy and affinities of Pteronarcys regalis, Newm.	Proceedings of the Linnean Society of London (Proc. Linn. Soc. Lond.) 36:387-389
15326	Blanchard, C. E.	1851	Zoologia: Insectos	Historica fisica y politica de Chile, Claudio Gay, Paris 6(4):572 pp.
15327	Walker, F.	1852	Part I. Phryganides-Perlides.	Catalogue of the specimens of neuropterous insects in the collection of the British Museum, Edward Newman, London 1:1-192
15328	Motschulsky	1853		Etudes entomologiques, Société de Litérature Finnoise, Helsingfors
15331	Hagen	1858	Synopsis der Neuroptera Ceylons	Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien (Verh. Zool. Bot. Ges. Wien) 8:471-488
15332	Hagen	1861	Synopsis of the Neuroptera of North America. With a List of the South American Species	Smithsonian Miscellaneous Collections (Smith. Misc. Coll.) 1-347
15333	Walsh	1862	List of the Pseudoneuroptera of Illinois contained in the cabinet of the writer, with descriptions of over forty new species, and notes on the structural affinities.	Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Phila.) 1862 14:361-402
15335	Pictet, A.E.	1865		Synopsis des névroptères d'Espagne, H. Georg, Genève 123
15336	Brauer, F.	1869	Beschreibung neuer Neuropteren aus dem Museum Godeffroy in Hamburg	Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien (Verh. Zool. Bot. Ges. Wien) 19:9-18
15337	Hagen	1873	Report on the Pseudoneuroptera and Neuroptera of North America in the collection of the late Th. W. Harris	Proceedings of the Boston Society of Natural History (Proc. Boston Soc. Nat. Hist.) 15:263-301
15338	McLachlan	1875	A sketch of our present knowledge of the Neuropterons Fauna of Japan (excluding Odonata and Trichoptera).	Transactions of the Entomological Society of London (Trans. ent. Soc. Lond.) 167-190
15339	Provancher	1876	Petite faune entomologique du Canada. les Neuropteres	Naturaliste canad. (Natural. canad.) 8(7):209-218
15340	Provancher	1878	Additions et corrections aux Neuropteres de la Province de Quebec.	Naturaliste canad. (Natural. canad.) 10(4):124-128
15343	Schoch	1885		
15344	McLachlan	1886[1885-	Chloroperla capnoptera n. sp.	Tijdschrift voor Entomologie (Tijdschr. Entomol.) 29:157-158
15345	Albarda	1889	Catalogue raisonne et synonymique des Neuropteres observes dans les Pays-Bas, et dans les Pays limitrophes	Tijdschrift voor Entomologie (Tijdschr. Entomol.) 32:210-376
15346	Morton	1894	Palaearctic Nemourae	Transactions of the Entomological Society of London (Trans. ent. Soc. Lond.) 42:557-574
15347	Klapálek	1896[1895]	Nemura subtilis, n. sp. Eine neue sudeuropaische Perlide	Sitzungsberichte der Kaiserlichen Akademie Wiss. Wien, Math.-Nat. Kl. (Sitzungsber. Kais. Akad. Wiss. Wien, Math.-Naturwiss. Kl.) 11:1-3
15348	McLachlan	1895	A small contribution to a knowledge of the neuropterous fauna of Rhenish Prussia	Entomologist's Monthly Magazine (Entomol. Mon. Mag.) 2 6:109-112
15349	Morton	1896	New and little-known Palaearctic Perlidae	Transactions of the Entomological Society of London (Trans. ent. Soc. Lond.) 44:55-63, 2pls.
15350	Banks	1898	Descriptions of New North American Neuropteroid Insects	Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 25(3):199-218
15351	Klapálek	1900	Plecopterologicke studie	Vestník Ceské Akademie (Vestnik ceske Ak.) 2 9(20):1-34 + 1 tab
15353	Morton	1901	Perlidae taken in Norway in June and July 1900, with remarks on certain Arctic forms	Entomologist's Monthly Magazine (Entomol. Mon. Mag.) 37:146-148
15354	Banks	1902	Notes and Descriptions of Perlidae	Canadian Entomologist (Canad. Ent.) 34:123-125
15356	Banks	1904	Neuropteroid Insects from New Mexico	Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 30(2):98-110
15357	Klapálek	1905	Conspectus Plecopterorum Bohemiae	Casopis Ceskoslovenské Spolecnosti Entomologické (Cas. ces. Spol. ent.) 2:27-32
15358	Banks	1905	Descriptions of new species of neuropterous insects from the Black Mountains, N.C.	Bulletin of the American Museum of Natural History (Bull.Am.Mus.Nat.Hist.) 21(Art. 12):215-218
15359	Ris	1905	Zwei notizen uber schweizerische Perliden	Mitteilungen der Schweizerischen Entomologischen Gesellschaft (Mitt. Schweiz. ent. Ges.) 11(2):93-97
15360	Jacobson & Bianchi	1905		Orthoptera and Pseudoneuroptera from the Russian Empire and Neighboring Lands [in Russian], Izdanie A. F. Devriena, Leningrad 952 pp.
15361	Klapálek	1907	Uber die Arten der unterfamilie Perlinae aus Japan	Bull. internat. acad. Sci. Boheme 12:257-274
15362	Banks	1907	A list of Perlidae from British Columbia and Alberta	Canadian Entomologist (Canad. Ent.) 39(10):325-330
15363	Kempny	1908	Beitrag zur Neuropterenfauna des Orients	Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien (Verh. Zool. Bot. Ges. Wien) 58:264-268
15364	Banks	1908	Neuropteroid Insects: Notes and Descriptions	Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 34(3):255-266, 3 pl.
15365	Navás	1909	Neurópteros de los alrededores de Madrid. Suplemento I	Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales de Madrid (Rev. Acad. Cienc. Madrid) 8:370-380
