AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1225328	1225327	robusta	Tuff, 1967	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:476458	urn:lsid:Psocodea.speciesfile.org:TaxonName:476458
1225329	1225327	senegalensis	Kumar, P. & Tandan, 1971	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:474739	urn:lsid:Psocodea.speciesfile.org:TaxonName:474739
1225651	1225649	longifrons	Carriker Jr., 1956	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:475209	urn:lsid:Psocodea.speciesfile.org:TaxonName:475209
1227001	1226997	angusticeps	(Piaget, 1880)	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:477098	urn:lsid:Psocodea.speciesfile.org:TaxonName:477098
1227002	1226997	fosteri	Edwards, R. L., 1961	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:477097	urn:lsid:Psocodea.speciesfile.org:TaxonName:477097
1227018	1227017	falsus	Eichler, 1949	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:477724	urn:lsid:Psocodea.speciesfile.org:TaxonName:477724
1227019	1227017	pacificus	Edwards, R. L., 1961	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:477119	urn:lsid:Psocodea.speciesfile.org:TaxonName:477119
1227387	1227386	numenii	(Denny, 1842)	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:478573	urn:lsid:Psocodea.speciesfile.org:TaxonName:478573
1227388	1227386	phaeopi	(Denny, 1842)	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:478572	urn:lsid:Psocodea.speciesfile.org:TaxonName:478572
1227394	1227386	hopkinsi	Timmermann, 1954	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:477649	urn:lsid:Psocodea.speciesfile.org:TaxonName:477649
1227395	1227386	lissmanni	Timmermann, 1954	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:477650	urn:lsid:Psocodea.speciesfile.org:TaxonName:477650
1227396	1227386	rileyi	Timmermann, 1954	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:477651	urn:lsid:Psocodea.speciesfile.org:TaxonName:477651
1227397	1227386	oliveri	(Johnston, T. H. & L. Harrison, 1912)	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:478571	urn:lsid:Psocodea.speciesfile.org:TaxonName:478571
1227398	1227386	proximus	(Blagoveschtchensky, 1948)	Subspecies		Accepted name	False	False	True	terrestrial		Kevin P. Johnson	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Psocodea.speciesfile.org:TaxonName:478570	urn:lsid:Psocodea.speciesfile.org:TaxonName:478570
