AcceptedTaxonID	DistributionElement	StandardInUse
1191650	France	text
1191656	Greece	text
1191657	Afghanistan	text
1191658	France; Belgium; Germany; Greece; Morocco; Portugal; Spain; Switzerland; Turkey; Yugoslavia; :	text
1191663	Namibia	text
1191665	USA	text
1191666	USA	text
1191667	USA	text
1191678	Zimbabwe; Belgium; Czechoslovakia; Denmark; Finland; France; Germany; Great Britain; Hungary; Ireland; Israel; Italy; Luxembourg; Poland; Spain; Switzerland; Yugoslavia; Canary Islands; USA; :	text
1191679	Australia; Italy	text
1191680	USA; Austria; Belgium; Czechoslovakia; Egypt; France; Germany; Italy; Spain; Switzerland; Mexico; :	text
1191685	Mexico; USA	text
1191700	India	text
1191701	Italy; Bahrain; Israel; Morocco; Ascension Island; Canary Islands; Madeira; USA; Antilles; Cuba; Jamaica; Mexico; Nicaragua; Brazil; Colombia; Angola; Cameroon; Congo; Madagascar; Mozambique; Nigeria; Tanzania; Mascarene Islands; China; India; Indonesia; New Guinea; Taiwan; Thailand; Australia; Hawaii; :	text
1191707	Seychelles; India; Madagascar; Aldabra Islands	text
1191708	China	text
1191718	Malaysia	text
1191719	India	text
1191721	Argentina	text
1191722	India	text
1191723	Mexico; USA; Antigua; Guatemala	text
1191724	Europe; Algeria; Armenia; Ireland; Israel; Morocco; Tunisia; USSR; Yugoslavia; Ascension Island; Azores; Canary Islands; Saint Helena; USA; Central America; Cuba; Mexico; Chile; Uruguay; Angola; Zimbabwe; Afghanistan; India; Australia; New Zealand; Guam; Micronesia	text
1191737	Angola	text
1191738	Central America; Mexico	text
1191740	Malaysia	text
1191741	Taiwan; China	text
1191742	Hawaii; Taiwan	text
1191743	Japan; China; Taiwan	text
1191745	Uae	text
1191746	Mexico	text
1191747	Belize	text
1191749	Angola	text
1191751	Mexico	text
1191752	Mexico	text
1191753	Mexico	text
1191754	Mexico	text
1191755	Mexico	text
1191756	Cuba	text
1191757	Angola	text
1191758	China	text
1191759	China	text
1191772	Madagascar	text
1191773	Madagascar	text
1191774	Kenya	text
1191775	Madagascar	text
1191776	Congo; Nigeria; Togo	text
1191777	Cuba; USA; Belize; Guatemala; Honduras; Mexico	text
1191779	Angola; Congo; Mozambique; Nigeria; Tanzania; Zimbabwe	text
1191780	Madagascar	text
1191781	Madagascar	text
1191782	Angola	text
1191783	Madagascar; Iles Glorieuses	text
1191784	Madagascar	text
1191785	East Africa	text
1191786	Madagascar	text
1191787	Madagascar	text
1191788	Madagascar	text
1191793	Tanzania	text
1191798	China	text
1191800	India	text
1191802	Taiwan; China	text
1191803	Sri Lanka	text
1191806	China	text
1191808	New Guinea; Bismarck Archipelago; Indonesia; Samoa	text
1191810	Brazil	text
1191811	Galapagos	text
1191812	Sri Lanka	text
1191813	Sri Lanka; Malaysia	text
