ReferenceID	Authors	Year	Title	Source
30130	Aaron	1883	Description of new Psocidae in the collection of the American Entomological Society.	Transactions of the American Entomological Society 11(1884)
30132	Aaron	1886	On some new Psocidae.	Proceedings of the Academy of Natural Sciences of Philadelphia 38
30147	Agarwal	1956	Some mycophagous insects and their parasites associated with sugarcane.	Current Science 25(10)
30191	Ansorge	1996	Insekten aus dem oberen Lias von Grimmen (Vorpommern, Norddeutschland).	Neue Paläontologische Abhandlungen 2:1-132
30193	Arahou	1984	Contribution à l'étude des Psocoptères du Maroc. Description de Caecilius koriflae n. sp.	Bulletin de l'Institut scientifique, Rabat 8
30203	Ashmead	1879	On a new Psocus.	Canadian Entomologist 11
30204	Ashmead	1894	Notes on cotton insects found in Mississippi.	Insect Life, United States Department of Agriculture 7(1)
30224	Badonnel	1931	Contribution à l'étude de la faune du Mozambique. Voyage de M. P. Lesne (1928-1929). 4e note. Copéognathes.	Annales des Sciences naturelles, Zoologie Paris (10) 14(16):229-260
30225	Badonnel	1931	"Copéognathes de France (IIIe note). Liste de quelques espèces trouvées dans les Pyrénées-Orientales, et description d'un nouveau genre des environs de Banyuls-sur-Mer: Nymphotroctes Denisi n. sp."	Bulletin de la Société zoologique de France 56
30228	Badonnel	1932	Contribution à l'étude de la faune du Mozambique - Voyage de M. P. Lesne (1928-1929). 7e note. Supplément aux Copéognathes.	Bulletin de la Société zoologique de France 57
30230	Badonnel	1932	Copéognathes de France (IVe note). I. Sur un nouveau genre de la famille des Caeciliidae. II. Sur l'existence des gonapophyses chez les femelles du genre Liposcelis Motsch., 1852 (= Troctes Burm., 1839).  	Bulletin de la Société entomologique de France 37:77-79
30234	Badonnel	1935	Psocoptères de France (5e note). Liste d'espèces nouvelles ou peu connues avec indication de quelques synonymies.	Bulletin de la Société entomologique de France 40
30235	Badonnel	1935	"Psocoptères de France. VIe note. Description d'une espèce nouvelle du genre Neopsocus Kolbe, suivie d'une révision des espèces de ce genre."	Revue française d'Entomologie 2
30237	Badonnel	1935	Psocoptères nouveaux d'Afrique et d'Arabie.	Revue française d'Entomologie 2
30238	Badonnel	1935	Contribution à l'étude des Psocoptères à Madagascar.	Bulletin de l'Académie malgache, Nouvelle Série 18
30241	Badonnel	1936	"Psocoptères de France (7e note). Espèces nouvelles ou peu connues, et description de deux espèces inedites."	Bulletin de la Société entomologique de France 41
30242	Badonnel	1936	Nouvelle espèce de Psocoptère d'Algérie.	Revue française d'Entomologie 3
30247	Badonnel	1938	Psocoptères de France (9e note). Diagnoses préliminaires et nouvelles captures.	Bulletin de la Société entomologique de France 43
30250	Badonnel	1938	"Sur le Psocus hirticornis Reuter, 1893."	Bulletin de la Société zoologique de France 63
30251	Badonnel	1943	Psocoptères.	Faune de France 42:1-164
30252	Badonnel	1943	"Psocoptères du Cameroun (Mission P. Lepesme, R. Paulian et A. Villiers, 1939)."	Revue de Zoologie et de Botanique africaines 37
30254	Badonnel	1944	Contribution à l'étude des Psocoptères de l'Atlantide.	Revue française d'Entomologie 11
30256	Badonnel	1945	Contribution à l'étude des Psocoptères du Maroc. Voyage de L. Berland et M. Vachon (1939).	Revue française d'Entomologie 12
30258	Badonnel	1946	Psocoptères du Congo belge.	Revue de Zoologie et de Botanique africaines 39
30259	Badonnel	1947	Croisière du Bougainville aux îles australes françaises. XIV. Psocoptères.	Mémoires du Muséum national d'Histoire naturelle, Nouvelle Série 20
30260	Badonnel	1948	Psocoptères de la Guinée française (Mission Lamotte 1942).	Revue française d'Entomologie 15
30261	Badonnel	1948	Psocoptères du Congo belge (2e note).	Revue de Zoologie et de Botanique africaines 40(4):266-322
30263	Badonnel	1949	Psocoptères de la Côte d'Ivoire. Mission Paulian-Delamare (1945).	Revue française d'Entomologie 16
30265	Badonnel	1949	Psocoptères du Congo belge (3e note).	Bulletin de l'Institut Royal des Sciences naturelles de Belgique 25(11)
30267	Badonnel	1955	Psocoptères de l'Angola.	Publicacões culturais da Companhia de Diamantes de Angola 26
30269	Badonnel	1959	Un psoque cavernicole du Moyen-Congo.	Revue suisse de Zoologie 66(33)
