AcceptedTaxonID	Order	Superfamily	Family	Genus	SubgenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDNameGUID
1218734	Zoraptera		Zorotypidae	Zorotypus		cretatus	Engel & Grimaldi, 2002	 Incertae sedis	Accepted name	True	True	False	terrestrial	 Incertae sedis			http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467489	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467489
1218736	Zoraptera		Zorotypidae	Xenozorotypus		burmiticus	Engel & Grimaldi, 2002		Accepted name	True	True	False	terrestrial				http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467512	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467512
1218737	Zoraptera		Zorotypidae	Zorotypus	Octozoros	acanthothorax	Engel & Grimaldi, 2002		Accepted name	True	True	False	terrestrial				http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467630	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467630
1218738	Zoraptera		Zorotypidae	Zorotypus	Octozoros	nascimbenei	Engel & Grimaldi, 2002		Accepted name	True	True	False	terrestrial				http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467701	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467701
1218739	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	guineensis	Silvestri, 1913		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467709	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467709
1218740	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	ceylonicus	Silvestri, 1913		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467703	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467703
1218741	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	mnemosyne	Engel, 2008		Accepted name	True	True	False	terrestrial				http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467453	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467453
1218742	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	absonus	Engel, 2008		Accepted name	True	True	False	terrestrial				http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467708	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467708
1218743	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	goeleti	Engel & Grimaldi, 2000		Accepted name	True	True	False	terrestrial				http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467463	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467463
1218744	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	barberi	Gurney, 1938		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467515	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467515
1218745	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	brasiliensis	Silvestri, 1947		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467698	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467698
1218746	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	buxtoni	Karny, 1932		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467664	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467664
1218747	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	congensis	Van-Ryn-Tournel, 1971		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467699	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467699
1218748	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	caudelli	Karny, 1923		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467433	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467433
1218749	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	cramptoni	Gurney, 1938		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467514	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467514
1218750	Zoraptera		Zorotypidae	Zorotypus	Zorotypus	delamarei	Paulian, 1949		Accepted name	False	False	True	terrestrial		Mike Maehr	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Zoraptera.speciesfile.org:TaxonName:467494	urn:lsid:Zoraptera.speciesfile.org:TaxonName:467494
