ID	ReferenceType	ReferenceID
467386		44614
467398		44610
467399		44592
467401		44609
467402		44608
467403		44607
467404		44606
467405		44605
467406		44585
467408		44585
467409		44604
467410		44603
467411		44584
467412		44602
467413		44601
467414		44600
467415		44599
467417		44630
467418		44598
467419		44597
467420		44596
467421		44595
467422		44579
467423		44594
467425		44593
467427		44592
467429		44591
467430		44590
467431		44585
467433		44589
467434		44588
467435		44587
467436		44586
467438		44585
467439		44584
467443		44579
467444		44579
467447		44901
467450		44580
467451		44580
473034		44582
473035		44582
1218734		44580
1218736		44580
1218737		44580
1218737		44582
1218738		44580
1218738		44582
1218739		44579
1218740		44579
1218741		44583
1218742		44583
1218743		44584
1218744		44585
1218745		44586
1218746		44587
1218747		44588
1218748		44589
1218749		44585
1218750		44590
1218751		44591
1218752		44592
1218753		44593
1218754		44594
1218755		44579
1218756		44595
1218757		44596
1218758		44597
1218759		44598
1218760		44599
1218760		44630
1218761		44600
1218762		44601
1218763		44602
1218764		44584
1218764		44603
1218765		44604
1218766		44585
1218767		44585
1218768		44605
1218769		44606
1218770		44607
1218771		44608
1218772		44609
1218773		44592
1218774		44610
1218783		44613
1218785		44614
1220634		44881
1220635		44882
1220636		44881
1220637		44883
1220647		44583
1220647		44901
1220648		44903
1223787		46263
