ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
380151	380016	Hofstenia		tinga	Marcus EDB-R, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380151	
380168	142669	Mecynostomum		bathycola	Westblad, 1948				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380168	
485245	142669	Pseudmecynostomum		bathycolum	(Westblad, 1948)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485245	
142691	142670	Pseudmecynostomum		boreale	Faubel, 1977				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:142691	
380169	380063	Mecynostomum		evelinae	Marcus, 1948				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380169	
142585	142674	Aphanostoma		macrobursalis	Westblad, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:142585	
380173	142676	Aphanostoma		pallidum	Beklemischev, 1915				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380173	
380196	142671	Aphanostoma		auritum		flavescens	Subspecies	Westblad, 1946	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380196	
485185	142674	Aphanostoma		macrobursalium	Westblad, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485185	
485238	142674	Mecynostomum		macrobursalium	(Westblad, 1946)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485238	
485241	142676	Mecynostomum		pallidum	(Beklemischev, 1915)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485241	
485246	380063	Pseudmecynostomum		evelinae	(Marcus, 1948)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485246	
487775	142671	Mecynostomum		auritum		flavescens	Subspecies	(Westblad, 1946)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:487775	
380119	142562	Convoluta		pusilla	Westblad, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380119	
380120	142563	Convoluta		rhammifera	Westblad, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380120	
380122	142565	Convoluta		stylifera	Westblad, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380122	
380170	142672	Pseudmecynostomum		fragilis	Dörjes, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380170	
380171	142673	Pseudmecynostomum		juistensis	Dörjes, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380171	
380172	142675	Pseudmecynostomum		maritimum	Dörjes, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380172	
380174	142677	Pseudmecynostomum		papillosum	Faubel, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380174	
380175	380065	Pseudmecynostomum		tardum	Ehlers & Dörjes, 1979				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380175	
380124	156663	Amphiscolops		gardineri	Graff, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380124	
485167	142522	Anaperus		diploposthia	(Steinböck, 1931)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485167	
142603	142522	Convoluta		diploposthia	Steinböck, 1931				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:142603	
485166	142523	Anaperus		balticus	Meixner, 1938				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485166	
380125	142523	Palmenia		tvaerminnensis	Luther, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380125	
380180	142687	Aphanostoma		diversicolor	Ørsted, 1845				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380180	
485168	142523	Palmeniola		tvaerminnensis	Forsius, 1925				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485168	
485193	380060	Convoluta		actuosa	(Kozloff, 1965)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485193	
485222	380060	Conaperta		actuosa	(Kozloff, 1965)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485222	
380176	142679	Aphanostoma		auritum	Westblad, 1946				nomen nudum	Unaccepted name	urn:lsid:marinespecies.org:taxname:380176	
380183	142703	Convoluta		karlingi	Westblad, 1946				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380183	
484819	142564	Convoluta		saliens	(Graff, 1882)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:484819	
485247	142671	Pseudmecynostomum		flavescens	(Dörjes, 1968)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485247	
485249	142674	Pseudmecynostomum		macrobursalium	(Westblad, 1946)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485249	
485250	142676	Pseudmecynostomum		pallidum	(Beklemischev, 1915)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485250	
487774	142679	Aphanostoma		auritum		typica	Subspecies	Westblad, 1946	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:487774	
487777	142679	Mecynostomum		auritum		typica	Subspecies	(Westblad, 1946)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:487777	
485234	142565	Pseudohaplogonaria		stylifera	(Westblad, 1946)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485234	
485252	142679	Pseudmecynostomum		westbladi	Dörjes, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485252	
380185	142708	Archiproporus		minimus	An der Lan, 1936				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380185	
485258	142709	Schizoprora		venenosus	Schmidt, 1852				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485258	
380186	142709	Schizoprora		venosus	Schmidt, 1852				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:380186	
142534	480307	Actinoposthia		beklemishevi	Mamkaev, 1965				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:142534	
485176	379957	Amphiscolops		australis	(Haswell, 1905)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:485176	
