AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
484832	142607	nigra	Pereyaslawzewa, 1892	Subspecies	accepted	Accepted name	0			Artois, Tom	2011-10-14 14:26:31	http://www.marinespecies.org/aphia.php?p=taxdetails&id=484832		urn:lsid:marinespecies.org:taxname:484832	
484833	142607	violacea	Pereyaslawzewa, 1892	Subspecies	accepted	Accepted name	0			Artois, Tom	2011-10-14 14:26:31	http://www.marinespecies.org/aphia.php?p=taxdetails&id=484833		urn:lsid:marinespecies.org:taxname:484833	
559262	379966	var. praedator	Ivanov, 1952	Variety	accepted	Accepted name	0	marine		Tyler, Seth	2011-02-08 09:48:47	http://www.marinespecies.org/aphia.php?p=taxdetails&id=559262		urn:lsid:marinespecies.org:taxname:559262	
484063	379966	var. rufa	Ivanov, 1952	Variety	accepted	Accepted name	0	marine		Artois, Tom	2011-02-23 14:31:30	http://www.marinespecies.org/aphia.php?p=taxdetails&id=484063		urn:lsid:marinespecies.org:taxname:484063	
390639	142565	brasiliensis	Hooge & Rocha, 2006	Subspecies	accepted	Accepted name	0	marine		Tyler, Seth	2010-06-29 10:36:36	http://www.marinespecies.org/aphia.php?p=taxdetails&id=390639		urn:lsid:marinespecies.org:taxname:390639	
485072	142565	stylifera	(Westblad, 1946)	Subspecies	accepted	Accepted name	0	marine		Artois, Tom	2011-02-23 14:31:30	http://www.marinespecies.org/aphia.php?p=taxdetails&id=485072		urn:lsid:marinespecies.org:taxname:485072	
485064	142703	karlingi	(Westblad, 1946)	Subspecies	accepted	Accepted name	0	marine		Artois, Tom	2011-02-23 14:31:30	http://www.marinespecies.org/aphia.php?p=taxdetails&id=485064		urn:lsid:marinespecies.org:taxname:485064	
484835	142703	pacifica	Ehlers & Doerjes, 1979	Subspecies	accepted	Accepted name	0	marine		Artois, Tom	2011-02-23 14:31:30	http://www.marinespecies.org/aphia.php?p=taxdetails&id=484835		urn:lsid:marinespecies.org:taxname:484835	
484836	142709	venenosus	(Schmidt, 1852)	Subspecies	accepted	Accepted name	0	marine		Artois, Tom	2011-02-23 14:31:30	http://www.marinespecies.org/aphia.php?p=taxdetails&id=484836		urn:lsid:marinespecies.org:taxname:484836	
484837	142709	violaceous	Graff, 1882	Subspecies	accepted	Accepted name	0	marine		Artois, Tom	2011-02-23 14:31:30	http://www.marinespecies.org/aphia.php?p=taxdetails&id=484837		urn:lsid:marinespecies.org:taxname:484837	
484838	142709	viridiflavus	Riedl, 1959	Subspecies	accepted	Accepted name	0	marine		Artois, Tom	2011-02-23 14:31:30	http://www.marinespecies.org/aphia.php?p=taxdetails&id=484838		urn:lsid:marinespecies.org:taxname:484838	
