AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
142528	Mediterranean Sea	Text		
142529	Mediterranean Sea	Text		
379907	Mediterranean Sea	Text		
142572	Mediterranean Sea	Text		
142573	Mediterranean Sea	Text		
142573	Mediterranean Sea	Text		
142575	Mediterranean Sea	Text		
142577	Mediterranean Sea	Text		
142577	Mediterranean Sea	Text		
142578	Mediterranean Sea	Text		
142578	Mediterranean Sea	Text		
142522	Mediterranean Sea	Text		
142522	Mediterranean Sea	Text		
380020	Mediterranean Sea	Text		
142587	Mediterranean Sea	Text		
142587	Mediterranean Sea	Text		
380022	Mediterranean Sea	Text		
142593	Mediterranean Sea	Text		
142593	Mediterranean Sea	Text		
379910	Mediterranean Sea	Text		
379911	Mediterranean Sea	Text		
142542	Mediterranean Sea	Text		
379914	Mediterranean Sea	Text		
379917	Mediterranean Sea	Text		
379916	Mediterranean Sea	Text		
379932	Mediterranean Sea	Text		
379934	Mediterranean Sea	Text		
142597	Mediterranean Sea	Text		
142599	Mediterranean Sea	Text		
142599	Mediterranean Sea	Text		
142601	Mediterranean Sea	Text		
142602	Mediterranean Sea	Text		
142602	Mediterranean Sea	Text		
142607	Mediterranean Sea	Text		
142607	Mediterranean Sea	Text		
142608	Mediterranean Sea	Text		
142609	Mediterranean Sea	Text		
142609	Mediterranean Sea	Text		
142610	Mediterranean Sea	Text		
142612	Mediterranean Sea	Text		
142610	Mediterranean Sea	Text		
142613	Mediterranean Sea	Text		
142639	Mediterranean Sea	Text		
142615	Mediterranean Sea	Text		
142802	Mediterranean Sea	Text		
142641	Mediterranean Sea	Text		
142641	Mediterranean Sea	Text		
379955	Mediterranean Sea	Text		
142617	Mediterranean Sea	Text		
142644	Mediterranean Sea	Text		
142648	Mediterranean Sea	Text		
142648	Mediterranean Sea	Text		
142656	Mediterranean Sea	Text		
142656	Mediterranean Sea	Text		
142657	Mediterranean Sea	Text		
142657	Mediterranean Sea	Text		
142667	Mediterranean Sea	Text		
142667	Mediterranean Sea	Text		
142659	Mediterranean Sea	Text		
142659	Mediterranean Sea	Text		
142680	Mediterranean Sea	Text		
380068	Mediterranean Sea	Text		
142683	Mediterranean Sea	Text		
142695	Mediterranean Sea	Text		
142695	Mediterranean Sea	Text		
380100	Mediterranean Sea	Text		
142804	Mediterranean Sea	Text		
142804	Mediterranean Sea	Text		
380101	Mediterranean Sea	Text		
380101	Mediterranean Sea	Text		
142698	Mediterranean Sea	Text		
142699	Mediterranean Sea	Text		
142699	Mediterranean Sea	Text		
142700	Mediterranean Sea	Text		
142700	Mediterranean Sea	Text		
142660	Mediterranean Sea	Text		
142686	Mediterranean Sea	Text		
142687	Mediterranean Sea	Text		
142686	Mediterranean Sea	Text		
142687	Mediterranean Sea	Text		
142556	Mediterranean Sea	Text		
142556	Mediterranean Sea	Text		
142704	Mediterranean Sea	Text		
142557	Mediterranean Sea	Text		
142564	Mediterranean Sea	Text		
142566	Mediterranean Sea	Text		
142624	Mediterranean Sea	Text		
142624	Mediterranean Sea	Text		
142626	Mediterranean Sea	Text		
142626	Mediterranean Sea	Text		
142631	Mediterranean Sea	Text		
142706	Mediterranean Sea	Text		
142709	Mediterranean Sea	Text		
142709	Mediterranean Sea	Text		
142636	Mediterranean Sea	Text		
142636	Mediterranean Sea	Text		
142665	Mediterranean Sea	Text		
142665	Mediterranean Sea	Text		
380102	Mediterranean Sea	Text		
142718	Mediterranean Sea	Text		
142718	Mediterranean Sea	Text		
379899	Arctic Ocean	Text		
380058	Arctic Ocean	Text		
142708	Arctic Ocean	Text		
142554	Arctic Ocean	Text		
142660	Arctic Ocean	Text		
142804	Arctic Ocean	Text		
142659	Arctic Ocean	Text		
142656	Arctic Ocean	Text		
142654	Arctic Ocean	Text		
379955	Arctic Ocean	Text		
142676	Arctic Ocean	Text		
142600	Arctic Ocean	Text		
379932	Arctic Ocean	Text		
142587	Arctic Ocean	Text		
142586	Arctic Ocean	Text		
380020	Arctic Ocean	Text		
142521	Arctic Ocean	Text		
379982	Arctic Ocean	Text		
379890	Arctic Ocean	Text		
142521	White Sea	Text		
142523	Baltic sea	Text		
142581	Baltic sea	Text		
142542	Baltic sea	Text		
142598	Baltic sea	Text		
142602	Baltic sea	Text		
142679	Baltic sea	Text		
142671	Baltic sea	Text		
142680	Baltic sea	Text		
142803	Baltic sea	Text		
142687	Baltic sea	Text		
142557	Baltic sea	Text		
142703	Baltic sea	Text		
142703	Baltic sea	Text		
142718	Black Sea	Text		
142687	Black Sea	Text		
142700	Black Sea	Text		
380067	Black Sea	Text		
142695	Black Sea	Text		
142644	Black Sea	Text		
142644	Black Sea	Text		
142601	Black Sea	Text		
142610	Black Sea	Text		
142613	Black Sea	Text		
142612	Black Sea	Text		
379948	Black Sea	Text		
142607	Black Sea	Text		
142597	Black Sea	Text		
379904	Caspian Sea	Text		
379900	Caspian Sea	Text		
379901	Caspian Sea	Text		
379964	Caspian Sea	Text		
379965	Caspian Sea	Text		
379959	Caspian Sea	Text		
379960	Caspian Sea	Text		
379961	Caspian Sea	Text		
379962	Caspian Sea	Text		
379963	Europe	Text		
142704	Blankenberge	Text		
142553	North East Atlantic	Text		
142556	North East Atlantic	Text		
142555	North East Atlantic	Text		
142565	North East Atlantic	Text		
142564	North East Atlantic	Text		
142568	North East Atlantic	Text		
142567	North East Atlantic	Text		
142558	North East Atlantic	Text		
142525	North East Atlantic	Text		
142559	North East Atlantic	Text		
142560	North East Atlantic	Text		
142561	North East Atlantic	Text		
142562	North East Atlantic	Text		
142563	North East Atlantic	Text		
142543	North East Atlantic	Text		
142803	North East Atlantic	Text		
142520	North East Atlantic	Text		
142537	North East Atlantic	Text		
142538	North East Atlantic	Text		
142535	North East Atlantic	Text		
142573	North East Atlantic	Text		
142523	North East Atlantic	Text		
142522	North East Atlantic	Text		
142527	North East Atlantic	Text		
142530	North East Atlantic	Text		
142531	North East Atlantic	Text		
379915	North East Atlantic	Text		
379916	North East Atlantic	Text		
379913	North East Atlantic	Text		
379911	North East Atlantic	Text		
379908	North East Atlantic	Text		
142541	North East Atlantic	Text		
142540	North East Atlantic	Text		
142532	North East Atlantic	Text		
379910	North East Atlantic	Text		
379917	North East Atlantic	Text		
379918	North East Atlantic	Text		
142533	North East Atlantic	Text		
142526	North East Atlantic	Text		
142569	North East Atlantic	Text		
142570	North East Atlantic	Text		
142704	Oostende	Text		
142704	Zeebrugge	Text		
142704	De Panne	Text		
380100	Adriatic Sea	Text		
142704	Bredene	Text		
142564	Delta area	Text		
142680	Delta area	Text		
142703	Delta area	Text		
379957	Indian Ocean	Text		
142704	Knokke	Text		
142704	Mariakerke	Text		
142705	North Atlantic	Text		
142557	North Atlantic	Text		
142698	North Atlantic	Text		
142687	North Atlantic	Text		
379955	North Atlantic	Text		
380039	North Atlantic	Text		
142804	North Atlantic	Text		
380101	North Atlantic	Text		
380100	North Atlantic	Text		
142602	North Atlantic	Text		
142802	North Atlantic	Text		
379909	North Atlantic	Text		
142707	North Atlantic	Text		
380102	North Atlantic	Text		
158312	North West Atlantic	Text		
158314	North West Atlantic	Text		
158316	North West Atlantic	Text		
158313	North West Atlantic	Text		
142542	North West Atlantic	Text		
156664	North West Atlantic	Text		
156663	North West Atlantic	Text		
158682	North West Atlantic	Text		
380100	North West Atlantic	Text		
142685	North West Atlantic	Text		
158303	North West Atlantic	Text		
158307	North West Atlantic	Text		
142804	Norway	Text		
380066	Poland	Text		
380014	Red Sea	Text		
379902	Red Sea	Text		
379926	Red Sea	Text		
379928	Red Sea	Text		
379929	Red Sea	Text		
379938	Red Sea	Text		
379947	Red Sea	Text		
379975	Red Sea	Text		
142704	Sint-Idesbald	Text		
142704	Wimereux	Text		
142680	Wimereux	Text		
380029	North Pacific	Text		
380025	North Pacific	Text		
142802	South Pacific	Text		
380082	Australia	Text		
380024	Australia	Text		
379957	Australia	Text		
142802	Canary Islands	Text		
380098	Florida	Text		
380098	Gulf of Mexico	Text		
380100	Gulf of Mexico	Text		
380005	Gulf of Mexico	Text		
380102	Gulf of Mexico	Text		
380099	North Carolina	Text		
142541	European waters (ERMS scope)	Text		
142590	European waters (ERMS scope)	Text		
142592	European waters (ERMS scope)	Text		
142594	European waters (ERMS scope)	Text		
142542	European waters (ERMS scope)	Text		
142593	European waters (ERMS scope)	Text		
142696	European waters (ERMS scope)	Text		
142588	European waters (ERMS scope)	Text		
142589	European waters (ERMS scope)	Text		
142587	European waters (ERMS scope)	Text		
142540	European waters (ERMS scope)	Text		
142586	European waters (ERMS scope)	Text		
142582	European waters (ERMS scope)	Text		
142583	European waters (ERMS scope)	Text		
142581	European waters (ERMS scope)	Text		
142579	European waters (ERMS scope)	Text		
142580	European waters (ERMS scope)	Text		
142578	European waters (ERMS scope)	Text		
142577	European waters (ERMS scope)	Text		
142522	European waters (ERMS scope)	Text		
142521	European waters (ERMS scope)	Text		
142531	European waters (ERMS scope)	Text		
142530	European waters (ERMS scope)	Text		
142527	European waters (ERMS scope)	Text		
142523	European waters (ERMS scope)	Text		
142575	European waters (ERMS scope)	Text		
142643	European waters (ERMS scope)	Text		
142572	European waters (ERMS scope)	Text		
142573	European waters (ERMS scope)	Text		
142571	European waters (ERMS scope)	Text		
142642	European waters (ERMS scope)	Text		
142529	European waters (ERMS scope)	Text		
142528	European waters (ERMS scope)	Text		
142538	European waters (ERMS scope)	Text		
142537	European waters (ERMS scope)	Text		
142535	European waters (ERMS scope)	Text		
142520	European waters (ERMS scope)	Text		
142802	European waters (ERMS scope)	Text		
142641	European waters (ERMS scope)	Text		
142677	European waters (ERMS scope)	Text		
142616	European waters (ERMS scope)	Text		
142615	European waters (ERMS scope)	Text		
142676	European waters (ERMS scope)	Text		
142679	European waters (ERMS scope)	Text		
142614	European waters (ERMS scope)	Text		
142640	European waters (ERMS scope)	Text		
142668	European waters (ERMS scope)	Text		
142610	European waters (ERMS scope)	Text		
142638	European waters (ERMS scope)	Text		
142639	European waters (ERMS scope)	Text		
142671	European waters (ERMS scope)	Text		
142669	European waters (ERMS scope)	Text		
142670	European waters (ERMS scope)	Text		
142672	European waters (ERMS scope)	Text		
142673	European waters (ERMS scope)	Text		
142674	European waters (ERMS scope)	Text		
142675	European waters (ERMS scope)	Text		
142613	European waters (ERMS scope)	Text		
142612	European waters (ERMS scope)	Text		
142607	European waters (ERMS scope)	Text		
142608	European waters (ERMS scope)	Text		
142609	European waters (ERMS scope)	Text		
142602	European waters (ERMS scope)	Text		
142601	European waters (ERMS scope)	Text		
142598	European waters (ERMS scope)	Text		
142599	European waters (ERMS scope)	Text		
142600	European waters (ERMS scope)	Text		
142532	European waters (ERMS scope)	Text		
142597	European waters (ERMS scope)	Text		
142686	European waters (ERMS scope)	Text		
142663	European waters (ERMS scope)	Text		
142687	European waters (ERMS scope)	Text		
142701	European waters (ERMS scope)	Text		
142685	European waters (ERMS scope)	Text		
142660	European waters (ERMS scope)	Text		
142661	European waters (ERMS scope)	Text		
142662	European waters (ERMS scope)	Text		
142700	European waters (ERMS scope)	Text		
142715	European waters (ERMS scope)	Text		
142716	European waters (ERMS scope)	Text		
142684	European waters (ERMS scope)	Text		
142699	European waters (ERMS scope)	Text		
142698	European waters (ERMS scope)	Text		
142558	European waters (ERMS scope)	Text		
142557	European waters (ERMS scope)	Text		
142556	European waters (ERMS scope)	Text		
142554	European waters (ERMS scope)	Text		
142555	European waters (ERMS scope)	Text		
142553	European waters (ERMS scope)	Text		
142568	European waters (ERMS scope)	Text		
142566	European waters (ERMS scope)	Text		
142565	European waters (ERMS scope)	Text		
142567	European waters (ERMS scope)	Text		
142564	European waters (ERMS scope)	Text		
142563	European waters (ERMS scope)	Text		
142562	European waters (ERMS scope)	Text		
142561	European waters (ERMS scope)	Text		
142705	European waters (ERMS scope)	Text		
142560	European waters (ERMS scope)	Text		
142559	European waters (ERMS scope)	Text		
142525	European waters (ERMS scope)	Text		
142804	European waters (ERMS scope)	Text		
142695	European waters (ERMS scope)	Text		
142680	European waters (ERMS scope)	Text		
142543	European waters (ERMS scope)	Text		
142683	European waters (ERMS scope)	Text		
142682	European waters (ERMS scope)	Text		
142681	European waters (ERMS scope)	Text		
142803	European waters (ERMS scope)	Text		
142659	European waters (ERMS scope)	Text		
142658	European waters (ERMS scope)	Text		
142657	European waters (ERMS scope)	Text		
142654	European waters (ERMS scope)	Text		
142656	European waters (ERMS scope)	Text		
142697	European waters (ERMS scope)	Text		
142667	European waters (ERMS scope)	Text		
142617	European waters (ERMS scope)	Text		
142645	European waters (ERMS scope)	Text		
142644	European waters (ERMS scope)	Text		
142646	European waters (ERMS scope)	Text		
142647	European waters (ERMS scope)	Text		
142650	European waters (ERMS scope)	Text		
142651	European waters (ERMS scope)	Text		
142648	European waters (ERMS scope)	Text		
142649	European waters (ERMS scope)	Text		
142717	European waters (ERMS scope)	Text		
142637	European waters (ERMS scope)	Text		
142666	European waters (ERMS scope)	Text		
142665	European waters (ERMS scope)	Text		
142664	European waters (ERMS scope)	Text		
142708	European waters (ERMS scope)	Text		
142706	European waters (ERMS scope)	Text		
142707	European waters (ERMS scope)	Text		
142632	European waters (ERMS scope)	Text		
142569	European waters (ERMS scope)	Text		
142709	European waters (ERMS scope)	Text		
142633	European waters (ERMS scope)	Text		
142634	European waters (ERMS scope)	Text		
142635	European waters (ERMS scope)	Text		
142692	European waters (ERMS scope)	Text		
142693	European waters (ERMS scope)	Text		
142694	European waters (ERMS scope)	Text		
142570	European waters (ERMS scope)	Text		
142636	European waters (ERMS scope)	Text		
142627	European waters (ERMS scope)	Text		
142628	European waters (ERMS scope)	Text		
142626	European waters (ERMS scope)	Text		
142625	European waters (ERMS scope)	Text		
142624	European waters (ERMS scope)	Text		
142629	European waters (ERMS scope)	Text		
142630	European waters (ERMS scope)	Text		
142631	European waters (ERMS scope)	Text		
142703	European waters (ERMS scope)	Text		
142618	European waters (ERMS scope)	Text		
142702	European waters (ERMS scope)	Text		
142688	European waters (ERMS scope)	Text		
142621	European waters (ERMS scope)	Text		
142622	European waters (ERMS scope)	Text		
142526	European waters (ERMS scope)	Text		
142623	European waters (ERMS scope)	Text		
142619	European waters (ERMS scope)	Text		
142620	European waters (ERMS scope)	Text		
142689	European waters (ERMS scope)	Text		
142690	European waters (ERMS scope)	Text		
142718	European waters (ERMS scope)	Text		
142533	European waters (ERMS scope)	Text		
380015	West Atlantic	Text		
379958	West Atlantic	Text		
379998	West Atlantic	Text		
379940	West Atlantic	Text		
380102	Indo-West Pacific	Text		
834778	Croatian Exclusive Economic Zone	Text		
834769	Croatian Exclusive Economic Zone	Text		
834772	Italian Exclusive Economic Zone	Text		
834770	Portuguese Exclusive Economic Zone	Text		
834777	Hawaiian Exclusive Economic Zone	Text		
834776	Hawaiian Exclusive Economic Zone	Text		
380102	New Zealand Exclusive Economic Zone	Text		
380102	Belgian Exclusive Economic Zone	Text		
380102	Belgian Exclusive Economic Zone	Text		
380100	Belgian Exclusive Economic Zone	Text		
380100	Belgian Exclusive Economic Zone	Text		
142680	Belgian Exclusive Economic Zone	Text		
142680	Belgian Exclusive Economic Zone	Text		
142704	Belgian Exclusive Economic Zone	Text		
142704	Belgian Exclusive Economic Zone	Text		
142704	Belgian Exclusive Economic Zone	Text		
142704	Belgian Exclusive Economic Zone	Text		
142802	Belgian Exclusive Economic Zone	Text		
142802	Belgian Exclusive Economic Zone	Text		
380101	Atlantic	Text		
380061	Southern Ocean	Text		
142802	Kristineberg	Text		
380067	Mississippi	Text		
142803	Bergen	Text		
158682	Gulf of Maine	Text		
158303	Gulf of Maine	Text		
142685	Gulf of Maine	Text		
158307	Gulf of Maine	Text		
156663	Gulf of Maine	Text		
156664	Gulf of Maine	Text		
158312	Gulf of Maine	Text		
158314	Gulf of Maine	Text		
158316	Gulf of Maine	Text		
158313	Gulf of Maine	Text		
142542	World Oceans	Text		
142704	World Oceans	Text		
379952	Central Indo-Pacific	Text		
379946	Central Indo-Pacific	Text		
380083	Central Indo-Pacific	Text		
379937	Central Indo-Pacific	Text		
380073	Central North Pacific	Text		
142684	East North Atlantic	Text		
142700	East North Atlantic	Text		
142716	East North Atlantic	Text		
142715	East North Atlantic	Text		
142701	East North Atlantic	Text		
142662	East North Atlantic	Text		
142661	East North Atlantic	Text		
142660	East North Atlantic	Text		
142663	East North Atlantic	Text		
142647	East North Atlantic	Text		
142646	East North Atlantic	Text		
142645	East North Atlantic	Text		
142649	East North Atlantic	Text		
142648	East North Atlantic	Text		
