ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
378829	178786	Anasterias		minuta	Perrier, 1875				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378829	
378837	178786	Anasterias		verrilli	Koehler, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378837	
378838	178786	Asteracanthion		antarcticus	Lütken, 1857				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378838	
172676	178786	Asterias		antarctica	Studer, 1884				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:172676	
379016	178786	Sporasterias		rugispina	Perrier, 1896				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379016	
378884	378886	Calvasterias		antipodum	Bell, 1882				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378884	
378823	234879	Calvasterias		asterinoides	Perrier, 1875				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378823	
378987	234866	Parastichaster		directus	Koehler, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378987	
379010	234866	Sporasterias		directa	Fisher, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379010	
378824	291593	Calvasterias		laevigata	(Hutton, 1879)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378824	
378988	234867	Parastichaster		mawsoni	Koehler, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378988	
379013	234867	Sporasterias		mawsoni	Fisher, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379013	
379014	248006	Sporasterias		pedicellaris	Koehler, 1923				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379014	
379015	234868	Sporasterias		perrieri	Verrill, 1914				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379015	
379557	234869	Asterias		rupicola	Verrill, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379557	
379017	234869	Sporasterias		rupicola	(Verrill, 1881)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379017	
378989	172671	Parastichaster		sphaerulatus	Koehler, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378989	
379018	172671	Sporasterias		sphaerulata	Fisher, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379018	
378826	234870	Anasterias		conferta	(Koehler, 1923)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378826	
379640	234870	Asterias		spirabilis	Bell, 1881				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379640	
378932	234870	Kalyptasterias		conferta	Koehler, 1923				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378932	
379019	234870	Sporasterias		spirabilis	Perrier, 1894				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379019	
378938	234871	Lysasterias		studeri	Fisher, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378938	
378825	234880	Calvasterias		suteri	(de Loriol, 1894)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378825	
379036	234880	Stichaster		littoralis	Farquhar, 1894				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379036	
379040	234880	Stichaster		suteri	de Loriol, 1894				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379040	
379043	234880	Stichorella		suteri	Koehler, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:379043	
378835	378834	Anasterias		stolidota	(Sladen, 1889)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378835	
378846	378834	Asteracanthion		fulgens	Philippi, 1870				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378846	
378870	378834	Asteracanthion		rubens	Müller & Troschel, 1843				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:378870	
