ID	ReferenceType	ReferenceID	
123987	ComNameRef	163039	
123987	ComNameRef	163039	
123803	ComNameRef	163039	
123985	ComNameRef	163043	
123985	ComNameRef	163043	
123985	ComNameRef	9269	
123985	ComNameRef	9269	
123813	ComNameRef	147411	
125161	ComNameRef	163039	
123974	ComNameRef	145894	
123776	ComNameRef	145895	
123776	ComNameRef	1116	
123974	ComNameRef	2901	
123985	ComNameRef	9269	
124160	ComNameRef	147411	
819448	ComNameRef	193312	
123908	ComNameRef	147411	
123878	ComNameRef	163039	
125167	ComNameRef	165516	
125166	ComNameRef	147412	
123920	ComNameRef	147411	
123776	ComNameRef	1116	
123776	ComNameRef	9269	
123915	ComNameRef	147411	
368636	ComNameRef	147411	
124085	ComNameRef	147411	
124147	ComNameRef	147411	
123989	ComNameRef	163039	
379749	ComNameRef	147411	
379849	ComNameRef	147411	
123825	ComNameRef	147411	
123813	ComNameRef	147411	
123908	ComNameRef	147411	
123989	ComNameRef	163039	
125161	ComNameRef	163039	
123973	ComNameRef	147411	
125158	ComNameRef	165516	
123856	ComNameRef	151643	
123851	ComNameRef	147411	
123974	ComNameRef	9269	
149895	ComNameRef	9269	
123856	ComNameRef	163039	
125170	ComNameRef	165516	
379564	ComNameRef	147411	
123867	ComNameRef	1116	
123915	ComNameRef	147411	
124154	ComNameRef	147411	
123795	ComNameRef	163039	
123971	ComNameRef	147411	
123970	ComNameRef	10085	
124154	ComNameRef	685	
381036	ComNameRef	151643	
379564	ComNameRef	147411	
123867	ComNameRef	1116	
124020	ComNameRef	147411	
124020	ComNameRef	147411	
123987	ComNameRef	163039	
123803	ComNameRef	163039	
124043	ComNameRef	147411	
123985	ComNameRef	614	
123985	ComNameRef	151643	
123878	ComNameRef	151643	
123867	ComNameRef	147411	
123985	ComNameRef	9269	
124154	ComNameRef	147411	
124154	ComNameRef	147411	
125161	ComNameRef	163039	
124101	ComNameRef	163039	
123920	ComNameRef	147411	
123673	ComNameRef	147411	
158500	ComNameRef	147411	
123974	ComNameRef	2901	
124160	ComNameRef	147411	
123987	ComNameRef	163039	
123856	ComNameRef	163039	
123803	ComNameRef	163039	
124042	ComNameRef	147411	
379749	ComNameRef	147411	
178639	ComNameRef	147411	
124101	ComNameRef	151643	
124160	ComNameRef	147411	
123813	ComNameRef	147411	
123795	ComNameRef	163039	
125166	ComNameRef	165516	
124154	ComNameRef	147412	
124160	ComNameRef	685	
123776	ComNameRef	123768	
379564	ComNameRef	147411	
123867	ComNameRef	1116	
124020	ComNameRef	147411	
123908	ComNameRef	147411	
123803	ComNameRef	163039	
124043	ComNameRef	147411	
123985	ComNameRef	163043	
368636	ComNameRef	147412	
241001	ComNameRef	42381	
123803	ComNameRef	147411	
123867	ComNameRef	147411	
123974	ComNameRef	9269	
124055	ComNameRef	147411	
124055	ComNameRef	147411	
125161	ComNameRef	163039	
123803	ComNameRef	163039	
123974	ComNameRef	147411	
125166	ComNameRef	614	
123985	ComNameRef	163043	
716927	ComNameRef	166078	
125154	ComNameRef	145895	
178639	ComNameRef	147411	
123987	ComNameRef	151643	
368636	ComNameRef	151643	
123867	ComNameRef	1116	
123867	ComNameRef	9269	
124101	ComNameRef	151643	
123776	ComNameRef	9269	
149895	ComNameRef	9269	
124160	ComNameRef	147411	
123989	ComNameRef	163039	
123776	ComNameRef	165516	
379749	ComNameRef	147411	
124043	ComNameRef	147412	
123803	ComNameRef	147411	
123867	ComNameRef	685	
123803	ComNameRef	151643	
123776	ComNameRef	1116	
124151	ComNameRef	147411	
123803	ComNameRef	163039	
124042	ComNameRef	147411	
124043	ComNameRef	147411	
123974	ComNameRef	2901	
379564	ComNameRef	147412	
124160	ComNameRef	147412	
123776	ComNameRef	61	
178639	ComNameRef	147411	
123803	ComNameRef	147411	
124101	ComNameRef	163039	
123776	ComNameRef	685	
123776	ComNameRef	755	
369167	ComNameRef	147411	
123920	ComNameRef	147411	
123985	ComNameRef	685	
123867	ComNameRef	147411	
123673	ComNameRef	147411	
124154	ComNameRef	147411	
123974	ComNameRef	2901	
123671	TaxAccRef	1368	
123694	TaxAccRef	1368	
123701	TaxAccRef	1368	
123730	TaxAccRef	1368	
123737	TaxAccRef	1368	
123771	TaxAccRef	1368	
123794	TaxAccRef	1368	
123805	TaxAccRef	5869	
123808	TaxAccRef	192633	
123826	TaxAccRef	88470	
123830	TaxAccRef	1368	
123835	TaxAccRef	1368	
123837	TaxAccRef	1368	
123867	TaxAccRef	64	
123871	TaxAccRef	1368	
123898	TaxAccRef	5869	
123928	TaxAccRef	1368	
123930	TaxAccRef	1368	
123932	TaxAccRef	5869	
123935	TaxAccRef	1368	
123937	TaxAccRef	1368	
123941	TaxAccRef	5869	
123964	TaxAccRef	1368	
123969	TaxAccRef	64	
123971	TaxAccRef	1368	
123973	TaxAccRef	9214	
123979	TaxAccRef	666	
123988	TaxAccRef	126110	
123994	TaxAccRef	1368	
124028	TaxAccRef	1368	
124030	TaxAccRef	1368	
124037	TaxAccRef	1368	
124041	TaxAccRef	124623	
124064	TaxAccRef	1368	
124071	TaxAccRef	1368	
124094	TaxAccRef	1368	
124103	TaxAccRef	64	
124128	TaxAccRef	1368	
124128	TaxAccRef	2930	
124130	TaxAccRef	1368	
124137	TaxAccRef	1368	
124141	TaxAccRef	5869	
124147	TaxAccRef	42	
124147	TaxAccRef	141249	
124154	TaxAccRef	2999	
124160	TaxAccRef	64	
124164	TaxAccRef	1368	
124167	TaxAccRef	64	
125164	TaxAccRef	1368	
125166	TaxAccRef	1368	
125168	TaxAccRef	5869	
125169	TaxAccRef	64	
125170	TaxAccRef	165516	
125200	TaxAccRef	1368	
125203	TaxAccRef	64	
125205	TaxAccRef	64	
125211	TaxAccRef	5869	
125234	TaxAccRef	5869	
125264	TaxAccRef	1368	
125266	TaxAccRef	1368	
149877	TaxAccRef	5869	
149896	TaxAccRef	64	
152511	TaxAccRef	64	
152513	TaxAccRef	64	
152513	TaxAccRef	138446	
158500	TaxAccRef	42	
172696	TaxAccRef	47404	
172698	TaxAccRef	4179	
172702	TaxAccRef	47480	
172732	TaxAccRef	4179	
172738	TaxAccRef	666	
172739	TaxAccRef	4179	
172741	TaxAccRef	4179	
172775	TaxAccRef	4179	
177948	TaxAccRef	5869	
177984	TaxAccRef	141249	
178021	TaxAccRef	5869	
178105	TaxAccRef	47416	
178110	TaxAccRef	47407	
178112	TaxAccRef	5869	
178121	TaxAccRef	5869	
178147	TaxAccRef	6324	
178148	TaxAccRef	5869	
178188	TaxAccRef	5916	
178191	TaxAccRef	5869	
178193	TaxAccRef	141249	
178200	TaxAccRef	6338	
178214	TaxAccRef	5869	
178255	TaxAccRef	5869	
178257	TaxAccRef	5869	
178548	TaxAccRef	5869	
178550	TaxAccRef	5869	
178555	TaxAccRef	5869	
178648	TaxAccRef	5869	
178650	TaxAccRef	5869	
178684	TaxAccRef	5869	
178709	TaxAccRef	6338	
178748	TaxAccRef	5869	
178750	TaxAccRef	5869	
178757	TaxAccRef	5869	
178784	TaxAccRef	5869	
178791	TaxAccRef	5869	
183106	TaxAccRef	6831	
211863	TaxAccRef	47410	
212313	TaxAccRef	47423	
212314	TaxAccRef	125339	
213114	TaxAccRef	47480	
213115	TaxAccRef	124640	
213127	TaxAccRef	71	
213130	TaxAccRef	9271	
213138	TaxAccRef	6275	
213177	TaxAccRef	5938	
213238	TaxAccRef	70	
213248	TaxAccRef	5916	
213273	TaxAccRef	47480	
213286	TaxAccRef	71	
213291	TaxAccRef	71	
213293	TaxAccRef	71	
213296	TaxAccRef	6338	
213302	TaxAccRef	6330	
213303	TaxAccRef	6338	
213326	TaxAccRef	6338	
216170	TaxAccRef	6338	
234883	TaxAccRef	10010	
234906	TaxAccRef	10010	
234914	TaxAccRef	129878	
234918	TaxAccRef	177370	
234920	TaxAccRef	177370	
234940	TaxAccRef	10010	
234942	TaxAccRef	10010	
234947	TaxAccRef	10010	
234949	TaxAccRef	10010	
234954	TaxAccRef	667	
234961	TaxAccRef	10011	
234967	TaxAccRef	125374	
234973	TaxAccRef	70	
234976	TaxAccRef	10010	
234983	TaxAccRef	10010	
235001	TaxAccRef	125374	
235006	TaxAccRef	10010	
235018	TaxAccRef	10011	
241342	TaxAccRef	42917	
242158	TaxAccRef	47422	
242161	TaxAccRef	43953	
247756	TaxAccRef	43056	
254818	TaxAccRef	43957	
254835	TaxAccRef	47467	
254848	TaxAccRef	132589	
254855	TaxAccRef	6504	
254892	TaxAccRef	177363	
254895	TaxAccRef	47414	
254955	TaxAccRef	124979	
255105	TaxAccRef	124658	
255126	TaxAccRef	47480	
291589	TaxAccRef	132589	
291611	TaxAccRef	47488	
291616	TaxAccRef	132589	
291623	TaxAccRef	132589	
291625	TaxAccRef	132589	
291636	TaxAccRef	47408	
291656	TaxAccRef	47439	
291689	TaxAccRef	132589	
292750	TaxAccRef	125300	
292766	TaxAccRef	124979	
292782	TaxAccRef	47409	
292913	TaxAccRef	125730	
345393	TaxAccRef	47430	
368114	TaxAccRef	47414	
368457	TaxAccRef	177371	
368507	TaxAccRef	47423	
368514	TaxAccRef	125325	
368535	TaxAccRef	47408	
368656	TaxAccRef	47409	
368791	TaxAccRef	47427	
368795	TaxAccRef	47410	
368796	TaxAccRef	166247	
368814	TaxAccRef	47408	
368818	TaxAccRef	47452	
368904	TaxAccRef	47471	
368974	TaxAccRef	125339	
368997	TaxAccRef	47413	
369138	TaxAccRef	124964	
370921	TaxAccRef	6296	
370946	TaxAccRef	47480	
377881	TaxAccRef	47430	
378009	TaxAccRef	47418	
378009	TaxAccRef	141249	
378012	TaxAccRef	47432	
378445	TaxAccRef	126090	
378634	TaxAccRef	47480	
378657	TaxAccRef	47480	
378739	TaxAccRef	47423	
378747	TaxAccRef	126090	
378796	TaxAccRef	124662	
378891	TaxAccRef	47413	
379627	TaxAccRef	47480	
380627	TaxAccRef	47471	
380670	TaxAccRef	47471	
380746	TaxAccRef	126109	
380834	TaxAccRef	47471	
380929	TaxAccRef	47471	
381020	TaxAccRef	47423	
381918	TaxAccRef	47420	
382042	TaxAccRef	6392	
123681	TaxAccRef	1368	
123684	TaxAccRef	1368	
123698	TaxAccRef	1368	
123731	TaxAccRef	1368	
123737	TaxAccRef	8	
123748	TaxAccRef	1368	
123749	TaxAccRef	1368	
123763	TaxAccRef	64	
123799	TaxAccRef	1368	
123803	TaxAccRef	9214	
123816	TaxAccRef	1368	
123828	TaxAccRef	71	
123834	TaxAccRef	1368	
123845	TaxAccRef	64	
123847	TaxAccRef	47480	
123848	TaxAccRef	47480	
123867	TaxAccRef	1368	
123867	TaxAccRef	9269	
123881	TaxAccRef	1368	
123884	TaxAccRef	1368	
123898	TaxAccRef	1368	
123912	TaxAccRef	64	
123915	TaxAccRef	125352	
123920	TaxAccRef	5869	
123931	TaxAccRef	1368	
123934	TaxAccRef	70	
123948	TaxAccRef	1368	
123949	TaxAccRef	1368	
123966	TaxAccRef	1368	
123970	TaxAccRef	9214	
123980	TaxAccRef	64	
123985	TaxAccRef	5869	
123999	TaxAccRef	1368	
124002	TaxAccRef	5869	
124016	TaxAccRef	1368	
124017	TaxAccRef	1368	
124034	TaxAccRef	1368	
124043	TaxAccRef	42	
124047	TaxAccRef	47480	
124053	TaxAccRef	5869	
124067	TaxAccRef	1368	
124082	TaxAccRef	47432	
124084	TaxAccRef	1368	
124085	TaxAccRef	1368	
