AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
178580	Uruguay	Text		
178803	Uruguay	Text		
172755	Uruguay	Text		
178634	Uruguay	Text		
177924	Uruguay	Text		
172787	Uruguay	Text		
178810	Uruguay	Text		
178799	Uruguay	Text		
178761	Uruguay	Text		
178110	Uruguay	Text		
178757	Uruguay	Text		
172748	Uruguay	Text		
178790	Uruguay	Text		
178730	Uruguay	Text		
172678	Uruguay	Text		
178251	Uruguay	Text		
178097	Uruguay	Text		
178085	Uruguay	Text		
177936	Uruguay	Text		
178548	Uruguay	Text		
177915	Uruguay	Text		
178549	Uruguay	Text		
178747	Uruguay	Text		
178647	Uruguay	Text		
172715	Uruguay	Text		
178253	Uruguay	Text		
178784	Uruguay	Text		
178786	Uruguay	Text		
177946	Uruguay	Text		
177952	Uruguay	Text		
172695	Uruguay	Text		
149872	Uruguay	Text		
178021	Uruguay	Text		
172778	Uruguay	Text		
178716	Uruguay	Text		
178561	Uruguay	Text		
178573	Uruguay	Text		
172765	Uruguay	Text		
172792	Uruguay	Text		
124002	Uruguay	Text		
213114	Mozambique	Text		
213114	Mozambique	Text		
207607	Mozambique	Text		
207607	Mozambique	Text		
207607	Mozambique	Text		
207607	Mozambique	Text		
207607	Mozambique	Text		
207607	Mozambique	Text		
207607	Mozambique	Text		
213309	Mozambique	Text		
213310	Mozambique	Text		
213310	Mozambique	Text		
213310	Mozambique	Text		
213309	Mozambique	Text		
213308	Mozambique	Text		
178188	Mozambique	Text		
178188	Mozambique	Text		
207610	Mozambique	Text		
207607	Mozambique	Text		
207610	Mozambique	Text		
207610	Mozambique	Text		
207610	Mozambique	Text		
207610	Mozambique	Text		
207610	Mozambique	Text		
213117	Mozambique	Text		
213117	Mozambique	Text		
213117	Mozambique	Text		
213117	Mozambique	Text		
213112	Mozambique	Text		
213112	Mozambique	Text		
213112	Mozambique	Text		
213112	Mozambique	Text		
213112	Mozambique	Text		
213137	Mozambique	Text		
212316	Mozambique	Text		
212316	Mozambique	Text		
212316	Mozambique	Text		
213124	Mozambique	Text		
213124	Mozambique	Text		
213126	Mozambique	Text		
213126	Mozambique	Text		
213126	Mozambique	Text		
213234	Mozambique	Text		
213234	Mozambique	Text		
213234	Mozambique	Text		
213234	Mozambique	Text		
213234	Mozambique	Text		
213234	Mozambique	Text		
213239	Mozambique	Text		
213247	Mozambique	Text		
213247	Mozambique	Text		
224135	Mozambique	Text		
224135	Mozambique	Text		
213247	Mozambique	Text		
213246	Mozambique	Text		
213245	Mozambique	Text		
213245	Mozambique	Text		
213245	Mozambique	Text		
224121	Mozambique	Text		
224121	Mozambique	Text		
213140	Mozambique	Text		
213140	Mozambique	Text		
213140	Mozambique	Text		
213237	Mozambique	Text		
213121	Mozambique	Text		
213121	Mozambique	Text		
213121	Mozambique	Text		
213121	Mozambique	Text		
213289	Mozambique	Text		
213289	Mozambique	Text		
212295	Mozambique	Text		
212295	Mozambique	Text		
212295	Mozambique	Text		
213296	Mozambique	Text		
213296	Mozambique	Text		
212295	Mozambique	Text		
212297	Mozambique	Text		
212295	Mozambique	Text		
212295	Mozambique	Text		
212295	Mozambique	Text		
213299	Mozambique	Text		
213317	Mozambique	Text		
213314	Mozambique	Text		
213286	Mozambique	Text		
213326	Mozambique	Text		
213286	Mozambique	Text		
213286	Mozambique	Text		
213286	Mozambique	Text		
213286	Mozambique	Text		
213286	Mozambique	Text		
213179	Mozambique	Text		
213311	Mozambique	Text		
123820	Morocco	Text		
124048	Morocco	Text		
123919	Morocco	Text		
123964	Morocco	Text		
124090	Morocco	Text		
125199	Morocco	Text		
124033	Morocco	Text		
123817	Morocco	Text		
178239	Mexico	Text		
178245	Mexico	Text		
178807	Mexico	Text		
178094	Mexico	Text		
178753	Mexico	Text		
178752	Mexico	Text		
