AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
380689	Animalia	Echinodermata	Asteroidea	Paxillosida		Porcellanasteridae	Abyssaster		diadematus	(Sladen, 1883)	accepted	Accepted name	0	marine		Mah, Christopher	2009-01-17 22:50:33	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=380689		urn:lsid:marinespecies.org:taxname:380689	
291681	Animalia	Echinodermata	Asteroidea	Valvatida		Oreasteridae	Acheronaster		tumidus	H.E.S. Clark, 1982	accepted	Accepted name	0	marine		Mah, Christopher	2008-01-21 09:09:52	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=291681		urn:lsid:marinespecies.org:taxname:291681	
172766	Animalia	Echinodermata	Asteroidea	Valvatida		Odontasteridae	Acodontaster		capitatus	(Koehler, 1912)	accepted	Accepted name	0	marine		Mah, Christopher	2008-10-25 01:33:30	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=172766		urn:lsid:marinespecies.org:taxname:172766	
172767	Animalia	Echinodermata	Asteroidea	Valvatida		Odontasteridae	Acodontaster		conspicuus	(Koehler, 1920)	accepted	Accepted name	0	marine		Mah, Christopher	2008-12-07 18:24:06	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=172767		urn:lsid:marinespecies.org:taxname:172767	
172769	Animalia	Echinodermata	Asteroidea	Valvatida		Odontasteridae	Acodontaster		elongatus	(Sladen, 1889)	accepted	Accepted name	0	marine		Danis, Bruno	2008-06-11 14:57:51	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=172769		urn:lsid:marinespecies.org:taxname:172769	
172768	Animalia	Echinodermata	Asteroidea	Valvatida		Odontasteridae	Acodontaster		hodgsoni	(Bell, 1908)	accepted	Accepted name	0	marine		Danis, Bruno	2008-06-11 14:57:51	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=172768		urn:lsid:marinespecies.org:taxname:172768	
172772	Animalia	Echinodermata	Asteroidea	Valvatida		Odontasteridae	Acodontaster		marginatus	(Koehler, 1912)	accepted	Accepted name	0	marine		Mah, Christopher	2008-12-07 18:24:06	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=172772		urn:lsid:marinespecies.org:taxname:172772	
370814	Animalia	Echinodermata	Asteroidea	Notomyotida		Benthopectinidae	Acontiaster		bandanus	Döderlein, 1921	accepted	Accepted name	0	marine		Mah, Christopher	2008-12-06 04:13:29	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=370814		urn:lsid:marinespecies.org:taxname:370814	
234862	Animalia	Echinodermata	Asteroidea	Forcipulatida		Asteriidae	Adelasterias		papillosa	(Koehler, 1906)	accepted	Accepted name	0	marine		Mah, Christopher	2008-12-26 06:08:28	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=234862		urn:lsid:marinespecies.org:taxname:234862	
382556	Animalia	Echinodermata	Asteroidea	Valvatida		Asterinidae	Ailsastra		achituvi	O'Loughlin & Rowe, 2005	accepted	Accepted name	0	marine		Mah, Christopher	2009-02-11 05:33:53	http://www.marinespecies.org/asteroidea/aphia.php?p=taxdetails&id=382556		urn:lsid:marinespecies.org:taxname:382556	
