AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
378163	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Chiltoniella		elongata	Knox & Fenwick, 1977	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378163		urn:lsid:marinespecies.org:taxname:378163	
384685	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Hampsonellus		brasiliensis	Hessler & Wakabara, 2000	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=384685		urn:lsid:marinespecies.org:taxname:384685	
378162	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Hutchinsoniella		macracantha	Sanders, 1955	accepted	Accepted name	0	marine		Boxshall, Geoff	2010-09-16 15:36:52	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378162		urn:lsid:marinespecies.org:taxname:378162	
378165	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Lightiella		floridana	McLaughlin, 1976	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378165		urn:lsid:marinespecies.org:taxname:378165	
378167	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Lightiella		incisa	Gooding, 1963	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378167		urn:lsid:marinespecies.org:taxname:378167	
345965	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Lightiella		magdalenina	Carcupino, Floris, Addis, Castelli & Curini-Galletti, 2006	accepted	Accepted name	0	marine		Boxshall, Geoff	2008-08-20 14:39:15	http://www.marinespecies.org/aphia.php?p=taxdetails&id=345965		urn:lsid:marinespecies.org:taxname:345965	
378166	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Lightiella		monniotae	Cals & Delamare Deboutteville, 1970	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378166		urn:lsid:marinespecies.org:taxname:378166	
378164	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Lightiella		serendipita	Jones, 1961	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378164		urn:lsid:marinespecies.org:taxname:378164	
378168	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Sandersiella		acuminata	Shiino, 1965	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378168		urn:lsid:marinespecies.org:taxname:378168	
378170	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Sandersiella		bathyalis	Hessler & Sanders, 1973	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378170		urn:lsid:marinespecies.org:taxname:378170	
378169	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Sandersiella		calmani	Hessler & Sanders, 1973	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378169		urn:lsid:marinespecies.org:taxname:378169	
378171	Animalia	Arthropoda	Cephalocarida	Brachypoda		Hutchinsoniellidae	Sandersiella		kikuchii	Shimomura & Akiyama, 2008	accepted	Accepted name	0	marine		Boxshall, Geoff	2009-03-10 11:57:44	http://www.marinespecies.org/aphia.php?p=taxdetails&id=378171		urn:lsid:marinespecies.org:taxname:378171	
