ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
442775	557878	Portunus	Achelous	angustus	Rathbun, 1898				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:442775	
451839	557879	Achelous		panamensis	Stimpson, 1871				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:451839	
451842	557879	Achelous		transversus	Stimpson, 1871				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:451842	
451968	557879	Amphitrite		paucispinis	Lockington, 1877				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:451968	
454128	557879	Neptunus		asper	A. Milne-Edwards, 1861				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:454128	
422043	557880	Portunus	Achelous	binoculus	Holthuis, 1969				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:422043	
442776	451836	Portunus	Achelous	brevimanus	(Faxon, 1895)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:442776	
451961	557881	Amphitrite		depressifrons	Stimpson, 1859				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:451961	
422044	557881	Portunus	Achelous	depressifrons	(Stimpson, 1859)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:422044	
422045	557882	Portunus	Achelous	floridanus	Rathbun, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:422045	
453814	557883	Lupa		gibbesii	Stimpson, 1859				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:453814	
442780	557884	Portunus	Achelous	guaymasensis	Garth & Stephenson, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:442780	
456177	456069	Achelous		spinimanus		smithii	Subspecies	Verrill, 1908	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:456177	
451852	211017	Actaea		acies	Rathbun, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:451852	
451856	211020	Actaea		banareias	Rathbun, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:451856	
452026	444343	Banareiopsis		australis	Ward, 1936				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:452026	
452965	241117	Epimelus		cessacii	A. Milne-Edwards, 1878				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:452965	
451761	456069	Lupa		banksii	Leach, 1816				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:451761	
