AcceptedTaxonID	CommonName	TransliteratedName	Country	Area	Language	ReferenceID	
421946	eroded vase crab				English	102812	
421959	stilt spider crab				English	102812	
107335	longnose spider crab				English	102812	
158426	portly spider crab				English	102812	
422007	seagrass spider crab				English	102812	
441624	shorthorn spiny crab				English	102812	
422118	cornered mud crab				English	102812	
422119	inflated mud crab				English	102812	
107442	gërthia ballëlëmuar e brigjeve				Albanian	151643	
107458	Algenfressende Krabbe				German		
107458	Gibbesi krab				Dutch	163039	
107441	Risso's crab				English	147411	
107458	nimble spray crab				English	163039	
107458	Sally Lightfooth crab				English	163039	
107458	sea urchin crab				English	163039	
207572	blue-eyed rock crab				English	102812	
207574	flat rock crab				English	102812	
441520	longhorn decorator crab				English	102812	
422005	shorthorn decorator crab				English	102812	
441698	sharpnose crab				English	102812	
440253	flat elbow crab				English	102812	
208814	giant mud crab				English	102812	
422066	spined broadface crab				English	102812	
210180	brown guard crab				English	102812	
210177	yellow-spotted guard crab				English	102812	
443881	common guard crab				English	102812	
210186	red-spotted guard crab				English	102812	
422128	longhand rubble crab				English	102812	
209103	broad-fronted crab				English	102812	
410815	Chace pea crab				English	102812	
410816	cristate pea crab				English	102812	
445018	Gore pea crab				English	102812	
107458	Sally-pied-léger				French		
207574	papa				Hawaiian	102812	
107442	лиловый краб				Russian	147411	
107442	фиолетовый краб				Russian	147411	
107442	фіолетовий краб				Ukrainian	147411	
107442	Краб пореса				Ukrainian	147411	
107442	Краб-водолюб				Ukrainian	147411	
107442	Ксанто пореса				Ukrainian	147411	
107268	gërthia shpinëkokërrizore				Albanian	151643	
107379	Blå svømmekrabbe				Danish	147411	
107379	Blaukrabbe				German		
107379	blaue Schwimmkrabbe				German		
107379	blauwe zwemkrab				Dutch	51	
107379	blauwe krab				Dutch	51	
107379	softshell crab				English	2901	
107379	hardshell crab				English	2901	
394860	blunt-tooth swimming crab				English		
158052	flame box crab				English	2901	
158053	shelligs				English	2901	
158055	lesser blue crab				English	2901	
107379	blue crab				English	2901	
107379	hardshell or softshell crab				English	2901	
107379	American blue crab				English	163040	
209414	globose shore crab				English	102812	
209498	giant box crab				English	102812	
209502	rough box crab				English	102812	
209501	smooth box crab				English	102812	
421918	ocellate box crab				English	102812	
394994	yellow box crab				English	102812	
440319	wingless box crab				English	102812	
421927	spurfinger purse crab				English	102812	
217308	thorny elbow crab				English	102812	
442766	arched swimming crab				English	102812	
442767	warrior swimming crab				English	102812	
394860	Bocourt swimming crab				English	102812	
107378	Dana swimming crab				English	102812	
422037	rugose swimming crab				English	102812	
422039	sharptooth swimming crab				English	102812	
208884	sentinel crab				English	102812	
211149	coral gall crab				English	102812	
107379	crabe bleu				French	51	
107268	Γουρούνα				Modern Greek (1453-)	147411	
107379	Γαλαζοκάβουρας 				Modern Greek (1453-)	147411	
209501	pokipoki				Hawaiian	102812	
107379	granchio reale				Italian		
107379	granchio blu				Italian		
107379	siri-azul				Portuguese		
107379	siri-tinga				Portuguese		
107379	jaiba				Spanish		
107379	cangrejo azul				Spanish		
158429	coral crab				English	2901	
209151	spotted rock crab				English	6005	
440316	shameface heart crab				English	102812	
441474	foliate kelp crab				English	102812	
442074	Hilo collector crab				English	102812	
210145	common decorator crab				English	102812	
421986	banded clinging crab				English	102812	
421987	nodose clinging crab				English	102812	
421988	red-ridged clinging crab				English	102812	
421990	green clinging crab				English	102812	
158429	coral clinging crab				English	102812	
454040	shaggy clinging crab				English	102812	
