AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
107450	Atlantic Europe	Text	exotic	
107379	Atlantic Europe	Text	exotic	
107451	Atlantic Europe	Text	exotic	
107451	Atlantic Europe	Text		
107454	Atlantic Europe	Text	exotic	
158417	Atlantic Europe	Text	exotic	
209083	Atlantic Europe	Text	exotic	
107462	Atlantic Europe	Text		
107414	Atlantic Europe	Text	exotic	
107414	Mediterranean Sea	Text	exotic	
107414	Mediterranean Sea	Text		
107411	Mediterranean Sea	Text	exotic	
107411	Mediterranean Sea	Text		
107411	Mediterranean Sea	Text		
241030	Mediterranean Sea	Text		
107406	Mediterranean Sea	Text	exotic	
107406	Mediterranean Sea	Text		
107407	Mediterranean Sea	Text	exotic	
107407	Mediterranean Sea	Text		
107407	Mediterranean Sea	Text		
107462	Mediterranean Sea	Text		
107462	Mediterranean Sea	Text		
107358	Mediterranean Sea	Text		
107462	Mediterranean Sea	Text		
107399	Mediterranean Sea	Text		
107400	Mediterranean Sea	Text		
107400	Mediterranean Sea	Text		
107400	Mediterranean Sea	Text		
107402	Mediterranean Sea	Text		
107402	Mediterranean Sea	Text		
107404	Mediterranean Sea	Text		
107404	Mediterranean Sea	Text		
107264	Mediterranean Sea	Text		
107264	Mediterranean Sea	Text		
107264	Mediterranean Sea	Text		
107264	Mediterranean Sea	Text		
107458	Mediterranean Sea	Text	exotic	
107458	Mediterranean Sea	Text		
107458	Mediterranean Sea	Text		
107416	Mediterranean Sea	Text	exotic	
107416	Mediterranean Sea	Text		
107418	Mediterranean Sea	Text		
107418	Mediterranean Sea	Text		
107418	Mediterranean Sea	Text		
107420	Mediterranean Sea	Text		
107420	Mediterranean Sea	Text		
107473	Mediterranean Sea	Text		
107473	Mediterranean Sea	Text		
107473	Mediterranean Sea	Text		
107278	Mediterranean Sea	Text		
107278	Mediterranean Sea	Text		
107278	Mediterranean Sea	Text		
107278	Mediterranean Sea	Text		
107353	Mediterranean Sea	Text		
107353	Mediterranean Sea	Text		
107357	Mediterranean Sea	Text		
107288	Mediterranean Sea	Text		
208908	Mediterranean Sea	Text	exotic	
208908	Mediterranean Sea	Text		
107351	Mediterranean Sea	Text	exotic	
107351	Mediterranean Sea	Text		
107429	Mediterranean Sea	Text		
107309	Mediterranean Sea	Text		
232892	Mediterranean Sea	Text	exotic	
232892	Mediterranean Sea	Text		
107398	Mediterranean Sea	Text		
107469	Mediterranean Sea	Text		
107446	Mediterranean Sea	Text	exotic	
107446	Mediterranean Sea	Text		
107464	Mediterranean Sea	Text		
107455	Mediterranean Sea	Text		
107455	Mediterranean Sea	Text		
107457	Mediterranean Sea	Text		
246181	Mediterranean Sea	Text		
107463	Mediterranean Sea	Text	exotic	
107463	Mediterranean Sea	Text		
107396	Mediterranean Sea	Text		
107397	Mediterranean Sea	Text		
107341	Mediterranean Sea	Text		
107341	Mediterranean Sea	Text		
107343	Mediterranean Sea	Text		
107345	Mediterranean Sea	Text		
107345	Mediterranean Sea	Text		
107345	Mediterranean Sea	Text		
107345	Mediterranean Sea	Text		
107349	Mediterranean Sea	Text		
107350	Mediterranean Sea	Text		
107350	Mediterranean Sea	Text		
107350	Mediterranean Sea	Text		
107350	Mediterranean Sea	Text		
107350	Mediterranean Sea	Text		
107350	Mediterranean Sea	Text		
107305	Mediterranean Sea	Text	exotic	
107305	Mediterranean Sea	Text		
107265	Mediterranean Sea	Text		
107335	Mediterranean Sea	Text	exotic	
107335	Mediterranean Sea	Text		
107386	Mediterranean Sea	Text		
107386	Mediterranean Sea	Text		
107387	Mediterranean Sea	Text		
107387	Mediterranean Sea	Text		
107390	Mediterranean Sea	Text		
107393	Mediterranean Sea	Text		
107393	Mediterranean Sea	Text		
158417	Mediterranean Sea	Text	exotic	
158417	Mediterranean Sea	Text		
241081	Mediterranean Sea	Text	exotic	
241081	Mediterranean Sea	Text		
232759	Mediterranean Sea	Text	exotic	
232759	Mediterranean Sea	Text		
107262	Mediterranean Sea	Text		
