ID	ReferenceType	ReferenceID	
107276	ComNameRef	51	
107473	ComNameRef	51	
181330	ComNameRef	685	
107387	ComNameRef	51	
107345	ComNameRef	51	
107451	ComNameRef	51	
107342	ComNameRef	151643	
107392	ComNameRef	147411	
107345	ComNameRef	147411	
107350	ComNameRef	147411	
107442	ComNameRef	151643	
107284	ComNameRef	2901	
158461	ComNameRef	2901	
107418	ComNameRef	1116	
442960	ComNameRef	147411	
459383	ComNameRef	147411	
107348	ComNameRef	147411	
107301	ComNameRef	51	
107301	ComNameRef	685	
107353	ComNameRef	51	
107278	ComNameRef	51	
107278	ComNameRef	685	
107441	ComNameRef	147411	
107315	ComNameRef	124438	
107315	ComNameRef	147411	
107451	ComNameRef	163040	
107414	ComNameRef	163040	
107458	ComNameRef	163039	
107374	ComNameRef	147411	
107276	ComNameRef	51	
107388	ComNameRef	51	
107398	ComNameRef	685	
154300	ComNameRef	141412	
107381	ComNameRef	123768	
107388	ComNameRef	51	
107388	ComNameRef	685	
107379	ComNameRef	51	
107379	ComNameRef	685	
107327	ComNameRef	51	
107418	ComNameRef	51	
107462	ComNameRef	51	
234117	ComNameRef	9810	
107379	ComNameRef	2901	
158429	ComNameRef	2901	
158454	ComNameRef	2901	
107394	ComNameRef	147411	
107258	ComNameRef	51	
107350	ComNameRef	51	
107273	ComNameRef	51	
459383	ComNameRef	147411	
444382	ComNameRef	147411	
107409	ComNameRef	147411	
107442	ComNameRef	147411	
107276	ComNameRef	51	
107414	ComNameRef	51	
107393	ComNameRef	51	
107451	ComNameRef	51	
234117	ComNameRef	9810	
107381	ComNameRef	147412	
107353	ComNameRef	151643	
459383	ComNameRef	147411	
158407	ComNameRef	2901	
158420	ComNameRef	2901	
107258	ComNameRef	51	
107273	ComNameRef	51	
107281	ComNameRef	51	
234117	ComNameRef	9810	
234117	ComNameRef	9810	
107451	ComNameRef	163040	
107414	ComNameRef	163040	
107458	ComNameRef	163039	
107277	ComNameRef	51	
107451	ComNameRef	51	
158053	ComNameRef	2901	
442955	ComNameRef	147411	
442960	ComNameRef	147411	
107381	ComNameRef	51	
107388	ComNameRef	51	
107398	ComNameRef	51	
107258	ComNameRef	51	
107258	ComNameRef	51	
107414	ComNameRef	51	
107414	ComNameRef	51	
107387	ComNameRef	147412	
107327	ComNameRef	151643	
150632	ComNameRef	9269	
107264	ComNameRef	147411	
158443	ComNameRef	2901	
158445	ComNameRef	2901	
107380	ComNameRef	147411	
107380	ComNameRef	147411	
107322	ComNameRef	1116	
107322	ComNameRef	51	
107322	ComNameRef	685	
442960	ComNameRef	147411	
107358	ComNameRef	147411	
107442	ComNameRef	147411	
107276	ComNameRef	124438	
107276	ComNameRef	124438	
107454	ComNameRef	163040	
389288	ComNameRef	163040	
107281	ComNameRef	51	
107473	ComNameRef	51	
107379	ComNameRef	147411	
107451	ComNameRef	147411	
107388	ComNameRef	123768	
107276	ComNameRef	51	
107387	ComNameRef	51	
107301	ComNameRef	51	
107418	ComNameRef	51	
107473	ComNameRef	51	
234117	ComNameRef	9810	
107323	ComNameRef	147411	
107451	ComNameRef	147412	
158431	ComNameRef	2901	
158453	ComNameRef	2901	
107462	ComNameRef	147411	
224583	ComNameRef	147411	
107349	ComNameRef	147411	
107323	ComNameRef	51	
234117	ComNameRef	9810	
107409	ComNameRef	147411	
107418	ComNameRef	147411	
107442	ComNameRef	147411	
158434	ComNameRef	124438	
389288	ComNameRef	163040	
181330	ComNameRef	614	
107346	ComNameRef	51	
107277	ComNameRef	51	
107451	ComNameRef	51	
107258	ComNameRef	685	
107258	ComNameRef	147411	
158051	ComNameRef	2901	
107451	ComNameRef	147411	
107381	ComNameRef	51	
107322	ComNameRef	51	
107322	ComNameRef	51	
107451	ComNameRef	51	
107323	ComNameRef	147411	
107380	ComNameRef	151643	
107258	ComNameRef	151643	
107387	ComNameRef	151643	
107347	ComNameRef	9269	
107381	ComNameRef	685	
107381	ComNameRef	1116	
107276	ComNameRef	1116	
107462	ComNameRef	5948	
107379	ComNameRef	2901	
107333	ComNameRef	51	
107345	ComNameRef	51	
107345	ComNameRef	9269	
107322	ComNameRef	51	
107323	ComNameRef	51	
107323	ComNameRef	685	
107302	ComNameRef	147411	
107455	ComNameRef	147411	
107455	ComNameRef	147411	
107454	ComNameRef	163040	
107387	ComNameRef	614	
107303	ComNameRef	163039	
107277	ComNameRef	51	
107381	ComNameRef	51	
107388	ComNameRef	51	
107276	ComNameRef	147411	
158052	ComNameRef	2901	
107400	ComNameRef	51	
107400	ComNameRef	685	
107400	ComNameRef	51	
234117	ComNameRef	9810	
107455	ComNameRef	151643	
107380	ComNameRef	147411	
107380	ComNameRef	147411	
107277	ComNameRef	51	
107277	ComNameRef	685	
107277	ComNameRef	51	
442960	ComNameRef	147411	
107398	ComNameRef	147411	
158417	ComNameRef	163040	
158417	ComNameRef	163040	
107258	ComNameRef	163039	
107277	ComNameRef	51	
107281	ComNameRef	51	
107473	ComNameRef	51	
107322	ComNameRef	147411	
158046	ComNameRef	2901	
107451	ComNameRef	147411	
107276	ComNameRef	51	
107381	ComNameRef	51	
107409	ComNameRef	151643	
107276	ComNameRef	9269	
107278	ComNameRef	51	
107292	ComNameRef	147411	
107276	ComNameRef	147411	
107454	ComNameRef	163040	
389288	ComNameRef	163040	
389288	ComNameRef	163040	
107303	ComNameRef	163039	
107277	ComNameRef	51	
107388	ComNameRef	51	
107388	ComNameRef	51	
107451	ComNameRef	51	
107277	ComNameRef	147411	
107323	ComNameRef	147411	
158055	ComNameRef	2901	
107400	ComNameRef	51	
107414	ComNameRef	147411	
107473	ComNameRef	147411	
107322	ComNameRef	1116	
107344	ComNameRef	51	
107350	ComNameRef	51	
107350	ComNameRef	51	
107381	ComNameRef	147411	
107258	ComNameRef	147411	
158417	ComNameRef	163040	
107258	ComNameRef	163039	
107258	ComNameRef	163039	
107276	ComNameRef	51	
107473	ComNameRef	51	
107358	ComNameRef	685	
107451	ComNameRef	147411	
107388	ComNameRef	147411	
107345	ComNameRef	147411	
107393	ComNameRef	51	
107313	ComNameRef	51	
107313	ComNameRef	685	
107462	ComNameRef	51	
234117	ComNameRef	9810	
107345	ComNameRef	147412	
107345	ComNameRef	685	
107345	ComNameRef	755	
107393	ComNameRef	147411	
158422	ComNameRef	2901	
107360	ComNameRef	2901	
107473	ComNameRef	1116	
107379	ComNameRef	2901	
107379	ComNameRef	147411	
107294	ComNameRef	51	
107294	ComNameRef	685	
107318	ComNameRef	51	
107281	ComNameRef	51	
107281	ComNameRef	685	
234117	ComNameRef	9810	
442950	ComNameRef	147411	
107392	ComNameRef	147411	
150633	ComNameRef	755	
107458	ComNameRef	163039	
107277	ComNameRef	147411	
107402	ComNameRef	147411	
107379	ComNameRef	163040	
107414	ComNameRef	163040	
107381	ComNameRef	2901	
107302	ComNameRef	147411	
107277	ComNameRef	51	
107398	ComNameRef	51	
107398	ComNameRef	51	
107294	ComNameRef	51	
107414	ComNameRef	51	
107414	ComNameRef	51	
107322	ComNameRef	147411	
107303	ComNameRef	151643	
107281	ComNameRef	9234	
158449	ComNameRef	2901	
107388	ComNameRef	1116	
107398	ComNameRef	1116	
107346	ComNameRef	51	
107346	ComNameRef	685	
107346	ComNameRef	51	
107397	ComNameRef	10085	
442960	ComNameRef	147411	
395036	ComNameRef	42	
107418	ComNameRef	61	
107442	ComNameRef	147411	
107442	ComNameRef	147411	
158057	ComNameRef	124438	
422070	ComNameRef	124438	
107303	ComNameRef	163039	
107400	ComNameRef	51	
107379	ComNameRef	51	
107381	ComNameRef	147411	
442960	ComNameRef	147411	
107390	ComNameRef	51	
107390	ComNameRef	685	
107302	ComNameRef	51	
107473	ComNameRef	51	
107473	ComNameRef	9269	
234117	ComNameRef	9810	
107388	ComNameRef	123768	
158435	ComNameRef	2901	
107462	ComNameRef	2901	
107350	ComNameRef	51	
107277	ComNameRef	51	
442955	ComNameRef	147411	
107281	ComNameRef	147411	
107404	ComNameRef	126034	
107387	ComNameRef	147411	
107350	ComNameRef	147411	
107409	ComNameRef	147411	
107418	ComNameRef	147411	
246301	ComNameRef	124438	
107350	ComNameRef	140199	
107322	ComNameRef	51	
107276	ComNameRef	51	
107381	ComNameRef	51	
107398	ComNameRef	51	
107302	ComNameRef	147411	
158049	ComNameRef	2901	
107455	ComNameRef	151643	
107381	ComNameRef	51	
107338	ComNameRef	51	
107338	ComNameRef	685	
107414	ComNameRef	147412	
107268	ComNameRef	151643	
107350	ComNameRef	151643	
107313	ComNameRef	9269	
158463	ComNameRef	2901	
107381	ComNameRef	1116	
107276	ComNameRef	147411	
107414	ComNameRef	147411	
107380	ComNameRef	147411	
107392	ComNameRef	147411	
107327	ComNameRef	51	
107350	ComNameRef	51	
107277	ComNameRef	51	
107281	ComNameRef	147411	
107404	ComNameRef	147411	
107454	ComNameRef	163040	
107303	ComNameRef	163039	
459383	ComNameRef	147411	
107451	ComNameRef	51	
107393	ComNameRef	51	
107393	ComNameRef	685	
107390	ComNameRef	51	
107379	ComNameRef	51	
107379	ComNameRef	9269	
107333	ComNameRef	51	
107333	ComNameRef	685	
107322	ComNameRef	51	
107418	ComNameRef	51	
107418	ComNameRef	685	
107473	ComNameRef	51	
107473	ComNameRef	685	
107323	ComNameRef	147411	
107380	ComNameRef	151643	
107288	ComNameRef	151643	
107322	ComNameRef	755	
158455	ComNameRef	2901	
107345	ComNameRef	1116	
107276	ComNameRef	1116	
107313	ComNameRef	51	
107322	ComNameRef	51	
107353	ComNameRef	51	
107381	ComNameRef	5919	
395016	ComNameRef	42	
107381	ComNameRef	147411	
107373	ComNameRef	147411	
107464	ComNameRef	147411	
107455	ComNameRef	147411	
107442	ComNameRef	147411	
107276	ComNameRef	51	
107473	ComNameRef	51	
107350	ComNameRef	685	
107327	ComNameRef	685	
107387	ComNameRef	147411	
107387	ComNameRef	51	
107387	ComNameRef	685	
107345	ComNameRef	51	
107341	ComNameRef	51	
107341	ComNameRef	685	
107462	ComNameRef	51	
107392	ComNameRef	147411	
107393	ComNameRef	147411	
107345	ComNameRef	147411	
107473	ComNameRef	147411	
442960	ComNameRef	147411	
158458	ComNameRef	2901	
158462	ComNameRef	2901	
442960	ComNameRef	147411	
209151	ComNameRef	6005	
107268	ComNameRef	147411	
107386	ComNameRef	147411	
107302	ComNameRef	51	
107302	ComNameRef	685	
107327	ComNameRef	51	
107318	ComNameRef	51	
107318	ComNameRef	685	
107353	ComNameRef	51	
107353	ComNameRef	685	
107386	ComNameRef	147411	
107315	ComNameRef	124438	
107264	ComNameRef	147411	
107400	ComNameRef	147411	
107458	ComNameRef	163039	
158044	ComNameRef	2901	
107451	ComNameRef	147411	
107276	ComNameRef	51	
107400	ComNameRef	51	
107388	ComNameRef	51	
107276	ComNameRef	51	
107276	ComNameRef	685	
107381	ComNameRef	51	
234117	ComNameRef	9810	
107409	ComNameRef	151643	
107400	ComNameRef	123768	
107379	ComNameRef	2901	
154304	ComNameRef	9269	
158425	ComNameRef	2901	
107350	ComNameRef	51	
107273	ComNameRef	51	
107273	ComNameRef	685	
107276	ComNameRef	147411	
107409	ComNameRef	147411	
107397	ComNameRef	147411	
107315	ComNameRef	147411	
107418	ComNameRef	147411	
107454	ComNameRef	163040	
389288	ComNameRef	163040	
107273	TaxAccRef	40146	
107276	TaxAccRef	1392	
107277	TaxAccRef	9269	
107285	TaxAccRef	1392	
107290	TaxAccRef	5987	
107302	TaxAccRef	9269	
107310	TaxAccRef	1392	
107315	TaxAccRef	1392	
107319	TaxAccRef	1154	
107319	TaxAccRef	1392	
107335	TaxAccRef	3072	
107338	TaxAccRef	163789	
107340	TaxAccRef	1392	
107341	TaxAccRef	9269	
107344	TaxAccRef	1392	
107346	TaxAccRef	51	
107349	TaxAccRef	1392	
107374	TaxAccRef	1392	
107380	TaxAccRef	51	
107383	TaxAccRef	1392	
107394	TaxAccRef	52	
107398	TaxAccRef	671	
107400	TaxAccRef	9269	
107404	TaxAccRef	132613	
107408	TaxAccRef	1	
107408	TaxAccRef	1392	
107412	TaxAccRef	1154	
