ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
408293	111202	Cauloramphus		spinifer	(Johnston, 1832)				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:408293	
111205	221530	Copidozoum		macilenta	(Jullien, 1882)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111205	
240925	471570	Caulibugula		zanzibarensis	Waters, 1913				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:240925	
396724	396723	Hippothoa		aruensis	Morris, 1980				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396724	
153781	111120	Palmicellaria		skenei	(Ellis & Solander, 1786)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:153781	
467076	722982	Terminocella		perlucens	(Harmer, 1957)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:467076	
472376	111433	Leieschara		coarctata	(M.Sars, 1863)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472376	
111434	470125	Myriapora		subgracile	(d'Orbigny, 1852)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111434	
160500	111433	Myriozoum		coarctatum	(M. Sars, 1863)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:160500	
472604	472494	Urceolipora		redieri	d'Hondt, 1975				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472604	
469539	580927	Cellepora		dubia	Uttley & Bullivant, 1972				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469539	
159832	465715	Escharella		thompsoni	(Kluge, 1955)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:159832	
408264	408260	Mucronella		perforata	Okada & Mawatari, 1937				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:408264	
160504	111550	Prenantia		bella	(Busk, 1860)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:160504	
472623	471609	Reteporella		axillaris	(Ortmann, 1890)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472623	
470182	573242	Reteporella		fistula	(Powell, 1967)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:470182	
159891	465723	Smittina		groelandica	(Norman, 1894)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:159891	
469935	710931	Buchneria		sinuata	Harmer, 1957				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469935	
159856	111572	Hippodiplosia		propinqua	(Smitt, 1868)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:159856	
157983	111572	Hippoporina		propinqua					unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:157983	
471030	722997	Porelloides		glabra	Gordon, 1984				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:471030	
466943	466942	Striatodoma		dorothea	Winston & Beaulieu, 1999				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:466943	
111603	468026	Alcyonidium		mytili	Dalyell, 1848				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111603	
254495	472853	Alcyonidium		vermiculare	Okada, 1925				alternate representation	Unaccepted name	urn:lsid:marinespecies.org:taxname:254495	
146772	111600	Alcyonidium		reticulum	Ryland & Porter, 2000				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:146772	
159815	111343	Cribrilina		pallasiana	Moll, 1803				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:159815	
156306	156442	Pachyegis		producta	(Packard, 1863)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:156306	
111552	221566	Smittina		cheilostoma	(Manzoni, 1870)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111552	
111555	221567	Smittina		inerma	(Calvet, 1906)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111555	
423448	607842	Hippoporina		ussowi	(Kluge, 1908)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:423448	
472393	472023	Pacifincola		insculpta	(Hincks, 1883)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472393	
470581	573241	Smittoidea		transporifera	Powell, 1967				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:470581	
111749	472538	Stegohornera		arctica	(Kluge, 1946)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111749	
111750	472537	Stegohornera		violacea	(M. Sars, 1863)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111750	
111575	607838	Stomachetosella		cruenta	(Busk, 1854)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111575	
156439	607839	Stomachetosella		hincksi	Powell, 1968				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:156439	
111577	607840	Stomachetosella		sinuosa	(Busk, 1860)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111577	
422249	580100	Electra		bellula	(Hincks, 1881)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:422249	
472688	589635	Electra		bellula		ramosa	Subspecies	Osburn, 1940	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472688	
394920	580104	Electra		bengalensis	(Stoliczka, 1869)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:394920	
156491	111479	Umbonula		arctica	(M. Sars, 1851)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:156491	
469188	469189	Bicellariella		capensis	(O'Donoghue, 1924)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469188	
472636	111683	Stomatopora		johnstoni	(Heller, 1867)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472636	
396710	396709	Acanthodesia		grandicella	Canu & Bassler, 1929				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396710	
396715	396712	Acanthodesia		savartii	(Audouin, 1826)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396715	
472774	589628	Acanthodesia		savartii		cetrata	Subspecies	(Harmer, 1926)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472774	
146488	111220	Amphiblestrum		minax					unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:146488	
396713	396712	Flustra		savartii	Audouin, 1826				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396713	
111410	240920	Membranipora		arborescens	(Canu & Bassler, 1928)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111410	
396711	396709	Membranipora		grandicella	(Canu & Bassler, 1929)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396711	
396714	396712	Membranipora		savartii	(Audouin, 1826)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396714	
111586	146830	Umbonula		littoralis	Hastings, 1944				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111586	
469770	580098	Electra		biscuta	Osburn, 1950				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469770	
469955	719710	Membranipora		gorensis	Uttley, 1951				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469955	
469101	536042	Hippoporina		cincta	(Hincks, 1885)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469101	
153833	111411	Flustra		teleacea	[sic]				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:153833	
472401	594525	Parmularia		arnoldi	Chimonides & Cook, 1993				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472401	
472399	594527	Parmularia		cylindrica	Canu & Bassler, 1929				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472399	
472404	594528	Parmularia		depressa	Canu & Bassler, 1929				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472404	
472402	594529	Parmularia		elongata	Canu & Bassler, 1929				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472402	
472397	594530	Parmularia		integer	Livingstone, 1924				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472397	
472396	594531	Parmularia		macneilli	Livingstone, 1924				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472396	
472395	594523	Parmularia		obliqua	(MacGillivray, 1869)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472395	
472400	594532	Parmularia		occidenta	Chimonides & Cook, 1993				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472400	
472398	594533	Parmularia		quadlingi	(Haswell, 1881)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472398	
472403	594526	Parmularia		smeatoni	(MacGillivray, 1890)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472403	
469102	573184	Hippoporina		powelli	Gordon, 1989				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469102	
471803	596743	Schedocleidochasma		porcellaniforme	Soule, Soule & Chaney, 1991				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:471803	
471802	596744	Schedocleidochasma		porcellanum	(Busk, 1860)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:471802	
174263	174280	Adelascopora		jeqolqa	Moyano, 1989				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:174263	
395423	174280	Pseudoadelascopora		weddellae	Gontar, 2002				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:395423	
159740	111066	Aetea		recta					unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:159740	
153803	111362	Flustra		carbasea	Ellis & Solander, 1786				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:153803	
159865	465720	Lichenopora		clypeiformis	(d'Orbigny, 1839)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:159865	
470875	111729	Lichenopora		harmeri	Neviani, 1939				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:470875	
153724	111730	Lichenopora		hispida	(Fleming)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:153724	
210810	467431	Membraniporella		aragoi					unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:210810	
111736	146839	Lichenopora		aztiensis	Alvarez, 1994				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111736	
111737	146840	Lichenopora		distincta	Alvarez, 1993				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111737	
111738	146841	Lichenopora		flosculus	(Hincks, 1862)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111738	
111739	146842	Lichenopora		mediterranea	de Blainville, 1834				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111739	
