ReferenceID	Authors	Year	Title	Details	
171539	Ernst, A.; Bohat��, J.	2009	Schischcatella (Fenestrata, Bryozoa) from the Devonian of the Rhenish Massif, Germany	Palaeontology. 52(6), 1291-1310	
64	Hansson, H.	2004	North East Atlantic Taxa (NEAT): Nematoda		
164998	Vieira, L. M.; Spencer Jones, M. E.	2012	The identity of <em>Sertularia </em><em>reptans</em> Linnaeus, 1758 (Bryozoa, Candidae)	Zootaxa. (3563): 26-42	
614	Hayward, P.J.; Nelson-Smith, A.; Shields, C.	1996	Collins pocket guide: sea shore of Britain and Europe. <i>Collins pocket guides</i>. Harper-Collins Publishers: London, UK. ISBN 0-00-219955-6. 352 pp.		
1260	Davoult, D.; Dewarumez, J.-M.; Luczak, C.; Migné, A.	1999	Nouvelles signalisations d'espèces benthiques sur les côtes françaises de la Manche orientale et de la Mer du Nord [New reports of benthic species from the french coasts of the eastern English Channel and the North Sea]. <i>Cah. Biol. Mar. 40(2)</i>: 121-127		
1309	Westendorp, G.D.	1843	Recherches sur les Polypiers flexibles de la Belgique, et particulièrement des environs d'Ostende. <i>Annales de la Société Médico-Chirurgicale de Bruges IV</i>: 5-48, 1 plate		
1224	Prenant, M.	1931	Sur une collection de bryozoaires de la Mer du Nord appartenant au Musée Royal d'Histoire Naturelle de Belgique [On a collection of bryozoans of the North Sea belonging to the Musée Royal D'Histoire Naturelle de Belgique]. <i>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg. 7(17)</i>: 1-6		
221080	Reverter-Gil, O.; Souto, J.	2015	Redescription of some species of Bryozoa described by J. Jullien and L. Calvet in the NE Atlantic	European Journal of Taxonomy. (157): 1-17	
163777	Bobin, G. & Prenant, M.	1965	Callopora rylandi n. sp. (Bryozoaires chilostomes, Alderinidae). Cah. Biol. mar. 6: 277-291, 7 figs. [English summary]		
163040	Dewarumez, J.-M.; Gévaert, F.; Massé, C.; Foveau, A.; Desroy, N.; Grulois, D.	2011	Les espèces marines animales et végétales introduites dans le bassin Artois-Picardie . UMR CNRS 8187 LOG/Agence de l’Eau Artois-Picardie: Douai. 138 pp.		
163039			Club d'immersió Facultat de Biologia, Universitat de Barcelona		
176587	Vieiraeandro, L. M.; Spencerones, J.; Mary, E.; Winstonudith, J. E.; Migottolvaro, A. E.; Marquesntonio, A. C.	2014	Evidence for Polyphyly of the Genus <i>Scrupocellaria</i> (Bryozoa: Candidae) Based on a Phylogenetic Analysis of Morphological Characters	PLOS ONE. 9(4): 95296	
176800	Gordon, D. P.	2014	Apprehending novel biodiversity—fifteen new genera of Zealandian Bryozoa	Journal of the Marine Biological Association of the United Kingdom. 1-32	
