ReferenceID	Authors	Year	Title	Details	
1681	Porter, J.S.	2004	Morphological and genetic characteristics of erect subtidal species of <i>Alcyonidium</i> (Ctenostomata: Bryozoa). <i>J. Mar. Biol. Ass. U.K. 84(1)</i>: 243-252		
163275	Cipolla, F.	1921	I Briozoi Pliocenici di Altavilla presso Palermo. Palermo 185		
21378	Hayward P.J.	1995	Antarctic cheilostomatous Bryozoa. Oxford University Press,, 355 pp.		
132009	de Ruijter, R.	2005	. CS-verslag. Het Zeepaard 65(6): 177-181.		
141635	Tilbrook, K. J.	2006	Cheilostomatous Bryozoa from the Solomon Islands. Santa Barbara Museum of Natural History Monographs 4		
167214	Grischenkondrei, A. V.	2013	First record of a bathyal bryozoan fauna from the Sea of Japan		
6831			BIOCEAN		
132072	Hayward, P. J.	1976	The marine fauna and flora of the Isles of Scilly: Bryozoa II		
7023	Tilbrook, K. J.	2000	First record of the bryozoan genus Stylopoma from the Mediterranean Sea		
7000	Gautier, Y.-V.,	1962	Recherches écologiques sur les Bryozoaires Chilostomes en Méditerranée occidentale. Travaux de la Station Marine d'Endoume, 38 (25): 1-434.		
166713	Dumont, J. P. C.	1981	A report on the cheilostome Bryozoa of the Sudanese Red Sea		
193068	Almeida, A. C.; Souza, F. B.; Menegola, C. M.; Sanner, J.; Vieira, L. M.	2014	Taxonomic review of the family Colatooeciidae Winston, 2005 (Bryozoa, heilostomata), with description of seven new species		
128877	Liu, Liu & Sun.	2003	Seven new species of genus Microporella and Fenestrulina collected from the cultured shell and their floating cages in Chinese waters. Studia Marina Sinica 45: 202-222		
1206			Faasse, Marko		
129521	Tilbrook, K.J.; Grischenko, A.V.	2004	New sub-Arctic species of the tropical genus <i>Antropora</i> (Bryozoa: Cheilostomata): a gastropod-pagurid crab associate J. Mar. Biol. Ass. U.K. 84(3): 1001-1004.		
7008	Hondt J.-L. d’	1997	Apports de Lamarck dans la connaissance des Bryozoaires. In Jean-Baptiste Lamarck (1744-1829). G. Laurent (ed.). Paris: Comité des Travaux Historiques et Scientifiques.		
131986	d'Udekem d'Acoz, C.	1991	Quelques données sur Anguinella palmata van Beneden,  1845 et sa faune associée en Belgique (Bryozoa, Ctenostoma: Nolellidae). De Strandvlo 11(2): 57.		
131210	Soule, Chaney & Morris.	2003	New taxa of Microporellidae in the eastern Pacific Ocean. Irene McCulloch Foundation Monograph Series 6: 29-30		
645	De Blauwe, H.; Faasse, M.	2001	Extension of the range of the Bryozoans <i>Tricellaria inopinata</i> and <i>Bugula simplex</i> in the north-east Atlantic ocean (Bryozoa: Cheilostomatida). <i>Ned. Faunist. Meded. 14</i>: 103-112		
