ID	ReferenceType	ReferenceID	
111659	ComNameRef	130048	
111159	ComNameRef	130048	
111166	ComNameRef	9269	
111268	ComNameRef	9269	
111411	ComNameRef	130048	
111147	ComNameRef	130048	
111159	ComNameRef	9269	
111355	ComNameRef	1116	
111355	ComNameRef	9269	
111361	ComNameRef	130048	
111367	ComNameRef	10085	
111453	ComNameRef	163039	
111538	ComNameRef	163040	
111600	ComNameRef	685	
111600	ComNameRef	1116	
111603	ComNameRef	130048	
111690	ComNameRef	9269	
111353	ComNameRef	685	
111250	ComNameRef	1116	
111374	ComNameRef	685	
111597	ComNameRef	10085	
111351	ComNameRef	10085	
111351	ComNameRef	1116	
111355	ComNameRef	147411	
111652	ComNameRef	130048	
111367	ComNameRef	123768	
111367	ComNameRef	9269	
111435	ComNameRef	163039	
111586	ComNameRef	10085	
111159	ComNameRef	1116	
111353	ComNameRef	147411	
111361	ComNameRef	147412	
111411	ComNameRef	9269	
111082	ComNameRef	163039	
111719	ComNameRef	130048	
111600	ComNameRef	147411	
111604	ComNameRef	147411	
111147	ComNameRef	1116	
111166	ComNameRef	10085	
111355	ComNameRef	147411	
111367	ComNameRef	123768	
472353	ComNameRef	147411	
111435	ComNameRef	163039	
111435	ComNameRef	163039	
111082	ComNameRef	614	
111676	ComNameRef	130048	
111604	ComNameRef	685	
111164	ComNameRef	163040	
111268	ComNameRef	130048	
111365	ComNameRef	9269	
111351	ComNameRef	130048	
111355	ComNameRef	1116	
111621	ComNameRef	147412	
111453	ComNameRef	163043	
111250	ComNameRef	130048	
111374	ComNameRef	130048	
111667	ComNameRef	147411	
111159	ComNameRef	1116	
111367	ComNameRef	685	
111367	ComNameRef	755	
111411	ComNameRef	9269	
111411	ComNameRef	147412	
111760	ComNameRef	130048	
111669	ComNameRef	755	
111062	ComNameRef	614	
111159	ComNameRef	1116	
111268	ComNameRef	9269	
111706	ComNameRef	130048	
111367	ComNameRef	147411	
111435	ComNameRef	163039	
111453	ComNameRef	163039	
111600	ComNameRef	147412	
111604	ComNameRef	130048	
111158	ComNameRef	1071	
111158	ComNameRef	1206	
111162	ComNameRef	1071	
111162	ComNameRef	1206	
111365	ComNameRef	130048	
111353	ComNameRef	130048	
111367	ComNameRef	147412	
111453	ComNameRef	163043	
111453	ComNameRef	163039	
111592	ComNameRef	163040	
111600	ComNameRef	1116	
111604	ComNameRef	147412	
111353	ComNameRef	147412	
111411	ComNameRef	614	
111082	ComNameRef	10085	
111453	ComNameRef	163043	
111538	ComNameRef	163040	
111540	ComNameRef	130048	
111247	ComNameRef	130048	
111293	ComNameRef	147411	
111673	ComNameRef	10085	
111055	ComNameRef	163039	
111600	ComNameRef	1116	
111355	ComNameRef	147411	
111355	ComNameRef	147411	
111669	ComNameRef	130048	
111669	ComNameRef	147412	
111673	ComNameRef	147411	
111601	ComNameRef	147411	
111158	ComNameRef	163040	
111164	ComNameRef	1071	
111164	ComNameRef	1206	
111355	ComNameRef	1116	
111411	ComNameRef	685	
111411	ComNameRef	1116	
111435	ComNameRef	163039	
111435	ComNameRef	614	
111453	ComNameRef	163043	
111250	ComNameRef	147411	
111601	ComNameRef	685	
111631	ComNameRef	130048	
111147	ComNameRef	147411	
111355	ComNameRef	130048	
111367	ComNameRef	130048	
111367	ComNameRef	147411	
153730	ComNameRef	130048	
111597	ComNameRef	139287	
111597	ComNameRef	147412	
111597	ComNameRef	130048	
111600	ComNameRef	1116	
111353	ComNameRef	147411	
111411	ComNameRef	147411	
111453	ComNameRef	163043	
111453	ComNameRef	163043	
111250	ComNameRef	1116	
111250	ComNameRef	1116	
111254	ComNameRef	163040	
111159	ComNameRef	147411	
111159	ComNameRef	1116	
111696	ComNameRef	130048	
111355	ComNameRef	685	
111355	ComNameRef	755	
111367	ComNameRef	9269	
111621	ComNameRef	147411	
111435	ComNameRef	163039	
471681	TaxAccRef	152417	
470002	TaxAccRef	132574	
469762	TaxAccRef	152417	
174313	TaxAccRef	1225	
468363	TaxAccRef	132574	
723636	TaxAccRef	167088	
469558	TaxAccRef	152417	
210808	TaxAccRef	145893	
174289	TaxAccRef	4179	
468282	TaxAccRef	172596	
472902	TaxAccRef	152417	
111741	NomRef	131975	
174174	TaxAccRef	4179	
422325	TaxAccRef	1225	
469294	TaxAccRef	152417	
221579	TaxAccRef	7005	
111342	TaxAccRef	1369	
467027	TaxAccRef	132574	
470989	TaxAccRef	132574	
471188	TaxAccRef	132574	
111656	TaxAccRef	141272	
111696	TaxAccRef	131975	
111212	NomRef	1369	
469530	TaxAccRef	131964	
469516	TaxAccRef	132574	
111461	TaxAccRef	1369	
111597	TaxAccRef	165516	
472324	TaxAccRef	132574	
111511	TaxAccRef	1369	
868516	TaxAccRef	222238	
111706	TaxAccRef	1	
173394	TaxAccRef	1225	
111600	TaxAccRef	131967	
472274	TaxAccRef	132574	
216075	TaxAccRef	5987	
111669	TaxAccRef	131973	
472302	TaxAccRef	152417	
428669	TaxAccRef	133468	
173488	TaxAccRef	4179	
470463	TaxAccRef	152417	
153734	TaxAccRef	131967	
111480	TaxAccRef	2930	
111255	TaxAccRef	2964	
469208	TaxAccRef	152417	
111328	TaxAccRef	1369	
111060	TaxAccRef	1369	
422280	TaxAccRef	152417	
469076	TaxAccRef	152417	
111230	TaxAccRef	2930	
111375	TaxAccRef	1369	
