ID	ReferenceType	ReferenceID	
111659	ComNameRef	130048	
111159	ComNameRef	130048	
111166	ComNameRef	9269	
111268	ComNameRef	9269	
111411	ComNameRef	130048	
111597	ComNameRef	10085	
111351	ComNameRef	10085	
111351	ComNameRef	1116	
111355	ComNameRef	147411	
111652	ComNameRef	130048	
111367	ComNameRef	9269	
111367	ComNameRef	123768	
111435	ComNameRef	163039	
111586	ComNameRef	10085	
111600	ComNameRef	685	
111600	ComNameRef	1116	
111603	ComNameRef	130048	
111690	ComNameRef	9269	
111353	ComNameRef	685	
111250	ComNameRef	1116	
111374	ComNameRef	685	
111147	ComNameRef	130048	
111159	ComNameRef	9269	
111355	ComNameRef	1116	
111355	ComNameRef	9269	
111361	ComNameRef	130048	
111367	ComNameRef	10085	
111453	ComNameRef	163039	
111538	ComNameRef	163040	
111159	ComNameRef	147411	
111159	ComNameRef	1116	
111696	ComNameRef	130048	
111355	ComNameRef	685	
111355	ComNameRef	755	
111367	ComNameRef	9269	
111621	ComNameRef	147411	
111435	ComNameRef	163039	
153730	ComNameRef	130048	
111597	ComNameRef	139287	
111597	ComNameRef	147412	
111597	ComNameRef	130048	
111600	ComNameRef	1116	
111353	ComNameRef	147411	
111411	ComNameRef	147411	
111453	ComNameRef	163043	
111453	ComNameRef	163043	
111250	ComNameRef	1116	
111250	ComNameRef	1116	
111254	ComNameRef	163040	
111159	ComNameRef	1116	
111353	ComNameRef	147411	
111361	ComNameRef	147412	
111411	ComNameRef	9269	
111082	ComNameRef	163039	
111719	ComNameRef	130048	
111604	ComNameRef	685	
111164	ComNameRef	163040	
111268	ComNameRef	130048	
111365	ComNameRef	9269	
111351	ComNameRef	130048	
111355	ComNameRef	1116	
111621	ComNameRef	147412	
111453	ComNameRef	163043	
111250	ComNameRef	130048	
111374	ComNameRef	130048	
111667	ComNameRef	147411	
111159	ComNameRef	1116	
111367	ComNameRef	685	
111367	ComNameRef	755	
111411	ComNameRef	147412	
111411	ComNameRef	9269	
111760	ComNameRef	130048	
111669	ComNameRef	755	
111601	ComNameRef	147411	
111158	ComNameRef	163040	
111164	ComNameRef	1071	
111164	ComNameRef	1206	
111355	ComNameRef	1116	
111411	ComNameRef	685	
111411	ComNameRef	1116	
111435	ComNameRef	614	
111435	ComNameRef	163039	
111453	ComNameRef	163043	
111250	ComNameRef	147411	
111600	ComNameRef	1116	
111604	ComNameRef	147412	
111353	ComNameRef	147412	
111411	ComNameRef	614	
111082	ComNameRef	10085	
111453	ComNameRef	163043	
111538	ComNameRef	163040	
111540	ComNameRef	130048	
111247	ComNameRef	130048	
111293	ComNameRef	147411	
111673	ComNameRef	10085	
111600	ComNameRef	147412	
111604	ComNameRef	130048	
111158	ComNameRef	1071	
111158	ComNameRef	1206	
111162	ComNameRef	1071	
111162	ComNameRef	1206	
111365	ComNameRef	130048	
111353	ComNameRef	130048	
111367	ComNameRef	147412	
111453	ComNameRef	163043	
111453	ComNameRef	163039	
111592	ComNameRef	163040	
111600	ComNameRef	147411	
111604	ComNameRef	147411	
111147	ComNameRef	1116	
111166	ComNameRef	10085	
111355	ComNameRef	147411	
111367	ComNameRef	123768	
472353	ComNameRef	147411	
111435	ComNameRef	163039	
111435	ComNameRef	163039	
111082	ComNameRef	614	
111676	ComNameRef	130048	
111062	ComNameRef	614	
111159	ComNameRef	1116	
111268	ComNameRef	9269	
111706	ComNameRef	130048	
111367	ComNameRef	147411	
111435	ComNameRef	163039	
111453	ComNameRef	163039	
111055	ComNameRef	163039	
111600	ComNameRef	1116	
111355	ComNameRef	147411	
111355	ComNameRef	147411	
111669	ComNameRef	130048	
111669	ComNameRef	147412	
111673	ComNameRef	147411	
111601	ComNameRef	685	
111631	ComNameRef	130048	
111147	ComNameRef	147411	
111355	ComNameRef	130048	
111367	ComNameRef	130048	
111367	ComNameRef	147411	
390415	TaxAccRef	128368	
834034	TaxAccRef	196062	
843334	NomRef	190896	
395706	TaxAccRef	127204	
173725	TaxAccRef	4179	
111741	NomRef	42	
470986	TaxAccRef	132574	
146748	NomRef	1073	
111675	TaxAccRef	132574	
422345	TaxAccRef	141272	
173447	TaxAccRef	1225	
111427	TaxAccRef	663	
111195	TaxAccRef	1369	
111585	TaxAccRef	2930	
469655	TaxAccRef	132574	
470850	TaxAccRef	132574	
111669	TaxAccRef	62229	
422277	TaxAccRef	141272	
111676	TaxAccRef	130048	
470489	TaxAccRef	132574	
111719	TaxAccRef	131974	
174184	TaxAccRef	4179	
111297	TaxAccRef	1369	
111584	NomRef	42	
111088	TaxAccRef	1369	
221522	NomRef	7013	
221523	NomRef	7005	
111288	TaxAccRef	42	
470118	TaxAccRef	172559	
111695	TaxAccRef	1	
174354	TaxAccRef	4179	
111250	TaxAccRef	165516	
471425	TaxAccRef	132574	
153730	TaxAccRef	9269	
174418	TaxAccRef	4179	
111125	TaxAccRef	1	
470757	TaxAccRef	132574	
470752	TaxAccRef	132574	
469387	TaxAccRef	132574	
220609	TaxAccRef	1225	
111539	TaxAccRef	131967	
467617	TaxAccRef	132574	
111663	TaxAccRef	1369	
111263	TaxAccRef	1369	
111603	NomRef	663	
111463	TaxAccRef	1369	
111254	TaxAccRef	1369	
172984	TaxAccRef	4179	
472239	TaxAccRef	172567	
467602	TaxAccRef	141636	
111353	NomRef	2928	
