ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
173876	467466	Celleporella		antarctica	Moyano & Gordon, 1980				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:173876	
396722	396718	Celleporella		aporosa	(Levinsen, 1909)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396722	
396719	396718	Hippothoa		aporosa	(Levinsen, 1909)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396719	
396721	396718	Hippothoa		cornuta		aporosa	Subspecies	Levinsen, 1909	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:396721	
173888	467469	Celleporella		bougainvillei					unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:173888	
173894	467476	Celleporella		dictyota	Hayward, 1993				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:173894	
173896	467477	Celleporella		discreta	(Busk, 1854)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:173896	
111396	467478	Celleporella		galaica	Cesar-Aldariz, Fernández-Pulpeiro & Reverter-Gil, 1999				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111396	
111200	240931	Callopora		whiteavesi	Norman, 1903				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111200	
156075	471857	Electra		arctica	Borg				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:156075	
111353	467577	Electra		crustulenta	(Pallas, 1766)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:111353	
472691	467577	Electra		crustulenta		baltica	Subspecies	Borg, 1931	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472691	
472687	467577	Electra		crustulenta		catenulariasimilis	Subspecies	Kluge, 1962	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472687	
472890	607841	Electra		moskvikvendi	Nikulina, 2008				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472890	
469176	555484	Porella		fissurata	Ortmann, 1890				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:469176	
153818	111099	Schizoporella		linearis	(Hassall)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:153818	
472715	111099	Schizoporella		linearis		multiavicularis	Subspecies	d'Hondt, 1974	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472715	
471018	818024	Trematooecia		psammophila	Winston & Hakansson, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:471018	
472423	812712	Allorhynchozoon		granulatum	Liu, 2001				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472423	
472422	812713	Allorhynchozoon		lepralielloidum	Liu, 2001				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:472422	
