AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
111352	Mediterranean Sea	Text		
111706	Mediterranean Sea	Text		
111317	Mediterranean Sea	Text		
111498	Mediterranean Sea	Text		
111706	Arctic Ocean	Text		
254640	Arctic Ocean	Text		
240927	Arctic Ocean	Text		
111600	Arctic Ocean	Text		
111602	Arctic Ocean	Text		
254422	Arctic Ocean	Text		
240935	Arctic Ocean	Text		
465722	Arctic Ocean	Text		
111374	North Sea	Text		
111473	North Sea	Text		
111099	North Sea	Text		
221562	Mediterranean Sea	Text		
370779	Mediterranean Sea	Text		
111465	Mediterranean Sea	Text		
111389	Mediterranean Sea	Text		
111456	Mediterranean Sea	Text		
111273	North Sea	Text		
111174	North Sea	Text		
111317	North Sea	Text		
111355	North Sea	Text		
111361	North Sea	Text		
111367	North Sea	Text		
111602	Belgium	Text		
111604	Scheldt estuary	Text		
153730	Scheldt estuary	Text		
111597	Scheldt estuary	Text		
153730	Nieuwpoort	Text		
111597	Blankenberge	Text		
111062	Blankenberge	Text		
111062	Blankenberge	Text		
111418	Blankenberge	Text		
111355	Blankenberge	Text		
111254	Blankenberge	Text		
111538	Blankenberge	Text		
111464	Blankenberge	Text		
111091	Blankenberge	Text		
111558	Blankenberge	Text		
111539	Cap Gris Nez	Text		
111539	Cap Gris Nez	Text		
111082	Cap Gris Nez	Text		
111401	Cap Gris Nez	Text		
111401	Cap Gris Nez	Text		
111391	Cap Gris Nez	Text		
111713	Cap Gris Nez	Text		
111713	Cap Gris Nez	Text		
111498	Cap Gris Nez	Text		
111498	Cap Gris Nez	Text		
111187	Cap Gris Nez	Text		
111187	Cap Gris Nez	Text		
111197	Cap Gris Nez	Text		
111659	North East Atlantic	Text		
111352	North East Atlantic	Text		
111622	North East Atlantic	Text		
111411	North East Atlantic	Text		
111411	Oostende	Text		
111412	Oostende	Text		
111061	Oostende	Text		
111125	Oostende	Text		
111464	Oostende	Text		
111254	Oostende	Text		
111355	Oostende	Text		
111343	Oostende	Text		
111343	Oostende	Text		
111318	Oostende	Text		
111367	Oostende	Text		
111659	Oostende	Text		
111601	Oostende	Text		
111067	Oostende	Text		
111597	Oostende	Text		
111600	Oostende	Text		
111631	Oostende	Text		
111350	Oostende	Text		
111072	Oostende	Text		
111158	Oostende	Text		
111229	Oostende	Text		
111365	Oostende	Text		
111268	Oostende	Text		
111259	Oostende	Text		
111202	Zeebrugge	Text		
111397	Zeebrugge	Text		
111197	Zeebrugge	Text		
111199	Zeebrugge	Text		
111072	Zeebrugge	Text		
111147	Zeebrugge	Text		
111631	Zeebrugge	Text		
111607	Zeebrugge	Text		
111607	Zeebrugge	Text		
153730	Zeebrugge	Text		
111062	Zeebrugge	Text		
111659	Zeebrugge	Text		
111659	Zeebrugge	Text		
111367	Zeebrugge	Text		
111621	Zeebrugge	Text		
111708	Zeebrugge	Text		
111418	Zeebrugge	Text		
111379	Zeebrugge	Text		
111785	Zeebrugge	Text		
111498	Zeebrugge	Text		
111488	Zeebrugge	Text		
111343	Zeebrugge	Text		
111355	Zeebrugge	Text		
111355	Zeebrugge	Text		
111352	Zeebrugge	Text		
111314	Zeebrugge	Text		
111695	Zeebrugge	Text		
111760	Zeebrugge	Text		
111761	Zeebrugge	Text		
