ReferenceID	Authors	Year	Title	Details	
64			North East Atlantic Taxa		
614	Hayward, P.J.; Nelson-Smith, A.; Shields, C.	1996	Collins pocket guide: sea shore of Britain and Europe. <i>Collins pocket guides</i>. Harper-Collins Publishers: London, UK. ISBN 0-00-219955-6. 352 pp.		
1260	Davoult, D.; Dewarumez, J.-M.; Luczak, C.; Migné, A.	1999	Nouvelles signalisations d'espèces benthiques sur les côtes françaises de la Manche orientale et de la Mer du Nord [New reports of benthic species from the french coasts of the eastern English Channel and the North Sea]. <i>Cah. Biol. Mar. 40(2)</i>: 121-127		
1309	Westendorp, G.D.	1843	Recherches sur les Polypiers flexibles de la Belgique, et particulièrement des environs d'Ostende. <i>Annales de la Société Médico-Chirurgicale de Bruges IV</i>: 5-48, 1 plate		
1224	Prenant, M.	1931	Sur une collection de bryozoaires de la Mer du Nord appartenant au Musée Royal d'Histoire Naturelle de Belgique [On a collection of bryozoans of the North Sea belonging to the Musée Royal D'Histoire Naturelle de Belgique]. <i>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg. 7(17)</i>: 1-6		
168243	Lombardi, Chiara, Taylor, Paul D. & Cocito, Silvia,	2010	Systematics of the Miocene-Recent bryozoan genus <i>Pentapora</i> (Cheilostomata). Zoological Journal of the Linnaean Society, 160, 17-39.   		
164998	Vieira, Leandro M. & Spencer Jones, Mary,	2012	The identity of <i>Sertularia reptans</i> Linnaeus, 1758 (Bryozoa, Candidae). Zootaxa, 3563: 26-42.		
163777	Bobin, G. & Prenant, M.	1965	Callopora rylandi n. sp. (Bryozoaires chilostomes, Alderinidae). Cah. Biol. mar. 6: 277-291, 7 figs. [English summary]		
163040	Dewarumez, J.-M.; Gévaert, F.; Massé, C.; Foveau, A.; Desroy, N.; Grulois, D.	2011	Les espèces marines animales et végétales introduites dans le bassin Artois-Picardie . UMR CNRS 8187 LOG/Agence de l’Eau Artois-Picardie: Douai. 138 pp.		
163039			Club d'immersió Facultat de Biologia, Universitat de Barcelona		
163043			TermCat, The Center for Terminology.		
148175	Vieira, Leandro M., Gordon, Dennis P., Souza, Facelucia B.C. & Haddad, Maria Angélica,	2010	New and little-known cheilostomatous Bryozoa from the south and southeastern Brazilian continental shelf and slope. Zootaxa, 2722, 1-53.		
163117	Ryland, J. S.	1960	The British species of Bugula (Polyzoa). Proc. zool. Soc. Lond. 134 (1): 65-105, 3 pls. 15 text-figs.		
150853	Souto, Javier, Reverter-Gil, Oscar & Fernández-Pulpeiro, Eugenio,	2011	Redescription of some bryozoan species originally described by J. Jullien from Iberian waters. Zootaxa, 2827: 31-53.		
166715	Silén, L.	1942	Carnosa and Stolonifera (Bryozoa) collected by Prof. Dr. Sixten Bock's expedition to Japan and the Bonin Islands 1914 Ark. Zool. 34A(8): 1-33.		
165516	Dyntaxa	2013	Swedish Taxonomic Database. Accessed at www.dyntaxa.se [15-01-2013].		
166117	Soule, D.F., Soule, J.D., Morris, P.A. & Chaney, H.W.,	2007	Bryozoa.		
166263	Nikulina, E.A.; De Blauwe, H.; Reverter-Gil, O.	2013	Molecular phylogenetic analysis confirms the species status of Electra verticillata (Ellis and Solander, 1786), in: Ernst, A. et al. (Ed.) (2013). Bryozoan Studies 2010. Lecture Notes in Earth System Sciences, 143:		
167214	Grischenko, Andrei V.,	2013	First record of a bathyal bryozoan fauna from the Sea of Japan. Deep-Sea Research II, 86-87: 172-180		
155942	Tilbrook, Kevin J.,	2012	Review of the bryozoan genus Bryopesanser Tilbrook, 2006 (Escharinidae: Cheilostomata) with the description of 11 new species. Zootaxa, 3165: 39-63.		
166712	Canu, F. and Bassler, R. S.,	1929	Bryozoa of the Philippine region. Bulletin of the United States National Museum 100 (9): i–xi, 1–685.		
166713	Dumont, J. P. C.	1981	A report on the cheilostome Bryozoa of the Sudanese Red Sea. Journal of natural history, 15(4), 623-637.		
152366	Hayward, P. J. & Winston, J. E.	2011	Bryozoa collected by the United States Antarctic Research Program: new taxa and new records. Journal of Natural History, 46 (37-38): 2259-2338.		
151796	MacGillivray, P. H.,	1881	On two new genera of Polyzoa. Transactions and Proceedings of the Royal Society of Victoria 17: 15-18.		
