AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
266627	Animalia	Chordata	Leptocardii			Branchiostomatidae	Asymmetron		inferum	Nishikawa, 2004	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:48:28	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266627		urn:lsid:marinespecies.org:taxname:266627	
221006	Animalia	Chordata	Leptocardii			Branchiostomatidae	Asymmetron		lucayanum	Andrews, 1893	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:48:28	http://www.marinespecies.org/aphia.php?p=taxdetails&id=221006		urn:lsid:marinespecies.org:taxname:221006	
214516	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		belcheri	(Gray, 1847)	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2015-08-20 08:53:20	http://www.marinespecies.org/aphia.php?p=taxdetails&id=214516		urn:lsid:marinespecies.org:taxname:214516	
214518	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		bazarutense	Gilchrist, 1923	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:50:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=214518		urn:lsid:marinespecies.org:taxname:214518	
214525	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		arabiae	Webb, 1957	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:50:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=214525		urn:lsid:marinespecies.org:taxname:214525	
266203	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		africae	Hubbs, 1927	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:50:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266203		urn:lsid:marinespecies.org:taxname:266203	
157858	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		caribaeum	Sundevall, 1853	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:50:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=157858		urn:lsid:marinespecies.org:taxname:157858	
214524	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		capense	Gilchrist, 1902	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:50:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=214524		urn:lsid:marinespecies.org:taxname:214524	
266204	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		bennetti	Boschung & Gunter, 1966	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:50:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266204		urn:lsid:marinespecies.org:taxname:266204	
266205	Animalia	Chordata	Leptocardii			Branchiostomatidae	Branchiostoma		bermudae	Hubbs, 1922	accepted	Accepted name	0	marine		Nishikawa, Teruaki	2013-05-06 13:50:34	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266205		urn:lsid:marinespecies.org:taxname:266205	
