ID	ReferenceType	ReferenceID	
105179	ComNameRef	147411	
105227	ComNameRef	147411	
105190	ComNameRef	147411	
105100	TaxAccRef	1347	
105115	TaxAccRef	1347	
105117	TaxAccRef	1347	
105130	TaxAccRef	1347	
105164	TaxAccRef	1347	
105166	TaxAccRef	1347	
105181	TaxAccRef	1347	
105200	TaxAccRef	1347	
105215	TaxAccRef	1347	
105217	TaxAccRef	1347	
105264	TaxAccRef	1347	
105266	TaxAccRef	1347	
105281	TaxAccRef	1347	
105300	TaxAccRef	1347	
105315	TaxAccRef	1347	
105317	TaxAccRef	1347	
105330	TaxAccRef	141230	
105351	TaxAccRef	1347	
105364	TaxAccRef	1347	
105366	TaxAccRef	1347	
105381	TaxAccRef	1347	
159469	TaxAccRef	2930	
345095	TaxAccRef	47785	
345097	TaxAccRef	47785	
345112	TaxAccRef	47785	
345131	TaxAccRef	47785	
345146	TaxAccRef	47785	
345195	TaxAccRef	47785	
345197	TaxAccRef	47785	
345212	TaxAccRef	47785	
345231	TaxAccRef	47785	
370477	TaxAccRef	1318	
387870	TaxAccRef	128223	
387889	TaxAccRef	127204	
387889	TaxAccRef	128223	
387891	TaxAccRef	127204	
387899	TaxAccRef	129162	
388376	TaxAccRef	127204	
389808	TaxAccRef	129277	
389810	TaxAccRef	129277	
390063	TaxAccRef	127204	
395628	TaxAccRef	127204	
395630	TaxAccRef	127204	
396483	TaxAccRef	130863	
396530	TaxAccRef	127204	
396549	TaxAccRef	127204	
396564	TaxAccRef	127204	
396566	TaxAccRef	127204	
396579	TaxAccRef	127204	
419256	TaxAccRef	141230	
419258	TaxAccRef	141230	
419273	TaxAccRef	141230	
419292	TaxAccRef	141230	
508588	TaxAccRef	198522	
508607	TaxAccRef	196696	
508832	TaxAccRef	199211	
516424	TaxAccRef	196726	
516444	TaxAccRef	196867	
516466	TaxAccRef	171711	
516832	TaxAccRef	198486	
516935	TaxAccRef	199147	
517191	TaxAccRef	198336	
517203	TaxAccRef	198340	
835576	TaxAccRef	196528	
835737	TaxAccRef	196581	
835758	TaxAccRef	196593	
835834	TaxAccRef	196697	
835835	TaxAccRef	196716	
835845	TaxAccRef	196717	
835851	TaxAccRef	196697	
835869	TaxAccRef	196713	
836116	TaxAccRef	196855	
836126	TaxAccRef	196856	
105088	TaxAccRef	1347	
105093	TaxAccRef	1347	
105118	TaxAccRef	1347	
105127	TaxAccRef	1347	
105152	TaxAccRef	1347	
105161	TaxAccRef	1347	
105186	TaxAccRef	1347	
105190	TaxAccRef	2930	
105195	TaxAccRef	1347	
105220	TaxAccRef	1347	
105229	TaxAccRef	1347	
105234	TaxAccRef	47785	
105254	TaxAccRef	1347	
105263	TaxAccRef	1347	
105288	TaxAccRef	1347	
105293	TaxAccRef	1347	
105318	TaxAccRef	1347	
105327	TaxAccRef	1347	
105328	TaxAccRef	6827	
105352	TaxAccRef	1347	
105352	TaxAccRef	132580	
105361	TaxAccRef	1347	
105386	TaxAccRef	1347	
105386	TaxAccRef	132580	
105395	TaxAccRef	1347	
105397	TaxAccRef	198367	
237823	TaxAccRef	132580	
345085	TaxAccRef	47785	
345094	TaxAccRef	47785	
345119	TaxAccRef	47785	
345124	TaxAccRef	47785	
345217	TaxAccRef	47785	
345226	TaxAccRef	47785	
370482	TaxAccRef	1318	
370487	TaxAccRef	1318	
387877	TaxAccRef	127204	
387877	TaxAccRef	128223	
387882	TaxAccRef	128223	
387886	TaxAccRef	127204	
387886	TaxAccRef	128223	
388378	TaxAccRef	128597	
395633	TaxAccRef	127204	
395991	TaxAccRef	130560	
396408	TaxAccRef	127204	
414473	TaxAccRef	132580	
414575	TaxAccRef	132580	
419244	TaxAccRef	141230	
419253	TaxAccRef	141230	
419275	TaxAccRef	196696	
419278	TaxAccRef	141230	
419287	TaxAccRef	141230	
508562	TaxAccRef	198515	
508612	TaxAccRef	196696	
508697	TaxAccRef	198529	
516437	TaxAccRef	196867	
516536	TaxAccRef	199199	
516665	TaxAccRef	172094	
516747	TaxAccRef	171555	
516814	TaxAccRef	196723	
516871	TaxAccRef	198493	
516888	TaxAccRef	173068	
516892	TaxAccRef	196727	
517108	TaxAccRef	198456	
517400	TaxAccRef	198467	
835701	TaxAccRef	196547	
835720	TaxAccRef	199072	
835847	TaxAccRef	196716	
835862	TaxAccRef	196715	
835868	TaxAccRef	196701	
835922	TaxAccRef	198326	
835937	TaxAccRef	196689	
836075	TaxAccRef	196852	
836099	TaxAccRef	196854	
836138	TaxAccRef	196858	
105102	TaxAccRef	1347	
105109	TaxAccRef	1347	
105118	TaxAccRef	47785	
105136	TaxAccRef	1347	
105138	TaxAccRef	1347	
105143	TaxAccRef	1347	
105145	TaxAccRef	1347	
105179	TaxAccRef	1347	
105202	TaxAccRef	1347	
105234	TaxAccRef	132580	
105236	TaxAccRef	1347	
105238	TaxAccRef	1347	
105243	TaxAccRef	1347	
105245	TaxAccRef	1347	
105279	TaxAccRef	1347	
105302	TaxAccRef	1347	
105336	TaxAccRef	1347	
105338	TaxAccRef	1347	
105343	TaxAccRef	1347	
105345	TaxAccRef	1347	
105365	TaxAccRef	199228	
105372	TaxAccRef	1347	
105379	TaxAccRef	1347	
237824	TaxAccRef	9941	
345110	TaxAccRef	47785	
345133	TaxAccRef	47785	
345210	TaxAccRef	47785	
370498	TaxAccRef	1318	
370505	TaxAccRef	1318	
387868	TaxAccRef	127204	
387868	TaxAccRef	128223	
387870	TaxAccRef	127204	
387891	TaxAccRef	128223	
396151	TaxAccRef	127204	
414480	TaxAccRef	132580	
414482	TaxAccRef	132580	
414489	TaxAccRef	132580	
419271	TaxAccRef	141230	
419293	TaxAccRef	196696	
508521	TaxAccRef	199218	
508528	TaxAccRef	196696	
508599	TaxAccRef	198365	
508645	TaxAccRef	199220	
508671	TaxAccRef	199228	
516384	TaxAccRef	196725	
516401	TaxAccRef	198468	
516430	TaxAccRef	196726	
516454	TaxAccRef	198482	
516460	TaxAccRef	171711	
516541	TaxAccRef	199177	
516622	TaxAccRef	198511	
516629	TaxAccRef	198511	
516668	TaxAccRef	198483	
516720	TaxAccRef	175093	
516738	TaxAccRef	171555	
516749	TaxAccRef	198475	
516751	TaxAccRef	198484	
517004	TaxAccRef	175045	
517106	TaxAccRef	196721	
517122	TaxAccRef	154803	
517220	TaxAccRef	198470	
835562	TaxAccRef	196469	
835564	TaxAccRef	196469	
835931	TaxAccRef	196687	
835934	TaxAccRef	196688	
835946	TaxAccRef	196692	
835948	TaxAccRef	196692	
835957	TaxAccRef	196724	
836080	TaxAccRef	171831	
836159	TaxAccRef	196855	
847970	TaxAccRef	197693	
847972	TaxAccRef	197693	
105092	TaxAccRef	132580	
105096	TaxAccRef	1347	
105110	TaxAccRef	1347	
105135	TaxAccRef	1347	
105135	TaxAccRef	132580	
105153	TaxAccRef	1347	
105160	TaxAccRef	1347	
105178	TaxAccRef	1347	
105203	TaxAccRef	1347	
105221	TaxAccRef	1347	
105228	TaxAccRef	1347	
105246	TaxAccRef	1347	
105271	TaxAccRef	1347	
105296	TaxAccRef	1347	
105310	TaxAccRef	1347	
105310	TaxAccRef	132580	
105335	TaxAccRef	1347	
105349	TaxAccRef	132580	
105353	TaxAccRef	1347	
105360	TaxAccRef	1347	
105378	TaxAccRef	1347	
105386	TaxAccRef	2930	
237823	TaxAccRef	9941	
345102	TaxAccRef	47785	
345116	TaxAccRef	47785	
345127	TaxAccRef	47785	
345141	TaxAccRef	47785	
345184	TaxAccRef	47785	
345191	TaxAccRef	47785	
345209	TaxAccRef	47785	
370474	TaxAccRef	1318	
