ReferenceID	Authors	Year	Title	Details	
1180	Hamerlynck, O. et al.	1989	The parasites of two sympatric gobies Pomatoschistus minutus and P. lozanoi in the Belgian coastal waters. Pp 27-30 in Wouters, K.; Baert, L. (Ed.): Invertebraten van België = Invertébrés de Belgique: Verhandelingen van het Symposium "Invertebraten van België" = Comptes rendus du Symposium "Invertébrés de Belgique" = Proceedings of the Symposium "Invertebrates of Belgium". Brussel, 25-26 november 1988. Koninklijk Belgisch Instituut voor Natuurwetenschappen: Brussel, Belgium.		
1318			UNESCO-IOC Register of Marine Organisms		
1347	Bray, R.A.	2001	Cestoda, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:		
2930	Brunel, P.; Bosse, L.; Lamarche, G.	1998	Catalogue of the marine invertebrates of the estuary and Gulf of St. Lawrence		
2999	Linkletter, L. E.	1977	A checklist of marine fauna and flora of the Bay of Fundy		
6827	Costello, M.J.; Emblow, C.; White, R. (Ed.).	2001	European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels, 50. Muséum national d'Histoire Naturelle: Paris, France. ISBN 2-85653-538-0. 463 pp.		
9419	Müller O.F. 	1776	Zoologiae Danicae Prodromus seu Animalium Daniae et Norvegiae indigenarum characteres, nomina, et synonyma imprimis popularium. 		
9941	Orecchia, Paola; Lia Paggi	2006	Nematoda Rhabditia, in: Revisione della Checklist della fauna marina italiana.		
47785			Checklist of the antarctic and subantarctic Cestoda		
77827	Blanchard, R.	1891	Résultats d'une excursion zoologique en Algérie.		
127204	Bouchet, P.; Fontaine, B.	2009	List of new marine species described between 2002-2006. Census of Marine Life.		
128098	Blend, C. K.; Dronen, N. O.	2003	Bothriocephalus gadellus n. sp. (Cestoda: Bothriocephalidae) from the beardless codling Gadella imberbis (Vaillant) (Moridae) in the southwestern Gulf of Mexico, with a review of species of Bothriocephalus Rudolphi, 1808 reported from gadiform fishes		
128223	Campbell & Beveridge.	2002	The genus <i> Acanthobothrium </i> (Cestoda: Tetraphyllidea: Onchobothriidae) parasitic in Australian elasmobranch fishes. Invertebrate Systematics 16: 237-344.		
128380	Dronen, N. O.; Blend, C. K.	2005	Clestobothrium gibsoni n. sp. (Cestoda: Bothriocephalidae) from the bullseye grenadier Bathygadus macrops Goode & Bean (Macrouridae) in the Gulf of Mexico		
128473	Gangadharam & Vijaya Lakshmi.	2004	A new species Phyllobothrium visakhapatnamensis (Cestoda: Tetraphyllidea) from spiral valve of Scoliodon palasorrah (Cuvier). Rivista di Parassitologia 21(3) : 163-168		
128597	Healy, C. J.	2003	A revision of Platybothrium Linton, 1890 (Tetraphyllidea: Onchobothriidae), with a phylogenetic analysis and comments on host-parasite associations		
128600	Healy.	2003	Systematic Parasitology 56 (2): 85-142		
128675	Ivanov & Brooks	2002	Calliobothrium spp.(Eucestoda: Tetraphyllidea: Onchobothriidae) in Mustelus schmitti (Chondrichthyes: Carcharhiniformes) from Argentina and Uruguay		
128676	Ivanov & Campbell	2002	Notomegarhynchus navonae n. gen. and n. sp.(Eucestoda: Tetraphyllidea), from skates (Rajidae: Arhynchobatinae) in the Southern Hemisphere		
128677	Ivanov & Lipshitz.	2006	Description of a new diphyllidean  parasite of triakid sharks from the deep Red Sea. Journal of Parasitology    Volume: 92    Issue: 4    Pages: 841-846		
128680	Ivanov, V. A.	2006	GUIDUS N. GEN. (CESTODA: TETRAPHYLLIDEA), WITH DESCRIPTION OF A NEW SPECIES AND EMENDATION OF THE GENERIC DIAGNOSIS OF MARSUPIOBOTHRIUM		
129065	Neifar, Euzet & Ben Hassine.	2002	<i>Anthobothrium altavelae</i> sp. n. (Cestoda: Tetraphyllidea) from the spiny butterfly ray <i>Gymnura altavela</i> (Elasmobranchii: gymnuridae) in Tunisia. Folia Parasitologica (Ceske Budejovice) 49 (4): 295-298		
129162	Palm & Beveridge	2002	Tentacularid cestodes of the order Trypanorhyncha (Platyhelminthes) from the Australian region		
129277	Reyda & Caira.	2006	Five New Species of <i>Acanthobothrium</i> (Cestoda: Tetraphyllidea) from <i>Himantura uarnacoides</i> (Myliobatiformes: Dasyatidae) in Malaysian Borneo. Comparative Parasitology. Volume: 73 Issue: 1 Pages: 49-71.  		
129401	Shinde, G. B. and H. K. Bhagwan.	2002	Acanthobothrium guptai n. sp. (Cestoda: Onchobothridae) [sic] from Tyrgon [sic] sephen. Uttar Pradesh Journal of Zoology 22: 207-209.		
129484	Suriano	2002	<i>Anthobothrium galeorhini</i> n. sp. (Eucestoda: Tetraphyllidea) a parasite of <i>Galeorhinus galeus</i> (Triakidae) from the Argentine coast		
129611	Yan-hai, W.; Sheng-fa, L.; Yu-rong, Y.	2004	PARABOTHRIOCEPHALUS PSENOPSIS N. SP. (EUCESTODA: PSEUDOPHYLLIDEA) IN PSENOPSIS ANOMALA FROM THE TAIWAN STRAIT, CHINA		
129635	Williams, Burt & Caira.	2004	<i>Anthobothrium lesteri</i> n. sp. (Cestoda: Tetraphyllidea) in <i>Carcharhinus melanopterus</i> from Heron Island, Australia, with comments on its site, mode of attachment, reproductive strategy and membership of the genus. Systematic Parasitology 59(3) : 211-221		
130559	Beveridge & Justine	2006	Gilquiniid cestodes (Trypanorhyncha) from elasmobranch fishes off New Caledonia with descriptions of two new genera and a new species		
130560	Beveridge, I.; Neifar, L.; Euzet, L.	2004	Review of the genus Progrillotia Dollfus, 1946 (Cestoda: Trypanorhyncha), with a redescription of Progrillotia pastinacae Dollfus, 1946 and description of Progrillotia dasyatidis sp. n		
130561	Bhagwan H.K. & Shinde G.B.	2002	Balanobothrium carchariasae n. sp (Cestoda: Lecanicephalidae) from Carcharias acutus		
130562	Bhagwan & Shinde.	2002	Sephenicephalum dnyandevi sp. nov.(Cestoda: Lecani-Cephalidae) from Trygon sephen in India. Uttar Pradesh Journal of Zoology 22 (2): 199-200		
130623	Caira & Tracy.	2002	Two new species of Yorkeria (Tetraphyllidea: Onchobothriidae) from Chiloscyllium punctatum (Elasmobranchii: Hemiscylliidae) in Thailand. Journal of Parsitology 88 (6): 1172-1180		
130625	Campbell & Beveridge.	2006	Two new species of Pseudochristianella Campbell & Beveridge, 1990 (Cestoda: Trypanorhyncha) from elasmobranch fishes from the Gulf of California, Mexico. Parasite-Journal de la Société Française de Parasitologie    Volume: 13    Issue: 4    Pages: 275-281		
130802	Hongtao & Yanhai.	2006	A new species of Onchobothriidae (Tetraphyllidea) from Chiloscyllium plagiosum (Elasmobranchii: Orectolobidae) in China. Journal of Parasitology Volume: 92 Issue: 5 Pages: 1050-1052		
130862	Jensen & Caira.	2006	The status of Rhoptrobothrium Shipley et Hornell, 1906 (Cestoda: Tetraphyllidea), with redescription of the type species, R. myliobatidis, and description of three new species from two species of Aetomylaeus (Myliobatiformes: Myliobatidae) from Malaysian Borneo. Folia Parasitologica    Volume: 53    Issue: 3    Pages: 189-207		
130863	Jensen, K.	2006	A new species of Aberrapex Jensen, 2001 (Cestoda: Lecanicephalidea) from Taeniura lymma (Forsskål) (Myliobatiformes: Dasyatidae) from off Sabah, Malaysia. Systematic Parasitology 64: 117-123.		
130935	Kuchta R., Scholz T.	2006	<i>Australicola pectinatus</i> n. gen. and n. sp. (Cestoda: Pseudophyllidea) from deep-sea fish <i>Beryx splendens</i> from Tasmania. Journal of Parasitology 92: 126-129.		
131103	Palm	1952	A revision of Microbothriorhynchus Yamaguti, (Cestoda: Trypanorhyncha), with the redescription of M. coelorhynchi Yamaguti, 1952 and the description of M. reimeri n. sp		
131127	Pramanik & Manna.	2004	Balanobothrium Shindei new species (Cestoda: Lacanicephalidae) from Stegostoma fasciatum Hermann, 1763 from Bay of Bengal at Digha coast, West Bengal, India. Proceedings of the Zoological Society (Calcutta) 57(1) : 53-58		
131160	Ruhnke & Thompson	2006	Two new species of Paraorygmatobothrium (Tetraphyllidea: Phyllobothriidae) from the lemon shark Negaprion brevirostris and Negaprion acutidens (Carcharhiniformes: Carcharhinidae)		
131161	Ruhnke, Caira & Carpenter	2006	Orectolobicestus n. g. (Cestoda: Tetraphyllidea), with the description of five new species and the transfer of Phyllobothrium chiloscyllii to the new genus		
131162	Ruhnke, Healy & Shapero	2006	Two new species of Paraorygmatobothrium (Cestoda: Tetraphyllidea) from weasel sharks (Carcharhiniformes: Hemigaleidae) of Australia and Borneo		
132580	Johns, P.; Newman, L.J.; Holleman, J.J.; Dawson, E.W.; Sterrer, W.; Allison, F.R.; Diggles, B.K.; Andrews, J.R.H.; Hine, P.M.; McKenna, P.B.; Poulin, R.	2009	Phylum Platyhelminthes: flatworms, tapeworms, flukes, in: Gordon, D.P. (Ed.) (2009). New Zealand inventory of biodiversity: 1. Kingdom Animalia: Radiata, Lophotrochozoa, Deuterostomia.		
133468	Galathea II, Danish Deep Sea Expedition	1950	2		
141230	Jensen, K.	2009	Cestoda (Platyhelminthes) of the Gulf of Mexico,		
147411			PESI (A Pan-European Species directories Infrastructure) focal points		
149084	Kedra, M.	2010	A Checklist of marine species occurring in Polish marine waters, compiled in the framework of the PESI EU FP7 project.		
154803	Owen	1946	A New Species of Cestode, Choanotaenia numenii, from the Long-Billed Curlew Ruth Leota Owen		
165013	Khamkar, D. D.	2012	A new species Tetragonocephalum ratnagiriensis n Sp. (Eucestoda: Lecanicephalidea) from Trygon zugei at Ratnagiri		
168514	Khamkar D.D. and Shinde G.B.	2012	A new species Tetragonocephalum govindi n. sp. (Eucestoda: Lecanicephalidea) from Trygon zugei at Panji, Goa, India		
168515	Anarse, S.A.; Borde, S.N.; Gaware, A.B. and Solunke, R.V.	2012	A new record Tylocephalum govindi sp.nov. (Cestoda - Lecanicephalidae) in Trygon sephen, from Uran, Sinddhudurg District (M.S) India		
170647	Cutmore, S. C.; Bennett, M. B.; Cribb, T. H.	2010	A new tetraphyllidean genus and species, Caulopatera pagei n. g., n. sp. (Tetraphyllidea: Phyllobothriidae), from the grey carpetshark Chiloscyllium punctatum Müller & Henle (Orectolobiformes: Hemiscylliidae)		
170778	Malek, M.; Caira, J. N.; Haseli, M.	2010	Two new species of Paraorygmatobothrium Ruhnke, 1994 (Cestoda: Tetraphyllidea) from the carcharhinid shark Carcharhinus cf. dussumieri (Müller & Henle) in the Persian Gulf		
170882	Palm, H. W.	2010	Nataliella marcelli n. g., n. sp. (Cestoda: Trypanorhyncha: Rhinoptericolidae) from Hawaiian fishes		
171443	Caira, J. N.; Jensen, K.	2009	Erection of a New Onchobothriid Genus (Cestoda: Tetraphyllidea) and the Description of Five New Species from Whaler Sharks (Carcharhinidae)		
171510	Cutmore, S. C.; Bennett, M. B.; Cribb, T. H.	2009	Paraorygmatobothrium taylori n. sp. (Tetraphyllidea: Phyllobothriidae) from the Australian weasel shark Hemigaleus australiensis White, Last & Compagno (Carcharhiniformes: Hemigaleidae)		
171555	Fyler, C. A.; Caira, J. N.; Jensen, K.	2009	Five new species of Acanthobothrium (Cestoda: Tetraphyllidea) from an unusual species of Himantura (Rajiformes: Dasyatidae) from northern Australia.		
171618	Ivanov, V. A.	2009	New Species of Crossobothrium (Cestoda: Tetraphyllidea) from the Broadnose Sevengill Shark, Notorynchus cepedianus, in Argentina		
