ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
836430	517112	Taenia		armillaris	Rudolphi, 1810				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:836430	
836433	517113	Taenia		campylacantha	Krabbe, 1869				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:836433	
345184	517115	Anomotaenia		antarctica	Fuhrmann, 1920				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:345184	
345097	517115	Anomotaenia		dominicana	Railliet & Henry, 1912				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:345097	
345156	517115	Anomotaenia		micracantha		dominicana	Subspecies	(Railliet & Henry, 1912)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:345156	
517519	517117	Anomotaenia		larina	(Krabbe, 1869) Cohn, 1900				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517519	
105108	517117	Pseudanomotaenia		larina	(Krabbe, 1869)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105108	
836436	517117	Rissotaenia		larina	(Krabbe, 1869) Spasskaya & Kolotilova, 1972				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:836436	
836431	517117	Taenia		larina	Krabbe, 1869				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:836431	
836434	517119	Anomotaenia		meinertzhageni	Baer, 1956				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:836434	
105096	517120	Anomotaenia		micracantha	(Krabbe, 1869)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105096	
836432	517120	Taenia		micracantha	Krabbe, 1869				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:836432	
508880	508719	Dibothriorhynchus		sphyraenicus	Pintner, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508880	
508871	508719	Patellobothrium		quinquecatinatum	Beveridge & Campbell, 1989				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508871	
517364	516944	Echeneibothrium		insignia	(Southwell, 1911)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517364	
517365	516945	Echeneibothrium		longicolle	(Linton, 1890)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517365	
517366	516946	Echeneibothrium		multiorchidum	Young, 1954				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517366	
517367	516951	Echeneibothrium		tobijei	Yamaguti, 1934				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517367	
508821	508563	Eutetrarhynchus		aetobati	Beveridge, 1990				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508821	
508822	508564	Eutetrarhynchus		australis	Prudhoe, 1913				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508822	
508824	508565	Eutetrarhynchus		bareldsi	Beveridge, 1990				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508824	
508825	508566	Eutetrarhynchus		carayoni	Dollfus, 1942				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508825	
508826	508568	Eutetrarhynchus		geraschmidti	Dollfus, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508826	
835943	419288	Eutetrarhynchus		lineatus	(Linton, 1909)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:835943	
508827	508569	Eutetrarhynchus		litocephalus	Heinz & Dailey, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508827	
508828	508570	Eutetrarhynchus		macrotrachelus	Heinz & Dailey, 1974				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508828	
508829	508571	Eutetrarhynchus		martini	(Beveridge, 1990)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508829	
508830	508572	Eutetrarhynchus		michiae	(Southwell, 1929)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508830	
508831	508574	Eutetrarhynchus		musteli	(Carvajal, 1974)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:508831	
345186	345132	Bothriocephalus		quadratus	Linstow, 1892				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:345186	
517329	105223	Bothriocephalus		truncatus	Leuckart, 1819				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517329	
517497	835559	Cephalobothrium		variabile	Southwell, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:517497	
