ReferenceID	Authors	Year	Title	Details	
152417	Liu J.Y. [Ruiyu] (ed.)	2008	Checklist of marine biota of China seas	China Science Press. 1267 pp	
31636	Shih, C.T., A.J.G. Figueira & E.H. Grainger,	1971	A synopsis of Canadian marine zooplankton. Bull. Fish. Res. Bd Can. 176 : 1-264.		
131879	Casanova, J.; Chidgey, K. C.	1987	Une nouvelle espèce d'Heterokrohnia (Chaetognathe) des campagnes du Discovery dans l'Atlantique nord-oriental. Bulletin du Muséum national d'Histoire naturelle	Paris, (4 sér.) 9 (A. 4, 879-885	
130889	Kasatkina.	2002	New species of chaetognaths of the genus Pseudoeukrohnia from the western Bering Sea and the northwestern Pacific Ocean. Biologiya Morya (Vladivostok) 28 (2): 93-101		
225384	Béraneck, E.	1895	Les Chaetognathes de la baie d'Amboine	Rev. Suisse Zool.. 3: 137-159	
165121	Winkelmann, C.; Gasmi, S.; Gretschel, G.; Perez, Y.	2012	Description of Spadella valsalinae sp. nov., a neo-endemic benthic chaetognath from Northern Adriatic Sea (Croatia) with remarks on its morphology, phylogeny and biogeography	Organisms Diversity & Evolution. 14, 10-1007	
9269	Muller, Y.	2004	Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]	Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp	
141225	Hernández-Flores, R. M., J. A. McLelland, and E. Suárez-Morales	2009	Planktonic Chaetognatha of the Gulf of Mexico, Pp. 1165–1171 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota	Biodiversity. Texas A&M Press, College State	
223269	Conant, F.S.	1895	Description of two new chaetognaths (Spadella schizoptera and Sagitta hispida).	Johns Hopkins Univ. Circ.. 14(119): 77-78. Figs VI-VII.	
9990	Ghirardelli, Elvezio	2006	Chaetognata, in: Revisione della Checklist della fauna marina italiana.		
223134	Casanova, J.-P.; Hernández, F.; Jiménez, S.	2006	Spadella lainezi n. sp., the first cave chaetognath from the Eastern Atlantic Ocean.		
125436	Bieri, R.,	1991	Systematics of the Chaetognatha. In The Biology of Chaetognaths, (eds. Q. Bone, H. Kapp and A.C. Pierrot-Bults),		
125399	Casanova, J.	1990	A new species of Paraspadella (Chaetognatha) from the coastal waters of Japan	Proceedings of the Biological Society of Washington. 103, 907-912	
3020	Miner, R. W.	1950	Field book of seashore life. G.P. Putnam & Sons. New York. 888 p.		
131882	Srinivasan, M.	1986	Pterokrohnia arabica, a new genus and species of Chaetognatha from the Arabian Sea	Journal of the Marine Biological Association of India. 28: 199-201	
125396	Casanova, J.	1993	Spadella japonica, a new coastal benthic chaetognath from Japan	Proceedings of the Biological Society of Washington. 106, 359-365	
141783	Hernandez F., De Vera A. & Casanova J.-P.	2009	Spadella duverti  (Chaetognatha: Spadellidae), nueva especie bentónica recolectada en las islas  Canarias. Vieraea, 37:119-125.		
63	Fraser, J.H.	1957	Chaetognatha. <i>Fiches d'identification du zooplancton</i>, 1(Rev. 1). ICES: Copenhagen, Denmark. 6 pp.		
