ID	ReferenceType	ReferenceID	
105445	ComNameRef	2901	
105440	ComNameRef	138645	
105464	ComNameRef	2901	
105465	ComNameRef	2901	
105440	ComNameRef	2901	
105416	ComNameRef	2901	
105418	TaxAccRef	1318	
105420	TaxAccRef	1414	
105425	TaxAccRef	125435	
105435	TaxAccRef	1318	
105437	TaxAccRef	1414	
105439	NomRef	1414	
105441	TaxAccRef	141225	
105448	TaxAccRef	1318	
105456	NomRef	1414	
105465	TaxAccRef	1318	
105467	TaxAccRef	1414	
105471	TaxAccRef	223268	
154095	NomRef	63	
237826	TaxAccRef	125437	
266224	TaxAccRef	1318	
266243	NomRef	1318	
266258	TaxAccRef	1318	
266275	TaxAccRef	1318	
266709	TaxAccRef	1318	
266711	NomRef	1318	
266779	NomRef	1318	
266807	TaxAccRef	1318	
266826	NomRef	1318	
266830	NomRef	1318	
266843	NomRef	1318	
268030	NomRef	1318	
268047	NomRef	1318	
362617	TaxAccRef	47903	
395431	NomRef	127204	
736968	NomRef	168668	
105414	TaxAccRef	1318	
105416	TaxAccRef	42	
105421	TaxAccRef	1414	
105432	TaxAccRef	1414	
105433	NomRef	1318	
105448	TaxAccRef	152417	
105451	NomRef	1414	
105457	NomRef	63	
105463	TaxAccRef	63	
105464	TaxAccRef	1318	
105466	TaxAccRef	152417	
105469	NomRef	1414	
105471	TaxAccRef	1414	
154107	NomRef	63	
266224	TaxAccRef	152417	
266238	TaxAccRef	131853	
266254	TaxAccRef	1318	
266697	TaxAccRef	1318	
266704	TaxAccRef	1318	
266780	NomRef	1318	
266784	NomRef	1318	
266811	TaxAccRef	1318	
266815	TaxAccRef	223269	
266834	NomRef	1318	
266854	TaxAccRef	1318	
268034	NomRef	1318	
268052	NomRef	1318	
362614	TaxAccRef	47901	
379365	TaxAccRef	126156	
406116	TaxAccRef	131851	
423372	NomRef	125436	
592894	NomRef	132562	
870468	NomRef	222906	
105415	TaxAccRef	141225	
105416	TaxAccRef	63	
105416	TaxAccRef	132562	
105428	TaxAccRef	1414	
105429	TaxAccRef	141225	
105430	TaxAccRef	132562	
105432	TaxAccRef	141225	
105442	TaxAccRef	1414	
105443	TaxAccRef	1318	
105444	TaxAccRef	152417	
105447	NomRef	1414	
105453	NomRef	1210	
105461	NomRef	1414	
105464	TaxAccRef	3020	
105465	TaxAccRef	3020	
266232	TaxAccRef	1318	
266233	TaxAccRef	1318	
266250	TaxAccRef	1318	
266251	NomRef	1318	
266252	NomRef	1318	
266700	TaxAccRef	1318	
266701	TaxAccRef	1318	
266801	NomRef	1318	
266805	NomRef	1318	
266815	TaxAccRef	1318	
266838	NomRef	1318	
268038	NomRef	1318	
345521	TaxAccRef	125394	
362616	NomRef	47901	
395755	NomRef	130890	
406018	NomRef	173077	
407551	TaxAccRef	131873	
407562	TaxAccRef	131874	
474798	TaxAccRef	141783	
742233	TaxAccRef	170244	
105428	TaxAccRef	152417	
105429	TaxAccRef	152417	
105440	TaxAccRef	1318	
105440	TaxAccRef	2999	
105441	TaxAccRef	1318	
105444	TaxAccRef	1414	
105445	TaxAccRef	1414	
105446	NomRef	1414	
105448	TaxAccRef	141225	
105449	NomRef	132562	
154102	NomRef	63	
266231	TaxAccRef	1318	
266239	NomRef	131897	
266253	NomRef	1318	
266267	TaxAccRef	1318	
266268	TaxAccRef	152417	
266269	TaxAccRef	152417	
266702	TaxAccRef	1318	
266705	TaxAccRef	152417	
266767	TaxAccRef	1318	
266803	NomRef	1318	
266809	NomRef	125397	
266816	TaxAccRef	1318	
266818	NomRef	1318	
268025	NomRef	1318	
268039	NomRef	1318	
268040	NomRef	1318	
395758	NomRef	127204	
406017	NomRef	173077	
422434	NomRef	125436	
430251	NomRef	1318	
597309	TaxAccRef	162875	
870417	NomRef	90942	
105415	TaxAccRef	152417	
105422	TaxAccRef	1318	
105427	TaxAccRef	1318	
105428	TaxAccRef	131881	
105428	TaxAccRef	141225	
105429	TaxAccRef	1414	
105431	TaxAccRef	1318	
105437	TaxAccRef	141225	
105438	NomRef	125431	
105452	NomRef	1414	
105463	TaxAccRef	1414	
105464	TaxAccRef	192182	
266228	TaxAccRef	1318	
266234	TaxAccRef	131878	
266237	TaxAccRef	1318	
266248	TaxAccRef	195830	
266262	TaxAccRef	1318	
266271	TaxAccRef	1318	
266705	TaxAccRef	1318	
266715	NomRef	1318	
266783	NomRef	1318	
266822	NomRef	1318	
266884	TaxAccRef	152417	
268026	NomRef	1318	
268032	NomRef	132562	
268051	NomRef	1318	
370508	TaxAccRef	125436	
379366	TaxAccRef	126156	
395427	NomRef	127204	
395427	NomRef	130889	
395431	NomRef	130889	
395754	NomRef	127204	
395759	NomRef	127204	
406019	NomRef	173077	
422434	NomRef	141225	
584812	NomRef	42	
870414	NomRef	222867	
