ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
268028	266698	Sagitta		bedfordii	Doncaster, 1903				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268028	
870438	266700	Aidanosagitta		crassa		f. naikaiensis	Forma	(Tokioka, 1939)	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:870438	
268029	266700	Sagitta		crassa	Tokioka, 1938				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268029	
268030	266705	Sagitta		johorensis	Pathansali & Tokioka, 1963				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268030	
362616	362615	Sagitta		meenakshiae	Nair, Panampunnayil, Pillai & Gireesh, 2008				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:362616	
266265	406024	Sagitta		nairi	Casanova & Nair, 2002				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266265	
221253	266708	Sagitta		neglecta	Aida, 1897				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:221253	
268031	266709	Sagitta		oceania	Grey, 1930				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268031	
268032	266712	Sagitta		regularis	Aida, 1897				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268032	
268033	266713	Sagitta		septata	Doncaster, 1903				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268033	
266236	370508	Heterokrohnia		longicaudata	Hagen & Kapp, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266236	
105424	237826	Heterokrohnia		palpifera	(Casanova, 1986)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105424	
266240	105431	Caecosagitta		aberrantis	Kasatkina, 2003				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266240	
266241	105431	Caecosagitta		angelae	Kasatkina, 2003				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266241	
266242	105431	Caecosagitta		caeca	Kasatkina, 2003				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266242	
266243	105431	Caecosagitta		jerryi	Kasatkina, 2003				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266243	
266244	105431	Caecosagitta		takasii	Kasatkina, 2003				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266244	
423371	105416	Eukrohnia		borealis	Moltschanoff, 1907				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:423371	
266239	105428	Krohnitta		mutabbii	Alvariño, 1969				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266239	
105436	370469	Mesosagitta		decipiens	(Fowler, 1905)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105436	
105438	370469	Mesosagitta		neodecipiens	(Tokioka, 1959)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105438	
105439	370470	Mesosagitta		sibogae	(Fowler, 1906)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105439	
870467	266250	Sagitta		adenensis	Casanova, 1985				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:870467	
105449	370469	Sagitta		decipiens	Fowler, 1905				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105449	
105451	105434	Sagitta		enflata	Grassi, 1881				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105451	
105446	407547	Sagitta		abyssicola	Chidgey, 1989				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105446	
105447	105443	Sagitta		batava	Biersteker & Van der Spoel, 1966				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105447	
105450	105440	Sagitta		elegans	Verrill, 1873				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105450	
105452	105441	Sagitta		friderici	Ritter-Záhony, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105452	
105453	105435	Sagitta		hexaptera	d'Orbigny, 1836				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105453	
105454	105432	Sagitta		hispida	Conant, 1895				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105454	
105455	105444	Sagitta		lyra	Krohn, 1853				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105455	
105456	105431	Sagitta		macrocephala	Fowler, 1904				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105456	
105457	105445	Sagitta		maxima	Conant, 1896				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105457	
