ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
268038	266256	Sagitta		popovicii	Sund, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268038	
266239	105428	Krohnitta		mutabbii	Alvariño, 1969				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266239	
268049	266812	Spadella		nana	Owre, 1963				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268049	
105451	105434	Sagitta		enflata	Grassi, 1881				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105451	
105452	105441	Sagitta		friderici	Ritter-Záhony, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105452	
268029	266700	Sagitta		crassa	Tokioka, 1938				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268029	
268040	266258	Sagitta		gazellae	Ritter-Záhony, 1909				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268040	
268043	266854	Sagitta		marri	David, 1956				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268043	
221253	266708	Sagitta		neglecta	Aida, 1897				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:221253	
154096	105465	Sagitta		serratodentata		tasmanica	Subspecies		unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:154096	
105461	105465	Sagitta		tasmanica	Thompson, 1947				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105461	
268028	266698	Sagitta		bedfordii	Doncaster, 1903				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268028	
268036	266254	Sagitta		euneritica	Alvariño, 1961				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268036	
266270	105465	Serratosagitta		selkirki	(Faggetti, 1958)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266270	
105446	407547	Sagitta		abyssicola	Chidgey, 1989				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105446	
266265	406024	Sagitta		nairi	Casanova & Nair, 2002				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266265	
268052	266816	Spadella		sheardi	Mawson, 1944				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:268052	
105450	105440	Sagitta		elegans	Verrill, 1873				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:105450	
154097	105440	Sagitta		elegans		arctica	Subspecies		unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:154097	
154094	105440	Sagitta		elegans		baltica	Subspecies		unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:154094	
154102	105440	Sagitta		elegans		elegans	Subspecies	Verrill, 1873	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:154102	
266266	406118	Sagitta		siamensis	Casanova & Goto, 1997				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:266266	
