ID	ReferenceType	ReferenceID	
105440	ComNameRef	2901	
105440	ComNameRef	138645	
105445	ComNameRef	2901	
105464	ComNameRef	2901	
105465	ComNameRef	2901	
105416	ComNameRef	2901	
105422	TaxAccRef	1318	
105424	TaxAccRef	1414	
105427	TaxAccRef	1318	
105428	TaxAccRef	131881	
105428	TaxAccRef	141225	
105429	TaxAccRef	1414	
105431	TaxAccRef	1318	
105433	TaxAccRef	1414	
105437	TaxAccRef	141225	
105454	TaxAccRef	1414	
105455	TaxAccRef	63	
105455	TaxAccRef	132562	
105458	TaxAccRef	1414	
105463	TaxAccRef	1414	
266228	TaxAccRef	1318	
266234	TaxAccRef	131878	
266237	TaxAccRef	1318	
266262	TaxAccRef	1318	
266271	TaxAccRef	1318	
266696	TaxAccRef	1318	
266705	TaxAccRef	1318	
266803	TaxAccRef	1318	
266828	TaxAccRef	1318	
266837	TaxAccRef	1318	
268032	TaxAccRef	1318	
268041	TaxAccRef	1318	
268046	TaxAccRef	125397	
370508	TaxAccRef	125436	
379366	TaxAccRef	126156	
395433	TaxAccRef	127204	
395433	TaxAccRef	130889	
395754	TaxAccRef	130890	
430251	TaxAccRef	1318	
105417	TaxAccRef	1414	
105432	TaxAccRef	1318	
105434	TaxAccRef	1318	
105436	TaxAccRef	1414	
105451	TaxAccRef	1414	
105453	TaxAccRef	1414	
105468	TaxAccRef	1318	
154094	TaxAccRef	63	
266225	TaxAccRef	1318	
266231	TaxAccRef	141225	
266259	TaxAccRef	1318	
266272	TaxAccRef	1318	
266274	TaxAccRef	1318	
266708	TaxAccRef	1318	
266710	TaxAccRef	1318	
266810	TaxAccRef	1318	
266825	TaxAccRef	1318	
266845	TaxAccRef	131882	
268044	TaxAccRef	1318	
370455	TaxAccRef	125396	
395428	TaxAccRef	127204	
395430	TaxAccRef	130889	
105415	TaxAccRef	1414	
105430	TaxAccRef	63	
105438	TaxAccRef	1414	
105440	TaxAccRef	3072	
105442	TaxAccRef	141225	
105460	TaxAccRef	132562	
105461	TaxAccRef	663	
105465	TaxAccRef	42	
105470	TaxAccRef	1318	
154107	TaxAccRef	63	
266225	TaxAccRef	141225	
266244	TaxAccRef	1318	
266246	TaxAccRef	1318	
266251	TaxAccRef	1318	
266253	TaxAccRef	1318	
266687	TaxAccRef	1318	
266780	TaxAccRef	1318	
266806	TaxAccRef	125398	
266823	TaxAccRef	1318	
266887	TaxAccRef	1318	
268025	TaxAccRef	1318	
370454	TaxAccRef	15162	
395428	TaxAccRef	130889	
395756	TaxAccRef	127204	
395758	TaxAccRef	127204	
416712	TaxAccRef	132823	
422434	TaxAccRef	125436	
105414	TaxAccRef	1318	
105416	TaxAccRef	42	
105421	TaxAccRef	1414	
105432	TaxAccRef	1414	
105436	TaxAccRef	141225	
105439	TaxAccRef	1318	
105446	TaxAccRef	1414	
105463	TaxAccRef	63	
105464	TaxAccRef	1318	
105471	TaxAccRef	1414	
266236	TaxAccRef	1318	
266238	TaxAccRef	131853	
266254	TaxAccRef	1318	
266697	TaxAccRef	1318	
266704	TaxAccRef	1318	
266811	TaxAccRef	1318	
266829	TaxAccRef	1318	
266836	TaxAccRef	1318	
266840	TaxAccRef	1318	
266854	TaxAccRef	1318	
268033	TaxAccRef	1318	
268040	TaxAccRef	1318	
362614	TaxAccRef	47901	
379365	TaxAccRef	126156	
395430	TaxAccRef	127204	
395757	TaxAccRef	130890	
406116	TaxAccRef	131851	
105415	TaxAccRef	141225	
105416	TaxAccRef	63	
105416	TaxAccRef	132562	
105428	TaxAccRef	1414	
105429	TaxAccRef	141225	
105430	TaxAccRef	132562	
105432	TaxAccRef	141225	
105442	TaxAccRef	1414	
105443	TaxAccRef	1318	
105457	TaxAccRef	1318	
105464	TaxAccRef	3020	
105465	TaxAccRef	3020	
154102	TaxAccRef	63	
266232	TaxAccRef	1318	
266233	TaxAccRef	1318	
266236	TaxAccRef	125436	
266239	TaxAccRef	131897	
266250	TaxAccRef	1318	
266700	TaxAccRef	1318	
266701	TaxAccRef	1318	
266782	TaxAccRef	1318	
266815	TaxAccRef	1318	
266819	TaxAccRef	1318	
266832	TaxAccRef	1318	
266833	TaxAccRef	1318	
268036	TaxAccRef	1318	
268037	TaxAccRef	1318	
345521	TaxAccRef	125394	
395753	TaxAccRef	130890	
407551	TaxAccRef	131873	
407562	TaxAccRef	131874	
474798	TaxAccRef	141783	
742233	TaxAccRef	170244	
105416	TaxAccRef	1318	
105418	TaxAccRef	1414	
105433	TaxAccRef	1318	
105435	TaxAccRef	1414	
105439	TaxAccRef	141225	
105440	TaxAccRef	3071	
105443	TaxAccRef	9269	
105452	TaxAccRef	1414	
105457	TaxAccRef	132562	
105467	TaxAccRef	1318	
105469	TaxAccRef	1414	
266235	TaxAccRef	131880	
266239	TaxAccRef	1318	
266256	TaxAccRef	1318	
266262	TaxAccRef	141225	
266273	TaxAccRef	1318	
266707	TaxAccRef	1318	
266740	TaxAccRef	163731	
266826	TaxAccRef	1318	
266843	TaxAccRef	1318	
268030	TaxAccRef	1318	
268047	TaxAccRef	1318	
395427	TaxAccRef	127204	
395431	TaxAccRef	130889	
406021	TaxAccRef	173078	
407558	TaxAccRef	131873	
712064	TaxAccRef	165121	
105414	TaxAccRef	141225	
105417	TaxAccRef	131877	
105424	TaxAccRef	1318	
105442	TaxAccRef	1318	
105443	TaxAccRef	1414	
105445	TaxAccRef	42	
105448	TaxAccRef	132562	
105449	TaxAccRef	132562	
105453	TaxAccRef	1210	
105460	TaxAccRef	1414	
105461	TaxAccRef	1414	
105464	TaxAccRef	141225	
266237	TaxAccRef	131878	
266247	TaxAccRef	1318	
266264	TaxAccRef	1318	
266265	TaxAccRef	1318	
266715	TaxAccRef	1318	
266783	TaxAccRef	1318	
266800	TaxAccRef	1318	
266801	TaxAccRef	1318	
266818	TaxAccRef	1318	
266886	TaxAccRef	1318	
395755	TaxAccRef	127204	
406019	TaxAccRef	173077	
406020	TaxAccRef	173077	
407563	TaxAccRef	131874	
724928	TaxAccRef	167261	
105420	TaxAccRef	131879	
105438	TaxAccRef	1318	
105440	TaxAccRef	1414	
105445	TaxAccRef	1318	
105445	TaxAccRef	2999	
105447	TaxAccRef	1414	
105449	TaxAccRef	1414	
105465	TaxAccRef	2966	
154096	TaxAccRef	63	
237827	TaxAccRef	9990	
266229	TaxAccRef	125401	
266255	TaxAccRef	1318	
266712	TaxAccRef	1318	
266714	TaxAccRef	1318	
266812	TaxAccRef	1318	
266814	TaxAccRef	1318	
266821	TaxAccRef	1318	
268040	TaxAccRef	132562	
268048	TaxAccRef	1318	
268050	TaxAccRef	1318	
