AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
266697	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		alvarinoae	(Pathansali, 1974)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266697		urn:lsid:marinespecies.org:taxname:266697	
266698	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		bedfordii	(Doncaster, 1902)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266698		urn:lsid:marinespecies.org:taxname:266698	
266700	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		crassa	(Tokioka, 1938)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266700		urn:lsid:marinespecies.org:taxname:266700	
266701	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		delicata	(Tokioka, 1939)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266701		urn:lsid:marinespecies.org:taxname:266701	
266702	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		demipenna	(Tokioka & Pathansali, 1963)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266702		urn:lsid:marinespecies.org:taxname:266702	
266703	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		erythraea	(Casanova, 1985)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266703		urn:lsid:marinespecies.org:taxname:266703	
266704	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		guileri	(Taw, 1974)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266704		urn:lsid:marinespecies.org:taxname:266704	
266705	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		johorensis	(Pathansali & Tokioka, 1963)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266705		urn:lsid:marinespecies.org:taxname:266705	
362615	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		meenakshiae	(Nair, Panampunnayil, Pillai & Gireesh, 2008)	accepted	Accepted name	0			Thuesen, Erik V.	2009-06-30 16:17:41	http://www.marinespecies.org/aphia.php?p=taxdetails&id=362615		urn:lsid:marinespecies.org:taxname:362615	
406024	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		nairi	(Casanova & Nair, 2002)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=406024		urn:lsid:marinespecies.org:taxname:406024	
266708	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		neglecta	(Aida, 1897)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266708		urn:lsid:marinespecies.org:taxname:266708	
266709	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		oceania	(Grey, 1930)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266709		urn:lsid:marinespecies.org:taxname:266709	
266710	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		ophicephala	(Pathansali, 1974)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266710		urn:lsid:marinespecies.org:taxname:266710	
266712	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		regularis	(Aida, 1897)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266712		urn:lsid:marinespecies.org:taxname:266712	
266713	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		septata	(Doncaster, 1903)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266713		urn:lsid:marinespecies.org:taxname:266713	
266714	Animalia	Chaetognatha	Sagittoidea	Aphragmophora		Sagittidae	Aidanosagitta		tropica	(Tokioka, 1942)	accepted	Accepted name	0	marine		Thuesen, Erik V.	2009-06-25 19:32:10	http://www.marinespecies.org/aphia.php?p=taxdetails&id=266714		urn:lsid:marinespecies.org:taxname:266714	
370508	Animalia	Chaetognatha	Sagittoidea	Phragmophora		Heterokrohniidae	Archeterokrohnia		longicaudata	(Hagen & Kapp, 1986)	accepted	Accepted name	0			Thuesen, Erik V.	2008-11-19 09:56:57	http://www.marinespecies.org/aphia.php?p=taxdetails&id=370508		urn:lsid:marinespecies.org:taxname:370508	
237826	Animalia	Chaetognatha	Sagittoidea	Phragmophora		Heterokrohniidae	Archeterokrohnia		palpifera	Casanova, 1986	accepted	Accepted name	0			Thuesen, Erik V.	2008-11-19 09:56:57	http://www.marinespecies.org/aphia.php?p=taxdetails&id=237826		urn:lsid:marinespecies.org:taxname:237826	
