AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	Species	AuthorString	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUI	GSDNameGUI	
489211	Animalia	Arthropoda	Malacostraca	Cumacea		Gynodiastylidae	Allodiastylis		acanthodes	Gerken, 2001	accepted	Accepted name	0	marine		Gerken, Sarah	2010-07-12 14:45:33	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=489211		urn:lsid:marinespecies.org:taxname:489211	
182142	Animalia	Arthropoda	Malacostraca	Cumacea		Gynodiastylidae	Allodiastylis		cretata	Hale, 1936	accepted	Accepted name	0			Watling, Les	2005-09-28 12:31:48	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=182142		urn:lsid:marinespecies.org:taxname:182142	
182143	Animalia	Arthropoda	Malacostraca	Cumacea		Gynodiastylidae	Allodiastylis		hirtipes	Hale, 1946	accepted	Accepted name	0			Watling, Les	2005-09-28 12:31:48	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=182143		urn:lsid:marinespecies.org:taxname:182143	
182144	Animalia	Arthropoda	Malacostraca	Cumacea		Gynodiastylidae	Allodiastylis		johnstoni	Hale, 1946	accepted	Accepted name	0			Watling, Les	2005-09-28 12:31:48	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=182144		urn:lsid:marinespecies.org:taxname:182144	
182145	Animalia	Arthropoda	Malacostraca	Cumacea		Gynodiastylidae	Allodiastylis		tenuipes	Hale, 1946	accepted	Accepted name	0			Watling, Les	2005-09-28 12:31:48	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=182145		urn:lsid:marinespecies.org:taxname:182145	
182276	Animalia	Arthropoda	Malacostraca	Cumacea		Leuconidae	Alloeoleucon		santamariensis	Watling & McCann, 1996	accepted	Accepted name	0			Watling, Les	2005-09-28 12:31:48	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=182276		urn:lsid:marinespecies.org:taxname:182276	
421648	Animalia	Arthropoda	Malacostraca	Cumacea		Nannastacidae	Almyracuma		bacescui	Petrescu & Heard, 2004	accepted	Accepted name	0			Gerken, Sarah	2011-03-10 10:52:04	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=421648		urn:lsid:marinespecies.org:taxname:421648	
157809	Animalia	Arthropoda	Malacostraca	Cumacea		Nannastacidae	Almyracuma		proximoculi	Jones & Burbanck, 1959	accepted	Accepted name	0	marine		Gerken, Sarah	2010-07-16 09:30:51	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=157809		urn:lsid:marinespecies.org:taxname:157809	
181599	Animalia	Arthropoda	Malacostraca	Cumacea		Bodotriidae	Alticuma		bellum	Day, 1978	accepted	Accepted name	0			Watling, Les	2005-09-28 12:31:48	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=181599		urn:lsid:marinespecies.org:taxname:181599	
468213	Animalia	Arthropoda	Malacostraca	Cumacea		Bodotriidae	Alticuma		botnariuci	Petrescu, 2007	accepted	Accepted name	0	marine		Petrescu, Iorgu	2010-04-22 16:21:07	http://www.marinespecies.org/cumacea/aphia.php?p=taxdetails&id=468213		urn:lsid:marinespecies.org:taxname:468213	
