ReferenceID	Authors	Year	Title	Details	
1	Hayward, P.J.; Ryland, J.S. (Ed.)	1990	The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods		
42			ITIS database		
56			North Sea Benthos Survey		
64	Hansson, H.	2004	North East Atlantic Taxa (NEAT): Nematoda		
653			NSBP/NIVA		
663	Howson, C. M.; Picton, B. E.	1997	The species directory of the marine fauna and flora of the British Isles and surrounding seas	Ulster Museum Publication, 276. The Ulster Museum: Belfast, UK. ISBN 0-948150-06-8. vi, 508 (+ cd-rom) pp.	
1081	Zimmer, C.	1933	Cumacea. <i>The fauna of the North Sea and Baltic</i>, 23(10.g4). Akademische Verlagsgesellschaft: Leipzig, Germany. 70-120 pp.		
1153			The Zoological Record: records of zoological literature relating chiefly to the year		
1422	Watling, L.	2001	Cumacea, <B><I>in</I></B>: Costello, M.J. <i>et al.</i> (Ed.) (2001). <i>European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels,</i> 50:		
1596			Cuvelier, Daphne		
2928	Bromley, J. E. C.; Bleakney, J. S.	1984	Keys to the fauna and flora of Minas Basin	National Research Council of Canada Report. 24119(366): p.	
2930	Brunel, P.; Bosse, L.; Lamarche, G.	1998	Catalogue of the marine invertebrates of the estuary and Gulf of St. Lawrence	Canadian Special Publication of Fisheries and Aquatic Sciences, 126. 405 p	
2964	Gosner, K. L.	1971	Guide to identification of marine and estuarine invertebrates: Cape Hatteras to the Bay of Fundy	John Wiley & Sons, Inc.. 693 p.	
2999	Linkletter, L. E.	1977	A checklist of marine fauna and flora of the Bay of Fundy	Huntsman Marine Laboratory, St. Andrews, N.B. 68: p.	
3042	Pollock, L.W.	1998	A Practical Guide to the Marine Animals of Northeastern North America.	Rutgers University Press, New Brunswick, New Jersey & London.. 367pp.	
5591	Norman, A.M.	1869	Shetland final dredging report. Part II. On the Crustacea, Tunicata, Polyzoa, Echinodermata, Actinozoa, Hydrozoa, and Portifera	Report of the meeting of the British Association for the Advancement of Science. 38: 247-336	
5873			Watling, Les		
5987	Vine, P.	1986	Red Sea Invertebrates. Immel Publishing, London. 224 pp.		
6637	Sars, G.O.	1869	Undersøgelser over Christiania-fjordens Dybvansfauna anstillede paa en i Sommeren 1868 foretagen Zoologisk Reise	Nyt Magazin for Naturvidenskaberne. 16: 305-362	
6827	Costello, M.J.; Emblow, C.; White, R. (Ed.)	2001	European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification		
6831			BIOCEAN		
9259			Mühlenhardt-Siegel, Ute		
9269	Muller, Y.	2004	Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]	Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp	
9271	Streftaris, N.; Zenetos, A.; Papathanassiou, E.	2005	Globalisation in marine ecosystems: the story of non-indigenous marine species across European seas	Oceanogr. Mar. Biol. Ann. Rev.. 43: 419-453	
9974	Petrescu, Iorgu	2006	Crustacea Malacostraca Cumacea, in: Revisione della Checklist della fauna marina italiana.		
10748	Bishop, J. D. D.	1982	Three new species of the genus Leucon KROYER,1846 (Crustacea,Cumacea) from the continental slope of Surinam	Zoological Journal of the Linnean Society. 74(4): 345-357	
11946	Day, J.	1975	South African Cumacea. Part I.:Family Bodotriidae, Subfamily Vaunthompsoniinae.	Annals of the South African Museum. 66(9): 177-220	
12572	Gamo S.	1987	Cumacean crustaceans obtained by the 26th Japanese Antarctic Research Expedition (1984-1985), with descriptions of four new species. Proceedings of the NIPR Symposium on Polar Biology, 1, 145-160.		
15935	Mühlenhardt-Siegel, U.	1994	Leucon parasiphonatus, a new species (Crustacea: Cumacea: Leuconidae) from antarctic waters	Helgoländer wissenschaftliche Meeresuntersuchungen. 48(1): 79-88	
17507	Blazewicz, M.; Heard, R. W.	1999	First record of the family Gynodiastylidae Stebbing, 1912 (Crustacea: Malacostraca: Cumacea) from Antarctic waters with the description of Gynodiastylis jazdzewskii, a new species	Proceedings of the Biological Society of Washington. 112(2): 362-367	
19246	Blazewicz-Paszkowycz, M.; Heard, R. W.	2001	Observations on Cumacea (Malacostraca: Peracarida) from Antarctic and subantarctic waters. I. Ekleptostylis debroyeri (Diastylidae), a new species from waters off the Antarctic Peninsula	Proceedings of the Biological Society of Washington. 114(4): 907-917	
19286	Corbera, J.; Brito, M. C.; Nunez, J.	2002	Interstitial cumaceans from sandy bottoms and Cymodocea meadows of the Canary Islands	Cahiers de Biologie Marine. 43: 63-71	
19934	Sars, G. O.	1879	Crustacea et Pycnogonida nova in itinere 2do et 3tio expeditionis Norvegicae anno 1877 & 78 collecta (prodromus descriptionis)	Archiv for Mathematik og Naturvidenskab. 4: 427-476	
21392	Sars, G.O.	1900	An Account of the Crustacea of Norway. Vol. III. Cumacea. (planches). , 1-72.		
42941	Corbera, J.; Tirado, P.; Martin, D.	2005	Cumaceans (Crustacea: Peracarida) from the Persian Gulf. Zootaxa 1087: 1-31.		
43056			Arctic benthic invertebrate collection of the Zoological Institute of the Russian Academy of Sciences (RAS)		
43951	Huettmann, F.	2007	ArcOD species list by Falk Huettmann		
89214	Goodsir, H.D.S.	1843	On the sexes, organs of reproduction and mode of development of the cirripeds. Account of the Maidre of fisherman, and description of some new species of crustaceans.	Edinburgh New Philosophical Journal. 35:88-104, pl.3-4.	
124391	Zenetos, A., M.E. Çinar, M.A. Pancucci-Papadopoulou, J.G. Harmelin, G. Furnari, F. Andaloro, N. Bellou, N. Streftaris & H. Zibrowius	2005	Annotated list of marine alien species in the Mediterranean with records of the worst invasive species.	Mediterranean Marine Science. 6(2):63-118.	
126157	Hansen, H.J.	1920	Crustacea Malacostraca 4. The Danish Ingolf-experdition 3(6).		
127204	Bouchet, P.; Fontaine, B.	2009	List of new marine species described between 2002-2006. Census of Marine Life.		
128305	Corbera & Martin.	2002	Two new cumacean species (Crustacea: Peracarida) from shallow waters off Thailand. Scientia Marina (Barcelona)  66 (4): 407-415		
128307	Corbera.	2004	A new species of Scherocumella (Crustacea, Cumacea) from a coral lagoon of Lifou, New Caledonia. Zoosystema 26(1) : 65-71		
128494	Gerken & Ryder.	2002	Campylaspis rex, sp. nov. (Crustacea: Cumacea) from New Zealand. Proceedings of the Biological Society of Washington 115 (2): 412-418		
128495	Gerken.	2002	A new species of Vemakylindrus, V. hystricosa n. sp. is described from the continental slope off the coast of California. The new species can be distinguished from all other Vemakylindrus by the combination of the carapace and pereonites covered with spines of varying lengths, the telson longer than the uropods, and the terminal three articles of pereopod 1 being subequal and each article much less than 0.5 the length of the basis. Proceedings of the Biological Society of Washington 115 (2): 419-425		
128496	Gerken.	2005	Two new Diastylidae (Crustacea: Cumacea) from California, collected by the R/V Velero IV. Proceedings of the Biological Society of Washington 118(2) : 270-284		
128497	Gerken.	2005	Two new cumaceans (Crustacea: Peracarida) from Cook Inlet, Alaska. Proceedings of the Biological Society of Washington 118(4) : 674-691		
128584	Haye & Gerken.	2005	A new species of Cumacea (Crustacea: Peracarida) from Chile, Lamprops kensleyi. Proceedings of the Biological Society of Washington 118(1) : 30-37		
128585	Haye, P.	2004	<i>Austrocuma kornfieldi</i>, a New Bodotriid from India: Pleopod Number in Cumaceans and the Placement of Coricuma. Journal of Crustacean Biology 24(1) : 84-92.		
128834	Lee & Lee.	2006	Nippoleucon projectus, a new species of leuconid cumaceans (Cumacea, Leuconidae) from Korea. Integrative Biosciences Volume: 10 Issue: 2 Pages: 93-101		
128863	Lin & Lee.	2002	A new species of the genus dimorphostylis (cumacea, diastylidae) from Korea. Korean Journal of Biological sciences  6 (1): 23-33		
128972	Micca, M. F.; Roccatagliata, D.	2002	A New Species of Cumella (Cumacea, Nannastacidae) from Argentina, and a Partial Redescription of Cumella vicina Zimmer, 194	Crustaceana (Leiden). 75(2), 145-158	
129019	Mühlenhardt-Siegel	2003	Shallow-water cumacean Crustacea from Australia and Lombok (Indonesia): families Bodotriidae and Leuconidae	Records of the South Australian Museum (Adelaide. 36(1): 21-57	
129020	Mühlenhardt-Siegel	2005	New species of the family Nannastacidae  (Crustacea: Peracarida: Cumacea) from the Angola Basin,  south-eastern Atlantic. Deep-Sea Expedition DIVA-1. Addendum. Mitteilungen aus dem Hamburgischen Zoologischen Museum und Institut 102 : 85-97		
