AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
110538	Atlantic Europe	Text		
182384	Atlantic Europe	Text		
182384	Atlantic Europe	Text		
110540	Atlantic Europe	Text		
110548	Atlantic Europe	Text		
110552	Atlantic Europe	Text		
110469	Atlantic Europe	Text		
182502	Atlantic Europe	Text		
182550	Atlantic Europe	Text		
181656	Atlantic Europe	Text		
181736	Atlantic Europe	Text		
157816	Atlantic Europe	Text		
182313	Atlantic Europe	Text		
182328	Atlantic Europe	Text		
110613	Atlantic Europe	Text		
182335	Atlantic Europe	Text		
110614	Atlantic Europe	Text		
110615	Atlantic Europe	Text		
182343	Atlantic Europe	Text		
110619	Atlantic Europe	Text		
110620	Atlantic Europe	Text		
182350	Atlantic Europe	Text		
110577	Atlantic Europe	Text		
182612	Atlantic Europe	Text		
182269	Atlantic Europe	Text		
182643	Atlantic Europe	Text		
110590	Atlantic Europe	Text		
110597	Mediterranean Sea	Text		
110598	Mediterranean Sea	Text		
110599	Mediterranean Sea	Text		
110467	Mediterranean Sea	Text		
110594	Mediterranean Sea	Text		
110595	Mediterranean Sea	Text		
110596	Mediterranean Sea	Text		
110589	Mediterranean Sea	Text		
110589	Mediterranean Sea	Text		
110587	Mediterranean Sea	Text		
110587	Mediterranean Sea	Text		
110625	Mediterranean Sea	Text		
110627	Mediterranean Sea	Text		
110627	Mediterranean Sea	Text		
110628	Mediterranean Sea	Text		
110628	Mediterranean Sea	Text		
110629	Mediterranean Sea	Text		
110630	Mediterranean Sea	Text		
110581	Mediterranean Sea	Text		
110581	Mediterranean Sea	Text		
110582	Mediterranean Sea	Text		
110582	Mediterranean Sea	Text		
110584	Mediterranean Sea	Text		
110584	Mediterranean Sea	Text		
110522	Mediterranean Sea	Text		
110522	Mediterranean Sea	Text		
110571	Mediterranean Sea	Text		
110572	Mediterranean Sea	Text		
110573	Mediterranean Sea	Text		
110574	Mediterranean Sea	Text		
110574	Mediterranean Sea	Text		
182350	Mediterranean Sea	Text		
110617	Mediterranean Sea	Text		
110617	Mediterranean Sea	Text		
160615	Mediterranean Sea	Text		
110623	Mediterranean Sea	Text		
110623	Mediterranean Sea	Text		
182081	Mediterranean Sea	Text		
110600	Mediterranean Sea	Text		
110603	Mediterranean Sea	Text		
110606	Mediterranean Sea	Text		
110606	Mediterranean Sea	Text		
110519	Mediterranean Sea	Text		
110613	Mediterranean Sea	Text		
182329	Mediterranean Sea	Text		
110610	Mediterranean Sea	Text		
110504	Mediterranean Sea	Text		
182042	Mediterranean Sea	Text		
182050	Mediterranean Sea	Text		
