AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
160800	Victoria Land	Text		
160814	Victoria Land	Text		
160831	Victoria Land	Text		
160828	Victoria Land	Text		
124404	West Iceland	Text		
214655	West Indian Ocean	Text		
213370	West Indian Ocean	Text		
213575	West Indian Ocean	Text		
213575	West Indian Ocean	Text		
213362	West Indian Ocean	Text		
213362	West Indian Ocean	Text		
213361	West Indian Ocean	Text		
213361	West Indian Ocean	Text		
213372	West Indian Ocean	Text		
213375	West Indian Ocean	Text		
213375	West Indian Ocean	Text		
213378	West Indian Ocean	Text		
213378	West Indian Ocean	Text		
213377	West Indian Ocean	Text		
213384	West Indian Ocean	Text		
213377	West Indian Ocean	Text		
212461	West Indian Ocean	Text		
212461	West Indian Ocean	Text		
213383	West Indian Ocean	Text		
513239	West Indian Ocean	Text		
214647	West Indian Ocean	Text		
213369	West Indian Ocean	Text		
213369	West Indian Ocean	Text		
212440	West Indian Ocean	Text		
212449	West Indian Ocean	Text		
212449	West Indian Ocean	Text		
214669	West Indian Ocean	Text		
212453	West Indian Ocean	Text		
212453	West Indian Ocean	Text		
212438	West Indian Ocean	Text		
213607	West Indian Ocean	Text		
214465	West Indian Ocean	Text		
212463	West Indian Ocean	Text		
212463	West Indian Ocean	Text		
212465	West Indian Ocean	Text		
214476	West Indian Ocean	Text		
212466	West Indian Ocean	Text		
214642	West Indian Ocean	Text		
179629	West Indian Ocean	Text		
179611	West Indian Ocean	Text		
212445	West Indian Ocean	Text		
214665	West Indian Ocean	Text		
214456	West Indian Ocean	Text		
124324	North East Norway	Text		
754552	Hungary	Text		
754553	Switzerland	Text		
124373	Dutch Exclusive  Economic Zone	Text		
124273	Dutch Exclusive  Economic Zone	Text		
124273	Dutch Exclusive  Economic Zone	Text		
124287	Dutch Exclusive  Economic Zone	Text		
124392	Dutch Exclusive  Economic Zone	Text		
124392	Dutch Exclusive  Economic Zone	Text		
124392	Dutch Exclusive  Economic Zone	Text		
124394	Dutch Exclusive  Economic Zone	Text		
124418	Dutch Exclusive  Economic Zone	Text		
124319	Dutch Exclusive  Economic Zone	Text		
124318	Greek Exclusive Economic Zone	Text		
124418	Greek Exclusive Economic Zone	Text		
124316	Greek Exclusive Economic Zone	Text		
124268	Greek Exclusive Economic Zone	Text		
124427	Greek Exclusive Economic Zone	Text		
124394	Greek Exclusive Economic Zone	Text		
124392	Greek Exclusive Economic Zone	Text		
124393	Greek Exclusive Economic Zone	Text		
124399	Greek Exclusive Economic Zone	Text		
124273	Greek Exclusive Economic Zone	Text		
124294	Greek Exclusive Economic Zone	Text		
124423	Greek Exclusive Economic Zone	Text		
124373	Greek Exclusive Economic Zone	Text		
124380	Greek Exclusive Economic Zone	Text		
124331	Greek Exclusive Economic Zone	Text		
124257	Greek Exclusive Economic Zone	Text		
124250	Greek Exclusive Economic Zone	Text		
124249	Greek Exclusive Economic Zone	Text		
124373	Icelandic Exclusive Economic Zone	Text		
124273	Icelandic Exclusive Economic Zone	Text		
124287	Icelandic Exclusive Economic Zone	Text		
124394	Icelandic Exclusive Economic Zone	Text		
124319	Icelandic Exclusive Economic Zone	Text		
124319	Irish Exclusive economic Zone	Text		
124418	Irish Exclusive economic Zone	Text		
124419	Irish Exclusive economic Zone	Text		
124316	Irish Exclusive economic Zone	Text		
124394	Irish Exclusive economic Zone	Text		
124392	Irish Exclusive economic Zone	Text		
124402	Irish Exclusive economic Zone	Text		
124273	Irish Exclusive economic Zone	Text		
124287	Irish Exclusive economic Zone	Text		
124373	Irish Exclusive economic Zone	Text		
124249	Portuguese Exclusive Economic Zone	Text		
124287	Portuguese Exclusive Economic Zone	Text		
124318	Portuguese Exclusive Economic Zone	Text		
124319	Swedish Exclusive Economic Zone	Text		
124418	Swedish Exclusive Economic Zone	Text		
124419	Swedish Exclusive Economic Zone	Text		
124321	Swedish Exclusive Economic Zone	Text		
124273	Swedish Exclusive Economic Zone	Text		
124287	Swedish Exclusive Economic Zone	Text		
124402	Swedish Exclusive Economic Zone	Text		
124394	Swedish Exclusive Economic Zone	Text		
124392	Swedish Exclusive Economic Zone	Text		
124373	Swedish Exclusive Economic Zone	Text		
124404	Swedish Exclusive Economic Zone	Text		
124404	United Kingdom Exclusive Economic Zone	Text		
124373	United Kingdom Exclusive Economic Zone	Text		
124257	United Kingdom Exclusive Economic Zone	Text		
149880	United Kingdom Exclusive Economic Zone	Text		
124392	United Kingdom Exclusive Economic Zone	Text		
124394	United Kingdom Exclusive Economic Zone	Text		
124402	United Kingdom Exclusive Economic Zone	Text		
124287	United Kingdom Exclusive Economic Zone	Text		
124294	United Kingdom Exclusive Economic Zone	Text		
124312	United Kingdom Exclusive Economic Zone	Text		
124273	United Kingdom Exclusive Economic Zone	Text		
124321	United Kingdom Exclusive Economic Zone	Text		
124427	United Kingdom Exclusive Economic Zone	Text		
124419	United Kingdom Exclusive Economic Zone	Text		
124418	United Kingdom Exclusive Economic Zone	Text		
124319	United Kingdom Exclusive Economic Zone	Text		
124316	United Kingdom Exclusive Economic Zone	Text		
512994	New Caledonian Exclusive Economic Zone	Text		
513049	Australian Exclusive Economic Zone	Text		
160824	Australian Exclusive Economic Zone	Text		
160824	Australian Exclusive Economic Zone	Text		
160824	Australian Exclusive Economic Zone	Text		
160824	Australian Exclusive Economic Zone	Text		
160824	Australian Exclusive Economic Zone	Text		
214656	Réunion Exclusive Economic Zone	Text		
214656	Réunion Exclusive Economic Zone	Text		
213429	Réunion Exclusive Economic Zone	Text		
