ReferenceID	Authors	Year	Title	Details	
190219	Bell, J. F.	1884	Notes on a collection of Echinodermata from Australia		
168994	Checchia-Rispoli, G.	1923	Sopra due Cipiastri del Miocene medio della Sardegna. Bollettino del R. Ufficio Geologico d'Italia 49, 1-8.		
124955	Bernasconi, I.	1956	Dos nuevos equinodermos de la costa del Brasil Neotropica 2(8):  33-36		
169017	Checchia-Rispoli, G.	1947	Monographia degli "Epiaster" della Somalia Italiana. Atti della Accademia Nazionale dei Lincei (Memorie) 8, 1-23.		
169612	Mortensen, T.	1913	Die Echinoiden des Mittelmeeres. Eine revidierte Übersicht der im Mittelmeere lebenden Echiniden, mit Bemerkungen über neue oder weniger bekannte Formen		
154624	Tatarenko, D. E.; Poltaraus, A. B.	1993	Affiliation of sea urchin Pseudocentrotus depressus to the family Strongylocentrotidae and description of a new genus Mesocentrotus belonging to the group based on DNA-DNA hybridization and comparative morphological data		
145301	McKnight, D. G.	1968	Additions to the echinoid fauna of New Zealand. New Zealand		
3155	Mortensen, T.	1909	Die Echinoiden der Deutschen Südpolar-Expedition 1901-1903.		
132589	Mah, C.L.; McKnight, D.G.; Eagle, M.K.; Pawson, D.L.; Améziane, N.; Vance, D.J.; Baker, A.N.; Clark, H.E.S.; Davey, N.	2009	Phylum Echinodermata: sea stars, brittle stars, sea urchins, sea cucumbres, sea lilies, in: Gordon, D.P. (Ed.) (2009). New Zealand inventory of biodiversity: 1. Kingdom Animalia: Radiata, Lophotrochozoa, Deuterostomia.		
168971	Böhm, J.	1927	Beitrag zur Kenntnis der Senonfauna der Bithynischen Halbinsel		
169489	Sánchez Roig, M.	1952	Paleontologia Cubana: Revision de los Equinodermos Fosiles del Grupo Cassiduloida. Memorias de la Sociedad Cubana Historia Natural "Felipe Poey" 21, 47-57.		
169566	Wanner, J.	1941	Neue Beiträge zur Kenntnis der permischen Echinodermen von Timor		
47428	Rowe, F. W. E.	1989	Nine new deep-water species of Echinodermata from Norfolk Island and Wanganella Bank, northeastern Tasman Sea, with a checklist of the echinoderm fauna		
145324	Pawson, D. L.	1978	The echinoderm fauna of Ascension Island, South Atlantic Ocean. Smithsonian Contributions to		
169466	Renngarten, V.	1926	La faune des dépots crétacés de la région d'Assa-Kambiléevka, Caucase du Nord. Géologique, (new series) 147, 1-132.		
175615	Leske, N. G.	1778	Jacobi Theodori Klein naturalis dispositio echinodermatum . . ., edita et descriptionibus novisque inventis et synonomis auctorem aucta.  Addimenta ad  I. T. Klein naturalem dispositionem Echinodermatum. G. E. Beer, Leipzig, xxii+278 pp.		
177461	Tenison-Woods, J. E.	1878	The Echini of Australia. Proceedings of the Linnean Society of New South Wales 2, 145-176.		
169297	Lambert, J.	1931	Étude sur les échinides fossiles du Nord de l'Arfrique. Mémoires de la Société Géologique de France, Nouvelle Serie (Mémoire No. 16) 7/2, 1-108, pls. 1-4.		
169420	Mortensen, T. & Mercier, J.	1939	Remarques sur le genre Jacquiertia. Bulletin de la Société Linnéenne de Normandie 9, 58-61.		
169071	Cooke, C. W.	1954	Pliocene Echinoids from Okinawa		
169320	Lambert, J. & Charles, F.	1937	Echinides crétaceous de la région de Djidde (Anatolie). Bulletin de la Société Belge de Géologie de Paléontologie et Hydrologie, 47, 377-401.		
169558	Vialov, O.	1930	Sur les échinides réguliers des dépôts mésozoiques du Grand Balkhan (Turkmenia		
140235	Clark, H.L.	1912	Hawaiian and other Pacific Echini. The Pedinidae, Phymosomatidae, Stomopneustidae, and Echinometridae. - Memoirs of the Museum of Comparative Zoölogy at Harvard College, 34/4: 205-383.		
156136	Bidenkap, O.	1899	Tromsøsundets Echinodermer. Tromsø Museums Aarshefter 20, 104-112.		
169117	Devriès, A.	1960	Contribution à l'étude de quelques groupes d'échinides fossiles d'Algérie.  Thèses présentées a la Faculté des Sciences de l'Université de Paris pour obtenir le Grade de Docteur ès Sciences Naturelles 4277, Imprimerie la Typo-Litho et Ju		
169512	Smiser, J. S.	1936	Cretaceous echinoids from Trans-Pecos, Texas		
169412	Mortensen, T.	1948	Contributions to the Biology of the Philippine Archipelago and adjacent regions. Report on the Echinoidea collected by the United States Fisheries Steamer "Albatross" during the Philippine Expedition, 1907-1910. Part 3: The Echinoneid		
169163	Gocev, P.	1933	Paleontologische und stratigraphische Untersuchungen über das Eocän von Varna. Zeitschrift der Bulgarischen Geologischen Gesellschaft 5, 1-82.		
9269	Muller, Y.	2004	Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]. Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp.		
169263	Kongiel, R.	1935	[Contribution à l'étude du "siwak" dans les environs de Pulawy (plateau de Lublin)]. Travaux de la Société des Sciences et des Lettres de Wilno: Classe des Sciences Mathématiques et Naturelles 9, 1-59.		
193013	Dieni, I.; Kroh, A.	2014	Boreal echinoids from the Tethys Realm: Infulaster and Hagenowia from the Upper Cretaceous of eastern Sardinia (Italy)		
169455	Popiel-Barczyk, E.	1958	Jezowce rodzaju Conulus z turonu okolic Krakowa, Miechowa i Wolbromia		
169309	Lambert, J.	1935	Notes sur quelques Echinides fossiles, I: Echinides du Djebel Outaia II: Sur un Echinolampus du Désert Libyque: III: Echinides du Mexique recueillis par M.F. Mulerried. Bulletin de la Sociéte Géologique de France 5, 359-368.		
147520	Desor, E.	1858	Synopsis des échinides fossiles / par É. Desor		
145267	Bernasconi, I.	1955	Una nueva especie de Diadematidae tropical		
169171	Hall, D. A.	1966	Archaeopneustes moorefieldi, a New Pliocene Spangoid Echinoid from the San Luis Obispo Area California		
169005	Checchia-Rispoli, G.	1932	Su alcuni Echinidi Credacei della Tripolitania. Memorie della Reale Accademia d'Italia  3, 373-391 .		
169220	Jeannet, A.	1935	Observations sur des Echinides sculptés de la Gironde		
169363	Mercier, J.	1932	Etudes sur les échinides du Bathonien de la bordure occidentale du Bassin de Paris. Mémoires de la Société Linnéenne de Normandie (new series, Geology section) 2, 1-273.		
47417	Fell, H.B.	1958	Deep-sea echinoderms of New Zealand. Zoology Publications from Victoria University of Wellington 24: 1-40		
169289	Lambert, J.	1927	Sur quélques Échinides du Tithonique et de l'Éocrétacé des environs de Chambéry. Bulletin de la Société Géologique de France 4, 361-377.		
169340	Maczýnska, S. S.	1968	Echinoids of the Genus Micraster L.Agassiz from the Upper Cretaceous of the Craców area. Prace Muzeum Ziemi (Polska Akademia Nauk Muzeum Ziemi 12, 87-168.		
145293	Krau, L.	1960	Nova espécie de ourico do mar capturado na baia de Sepetiba (Cassiduloidea		
169097	Dasupta, G.; C, H.	1929	A Short Note on the Cretaceous Fauna of the Khasi Hills, Assam. The Quarterly		
169197	Innocenti, G. D.	1924	Due Nuovi Echinidi dell'Eocene Istriano. Rivista Italiana di Paleontologia 30, 41-46.		
155131	Agassiz, L. & Desor, P. J. E.	1847	Catalogue raisonné des espèces, des genres, et des familles d'échinides. Annales des Sciences Naturelles, Troisième Série, Zoologie 7, 129-168.		
169028	Chiriac, M.	1956	Contribution á l'étude de la faune des échinides crétaciques de la Dobroga du Sud		
3186	Mironov, A. N.	1974	Pourtalesiid sea urchins of the Antarctic and Subantarctic (Echinoidea: Pourtalesiidae		
162585	Ikeda, H. B. E.	1940	The fauna of Akkesi		
169569	Weaver, C. E.	1931	Palaeontology of the Jurassic and Cretaceous of West Central Argentinia. Memoirs of the University of Washington 1, 1-469.		
169048	Clark, H. L.	1938	Echinoderms from Australia, an account of collections made in 1929 and 1932		
181783	Clément, A.	2013	Révision des espèces Hemidiadema rugosum Agassiz, 1846, et H. neocomiense (Cotteau, 1869) (Euechinoidea, Camarodonta, Glyphocyphidae) du Crétacé inférieur du Bassin parisien (France). Carnets de Géologie [Notebooks on Geology] Mémoire 2013/01 (CG2013_M01), 1-57.		
138446	Wood-Mason, J.; Alcock, A.	1891	Natural history notes from H.M. Indian marine survey steamer 'Investigator', Commander R.F. Hoskyn, R.N., commanding. Series II, No. 1. On the results of deep-sea dredging during the season 1890-1891 Ann. Mag. Nat. Hist. VIII, Sixth series(XLVIII): 427-452, plate XVII		
169240	Kier, P. M.	1956	A New Genus of Echinoid from the Palaeozoic of Ireland		
168991	Chao, K.	1942	On the Occurrence of Melonechinus in Kuangsi, China		
169140	Eaton, J. E.; Grant, U. S.; Allen, H. B.	1941	Miocene of Caliente Range and Environs, California		
145336	Shigei, M.	1982	A new species of the fibulariid sea-urchin, Fibularia japonica, from Japanese waters		
145281	David, B. & De Ridder, C.	1989	Echinodermes: Échinides irréguliers.		
169532	Szörényi, E.	1963	Einiges über Mitglieder der Familie Spatangidae (Echinoidea		
169432	Nisiyama, S.	1951	A New Scaphechinus from North-East Japan		
169183	Hayasaka, I.	1948	Notes on Some Fossil Echinoids of Taiwan, IV		
169515	Socin, C.	1946	Fossile eocenico con iscrizione geroglifica rinvenuto in Eliopoli. Atti della Societ		
169609	Simonelli, V.	1889	Terreni e fossili dell'Isola di Pianosa nel Mar Tirreno. Bollettino del R. Comitato Geologico d'Italia 20, 193-237.		
145304	McNamara, K. J.	1982	Taxonomy and evolution of living species of Breynia (Echinoidea: Spatangoida) from Australia		
169538	Tavani, G.	1946	Fossili eocenici della Cirenaica. Atti della Società Toscana di Scienze		
169277	Kühn, O.	1925	Die Echinodermen der Gosauformation. Annalen des Naturhistorischen Museums in		
145327	Serafy, D. K.	1970	A new species of Clypeaster from the Gulf and Caribbean and a key to the species in the tropical northwestern Atlantic (Echinodermata: Echinoidea		
169323	Lambert, J. & Jeannet, A.	1928	Nouveau catalogue des moules d'échinides fossiles du Musée d'Histoire naturelle de Neuchâtel exécutés sous la direction de L. Agassiz et E. Desor. Mémoires de la Société helvétique des Sciences naturelles 64, 233 p.		
168997	Checchia-Rispoli, G.	1928	Sopra alcuni "Stolonoclypus" del Miocene medio della Sardegna. Bollettino del R. Ufficio Geologico d'Italia 53, 1-20.		
169300	Lambert, J.	1933	Échinides fossiles du Maroc II. Protectorat de la République Française au Maroc, Service des Mines et de la Carte Géologique, Notes et Mémoires 27, 27-77.		
3158	Mortensen, T.	1910	The Echinoidea of the Swedish South Polar Expedition. Wissenschaftliche Ergebnisse der Schwedischen Südpolar Expedition 6/4, 1-114.		
168974	Brighton, A. G.	1925	On Some Cretaceous Echinoids from Nigeria		
168951	Barry, J. O.; LeBlanc, R. J.	1942	Lower Eocene Faunal Units of Louisiana		
169469	Richards, G. L.	1935	Revision of Some California Species of Asterodapsis		
169346	Malaroda, R.	1951	II lattorfiano del Monteccio di Costozza (Colli Berici). Parte Prima: I macrofossili. Memorie del Museo Civico di Storia Naturale di		
146083	Gray J.E.	1855	Catalogue of the Recent Echinida, or Sea Eggs, in the Collection of the British Museum. Part I.-Echinida Irregularia. Woodfall & Kinder, London, 69 pp.		
141431	Mortensen, T.	1951	A Monograph of the Echinoidea. V, 2. Spatangoida II.  Amphisternata II. Spatangidæ, Loveniidæ, Pericosmidæ, Schizasteridæ, Brissidæ,		
168822	Clark, H.L.	1914	Hawaiian and other Pacific Echini. The Clypeasteridae, Arachnoididae, Laganidae, Fibulariidae, and Scutellidae. Memoirs of the Museum of Comparative Zoology at Harvard College, 46/1, 1-80.		
169060	Collignon, M.	1950	Recherches sur les faunes albiennes de Madagascar. II. Les Échindes d'Ambarimaninga. Annales géologiques du Service des		
147574	Mooi, R.	1997	Sand dollars of the genus Dendraster (Echinoidea: Clypeasteroida): Phylogenetic systematics, heterochrony, and distribution of extant species		
169452	Philip, G. M.	1969	The Tertiary echinoids of south-eastern Australia. IV. Camarodonta (2		
169120	Djabarov, G. N.	1968	[A new Late Cretaceous Echinocorys from Central Asia].		
169108	Demanet, F.	1931	Lovenechinus jacksoni nov. sp. Paleechinide ouveau du Dinatien Inférieur. Bulletin du Musée Royal d'Histoire Naturelle de Belgique 7, 1-9.		
165516	Dyntaxa	2013	Swedish Taxonomic Database		
145264	Baker, A. N.	1969	Two new heart-urchins, including a new species of Cyclaster, from New Zealand waters (Echinoidea) Spatanoida		
169068	Cooke, C. W.	1949	Pygurostoma pasionensis, a Cretaceous echinoid from Guatemala		
35237	Tornquist, A.	1905	Über eine eocäne Fauna von der Westküste von Madagaskar. Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft 27, 323-337.  		
181849	Quenstedt, F. A. v.	1874	Atlas zu den Echiniden. Fues's Verlag (R. Reisland), Leipzig, pls 62-89.		
169014	Checchia-Rispoli, G.	1943	Brissoidi eocenici Migiurtina. Reale Accademia d'Italia 14, 99-111.		
169555	Venzo, S.	1934	Il Ladinico superiore dell'Isola di Rodi (Egeo), II: La fauna		
169409	Mortensen, T.	1942	New Echinoidea (Camarodonta). Preliminary notice. Videnskabelige Meddelelser fra Dansk naturhistorisk Forening i København 106, 225-232.		
6392	Clark, H.L.	1938	Echinoderms from Australia: an account of collections made in 1929 and 1932 <i>Mem. Mus. Comp. Zool. 55</i>: 1-596 (28 plates)		
4185	David, B., T. Choné, A. Festeau & C. de Ridder	2004	Antarctic Echinoids, an Interactive Database. Editions Universitaires Dijon. Cd Rom.		
3072	Trott, T.J.	2004	Cobscook Bay inventory: a historical checklist of marine invertebrates spanning 162 years. Northeastern Naturalist (Special Issue 2): 261 - 324.		
169386	Morishita, A.	1962	Cretaceous Echinoid Hemiaster from Shikoku Japan. Number II in On Some Fossil Echinoids of Japan		
169217	Jeannet, A.	1934	Sur quelques Echinides crétacés d'Ibiza (Baléares). Eclogae Geologicae Helvetiae 27, 387-388.		
169151	Fell, H. B.	1949	An echinoid from the Tertiary (Janjukian) of South Australia, Brochopleurus australiae sp. nov		
169080	Cottreau, J.	1922	Paléontologie de Madagascar; 10. Fossiles crétacés de la côte orientale de Madagascar		
162980	Faas, A. V.	1941	Echinoidea.		
193668	Bruguière, J.-G.	1827	Tableau Encyclopédique et méthodique des trois régnes de la nature. Vers, coquilles, mollusques et polypiers. Tome Second. Mme Agasse, Paris; pls 96-314.		
7145	Blainville, H.M.D. De	1834	Manuel d’Actinologie ou de Zoophytologie. (F.G. Levrault: Paris, Strasbourg): Volume 1 (text),1-viii, 1-644; Volume 2 (atlas), pls I-C.		
169174	Haughton, S. H.	1925	Notes on Some Cretaceous Fossils from Angola (Cephalopoda and Echinoidea		
163690	Vellutini, B. C. & Migotto, A. E.	2010	Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS ONE 5(3), e9654.		
169100	Davies, L. M. & Pinfold, E. S.	1937	The Eocene Beds of the Punjab Salt Range. Palaeontologica Indica (new series) 24, 1-79.		
10085			BIOTIC		
504	Norman, A.M.	1869	Shetland Final Dredging Report. Part II. On the Crustacea, Tunicata, Polyzoa, Echinodermata, Actinozoa, Hydrozoa, and Porifera.		
169237	Khanna, S. N.	1967	A New Species of Genus Eupatagus from Eocenes of Jaisalmer, Rajasthan (India). Proceedings of the National Academy of Sciences India. 37B, 214-220.		
