ID	AcceptedTaxonID	Genus	SubGenusName	Species	AuthorString	InfraSpecies	InfraSpecificMarker	InfraSpecificAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUI	
513497	513801	Pseudabatus		nimrodi	Koehler, 1911				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:513497	
569147	160759	Hemiaster		agassizii	Pfeffer, MS				nomen nudum	Unaccepted name	urn:lsid:marinespecies.org:taxname:569147	
513038	160760	Tripylus		beatriceae	Larrain, 1986				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:513038	
569216	160762	Abatus		australis	(Philippi, 1845)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569216	
569217	160762	Abatus		gallegosensis	(de Loriol, 1904)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569217	
568446	160762	Brissopsis		australis	(Philippi, 1845)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:568446	
568447	160762	Brissopsis		cavernosus	(Philippi, 1845)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:568447	
569151	160762	Hemiaster		australis	(Philippi, 1845)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569151	
569152	160762	Hemiaster		cavernosus	(Philippi, 1845)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569152	
569156	160762	Hemiaster		gallegosensis	de Loriol, 1904				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569156	
569687	160762	Spatangus	Tripylus	australis	Philippi, 1845				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569687	
569689	160762	Spatangus	Tripylus	cavernosus	Philippi, 1845				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569689	
569848	160762	Tripylus	Abatus	australis	(Philippi, 1845)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569848	
569850	160762	Tripylus	Abatus	cavernosus	Philippi, 1845				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569850	
569849	160762	Tripylus		cavernosus	Philippi, 1845				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569849	
160761	513701	Abatus		bidens	Mortensen, 1910				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:160761	
174972	513701	Abatus		cavernosus		var. bidens	Variety	Mortensen, 1910	unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:174972	
569153	160763	Hemiaster		cordatus	Verrill, 1876				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569153	
160765	569218	Abatus		elongatus	(Koehler, 1908)				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:160765	
569154	569218	Hemiaster		elongatus	Koehler, 1908				unaccepted	Unaccepted name	urn:lsid:marinespecies.org:taxname:569154	
